@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
9,11,10,East
10,11,8,East
10,10,7,South
10,9,5,South
11,9,3,East
12,9,2,East
12,8,12,South
12,7,11,South
13,7,13,East
14,7,13,East
14,6,12,South
14,5,10,South
13,5,9,West
12,5,9,West
11,5,9,West
10,5,7,West
9,5,7,West
8,5,6,West
7,5,4,West
6,5,4,West
5,5,4,West
4,5,2,West
3,5,1,West
3,4,1,South
3,3,1,South
1,11,7,Stop
1,11,6,Stop
1,11,5,Stop
2,11,4,East
3,11,4,East
4,11,2,East
5,11,2,East
6,11,1,East
6,10,2,South
6,9,2,South
6,8,1,South
7,8,1,East
8,8,1,East
9,8,1,East
8,8,4,West
7,8,4,West
7,9,3,North
7,9,2,North
6,9,4,West
6,10,4,North
6,11,2,North
7,11,1,East
8,11,11,East
9,11,13,East
10,11,12,East
11,11,12,East
11,10,12,South
11,9,10,South
12,9,10,East
13,9,10,East
13,8,9,South
13,7,7,South
14,7,7,East
14,6,5,South
14,5,5,South
15,5,5,East
16,5,5,East
17,5,4,East
18,5,3,East
18,6,1,North
18,7,19,North
18,8,19,North
17,8,17,West
16,8,16,West
15,8,16,West
14,8,16,West
14,9,18,North
14,10,20,North
14,11,20,North
13,11,18,West
12,11,18,West
11,11,17,West
11,10,15,South
11,9,15,South
10,9,14,West
9,9,12,West
9,8,11,South
9,7,11,South
9,6,11,South
9,5,10,South
8,5,8,West
7,5,7,West
6,5,5,West
5,5,5,West
4,5,3,West
3,5,3,West
2,5,2,West
2,4,1,South
1,11,7,Stop
1,11,7,Stop
1,11,7,Stop
2,11,5,East
3,11,5,East
4,11,3,East
5,11,3,East
5,10,3,South
5,9,1,South
5,8,5,South
6,8,4,East
7,8,4,East
8,8,4,East
8,7,3,South
8,6,2,South
9,6,2,East
9,5,2,South
9,4,2,South
10,4,2,East
10,5,2,North
9,5,9,West
8,5,11,West
8,6,9,North
8,7,7,North
8,8,7,North
7,8,6,West
6,8,4,West
5,8,4,West
5,9,4,North
5,10,2,North
5,11,15,North
4,11,16,West
3,11,18,West
4,11,18,East
5,11,17,East
6,11,15,East
7,11,15,East
8,11,15,East
9,11,15,East
10,11,13,East
11,11,13,East
11,10,13,South
11,9,12,South
12,9,10,East
13,9,9,East
14,9,7,East
14,8,7,South
14,7,5,South
14,6,3,South
14,5,1,South
14,4,1,South
