@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0.5,0.533333,0.266667,0.666116,East
0.5625,0.533333,0.266667,0.664463,East
0.625,0.533333,0.266667,0.66281,East
0.6875,0.533333,0.2,0.661157,East
0.75,0.533333,0.066667,0.659504,East
0.8125,0.533333,0,0.657851,East
0.875,0.533333,1,0.986777,East
0.8125,0.533333,0.866667,0.985124,West
0.8125,0.466667,0.866667,0.983471,South
0.8125,0.4,0.8,0.981818,South
0.8125,0.333333,0.8,0.980165,South
0.8125,0.266667,0.8,0.978512,South
0.8125,0.2,0.8,0.97686,South
0.8125,0.133333,0.8,0.975207,South
0.8125,0.066667,0.733333,0.973554,South
0.8125,0,0.6,0.971901,South
0.75,0,0.6,0.970248,West
0.75,0.066667,0.533333,0.968595,North
0.75,0.066667,0.6,0.966942,North
0.75,0.133333,0.6,0.965289,North
0.75,0.066667,0.6,0.963636,South
0.75,0.066667,0.666667,0.961983,South
0.75,0,0.666667,0.960331,South
0.75,0.066667,0.666667,0.958678,North
0.75,0.133333,0.666667,0.957025,North
0.6875,0.133333,0.6,0.955372,West
0.625,0.133333,0.533333,0.953719,West
0.5625,0.133333,0.466667,0.952066,West
0.5,0.133333,0.4,0.950413,West
0.4375,0.133333,0.4,0.94876,West
0.375,0.133333,0.4,0.947107,West
0.375,0.066667,0.4,0.945455,South
0.375,0.133333,0.4,0.943802,North
0.375,0.066667,0.4,0.942149,South
0.375,0.133333,0.333333,0.940496,North
0.3125,0.133333,0.333333,0.938843,West
0.3125,0.066667,0.333333,0.93719,South
0.3125,0.133333,0.2,0.935537,North
0.25,0.133333,0.2,0.933884,West
0.25,0.066667,0.066667,0.932231,South
0.1875,0.066667,0.066667,0.930579,West
0.1875,0,0,0.928926,South
0,0.533333,0.4,0.031405,Stop
0,0.466667,0.4,0.029752,South
0,0.4,0.266667,0.028099,South
0.0625,0.4,0.133333,0.026446,East
0.125,0.4,0.066667,0.024793,East
0.1875,0.4,0.066667,0.02314,East
0.1875,0.333333,0,0.021488,South
0.25,0.333333,0.266667,0.350413,East
0.25,0.266667,0.266667,0.34876,South
0.1875,0.266667,0.133333,0.347107,West
0.125,0.266667,0.133333,0.345455,West
0.1875,0.266667,0.266667,0.343802,East
0.125,0.266667,0.133333,0.342149,West
0.1875,0.266667,0.133333,0.340496,East
0.125,0.266667,0.133333,0.338843,West
0.1875,0.266667,0.133333,0.33719,East
0.125,0.266667,0.133333,0.335537,West
0.0625,0.266667,0.133333,0.333884,West
0.125,0.266667,0.133333,0.332231,East
0.0625,0.266667,0.133333,0.330579,West
0.125,0.266667,0.2,0.328926,East
0.0625,0.266667,0.066667,0.327273,West
0.125,0.266667,0.133333,0.32562,East
0.0625,0.266667,0.066667,0.323967,West
0.125,0.266667,0.2,0.322314,East
0.0625,0.266667,0.133333,0.320661,West
0.125,0.266667,0.266667,0.319008,East
0.0625,0.266667,0.133333,0.317355,West
0.125,0.266667,0.266667,0.315702,East
0.0625,0.266667,0.133333,0.31405,West
0,0.266667,0.066667,0.312397,West
0,0.2,0.066667,0.310744,South
0,0.133333,0.933333,0.639669,South
0,0.066667,0.8,0.638017,South
0.0625,0.066667,0.8,0.636364,East
0.125,0.066667,0.8,0.634711,East
0.1875,0.066667,0.666667,0.633058,East
0.25,0.066667,0.6,0.631405,East
0.25,0.133333,0.6,0.629752,North
0.3125,0.133333,0.533333,0.628099,East
0.375,0.133333,0.4,0.626446,East
0.375,0.066667,0.533333,0.624793,South
0.375,0.133333,0.4,0.62314,North
0.4375,0.133333,0.266667,0.621488,East
0.4375,0.2,0.133333,0.619835,North
0.4375,0.266667,0.133333,0.618182,North
0.4375,0.333333,0.133333,0.616529,North
0.4375,0.4,0.133333,0.614876,North
