@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
5,12,2,2,366,West
4,12,2,1,365,West
3,12,1,8,564,West
4,12,1,8,563,East
5,12,1,10,562,East
6,12,1,10,561,East
7,12,1,12,560,East
7,11,1,10,559,South
7,10,1,8,558,South
7,9,1,6,557,South
7,8,1,5,556,South
7,7,1,5,555,South
7,6,1,3,554,South
6,6,1,2,553,West
5,6,1,1,552,West
12,10,4,3,0,Stop
12,10,4,3,-1,Stop
12,10,4,3,-2,Stop
13,10,4,2,-3,East
14,10,4,3,-4,East
14,11,4,2,-5,North
13,11,4,1,-6,West
13,12,3,6,193,North
13,11,3,5,192,South
13,10,3,4,191,South
13,9,3,3,190,South
13,8,3,2,189,South
13,7,3,1,188,South
13,6,2,8,387,South
12,6,2,7,386,West
11,6,2,6,385,West
10,6,2,5,384,West
9,6,2,4,383,West
8,6,2,3,382,West
7,6,2,2,381,West
6,6,2,1,380,West
5,6,1,6,579,West
5,7,1,5,578,North
6,7,1,6,577,East
6,8,1,5,576,North
6,9,1,4,575,North
6,10,1,3,574,North
6,11,1,2,573,North
6,12,1,1,572,North
1,11,4,7,0,Stop
1,11,4,7,-1,Stop
1,11,4,7,-2,Stop
1,11,4,7,-3,Stop
2,11,4,6,-4,East
3,11,4,5,-5,East
4,11,4,4,-6,East
5,11,4,3,-7,East
5,10,4,2,-8,South
5,9,4,1,-9,South
6,9,3,4,190,East
6,10,3,3,189,North
6,11,3,2,188,North
7,11,3,1,187,East
8,11,2,8,386,East
9,11,2,9,385,East
10,11,2,9,384,East
10,10,2,8,383,South
10,9,2,7,382,South
11,9,2,6,381,East
12,9,2,5,380,East
13,9,2,4,379,East
14,9,2,3,378,East
14,8,2,2,377,South
14,7,2,1,376,South
14,6,1,9,575,South
14,5,1,8,574,South
13,5,1,7,573,West
12,5,1,6,572,West
11,5,1,5,571,West
10,5,1,4,570,West
9,5,1,3,569,West
8,5,1,2,568,West
7,5,1,1,567,West
1,11,4,7,0,Stop
1,11,4,8,-1,Stop
1,11,4,7,-2,Stop
2,11,4,6,-3,East
3,11,4,4,-4,East
4,11,4,2,-5,East
5,11,4,2,-6,East
6,11,4,2,-7,East
7,11,4,1,-8,East
8,11,3,1,191,East
9,11,2,7,390,East
10,11,2,7,389,East
10,10,2,6,388,South
10,9,2,4,387,South
10,8,2,4,386,South
10,7,2,4,385,South
10,6,2,4,384,South
10,5,2,2,383,South
11,5,2,2,382,East
10,5,2,3,381,West
9,5,2,3,380,West
9,4,2,3,379,South
9,3,2,2,378,South
9,3,2,1,377,South
9,3,2,2,376,South
9,3,2,3,375,South
9,3,2,2,374,South
10,3,2,1,373,East
11,3,1,7,572,East
11,3,1,8,571,East
11,4,1,7,570,North
11,5,1,5,569,North
12,5,1,3,568,East
13,5,1,5,567,East
14,5,1,6,566,East
14,6,1,4,565,North
14,7,1,4,564,North
14,8,1,2,563,North
1,6,4,7,0,Stop
1,6,4,6,-1,Stop
1,6,4,5,-2,Stop
2,6,4,4,-3,East
3,6,4,3,-4,East
4,6,4,3,-5,East
5,6,4,2,-6,East
6,6,4,1,-7,East
7,6,3,4,192,East
8,6,3,4,191,East
9,6,3,2,190,East
10,6,3,4,189,East
11,6,3,4,188,East
12,6,3,5,187,East
13,6,3,4,186,East
