@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,6-7'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute livingGhosts2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
13,7,2,349,2,348,South
13,6,2,348,2,347,South
14,6,2,347,2,346,East
15,6,2,346,2,345,East
16,6,2,345,1,544,East
17,6,1,544,1,543,East
18,6,1,543,1,542,East
19,6,1,542,1,541,East
20,6,1,541,1,540,East
21,6,1,540,1,539,East
22,6,1,539,1,538,East
23,6,1,538,1,537,East
24,6,1,537,1,536,East
25,6,1,536,0,735,East
1,18,4,0,4,-1,Stop
1,18,4,-1,4,-2,Stop
1,17,4,-2,4,-3,South
1,16,4,-3,4,-4,South
1,15,4,-4,4,-5,South
1,14,4,-5,4,-6,South
1,13,4,-6,4,-7,South
1,12,4,-7,4,-8,South
1,11,4,-8,4,-9,South
1,10,4,-9,4,-10,South
1,9,4,-10,4,-11,South
1,8,4,-11,4,-12,South
1,7,4,-12,4,-13,South
1,6,4,-13,4,-14,South
2,6,4,-14,4,-15,East
3,6,4,-15,4,-16,East
4,6,4,-16,4,-17,East
5,6,4,-17,4,-18,East
5,7,4,-18,4,-19,North
4,7,4,-19,4,-20,West
4,8,3,180,3,179,North
3,8,3,179,3,178,West
3,7,3,178,3,177,South
4,7,3,177,3,176,East
5,7,3,176,3,175,East
5,6,3,175,3,174,South
6,6,3,174,3,173,East
7,6,3,173,3,172,East
8,6,3,172,3,171,East
9,6,3,171,3,170,East
9,7,3,170,3,169,North
9,8,3,169,3,168,North
9,7,3,168,3,167,South
9,6,3,167,3,166,South
9,5,3,166,3,165,South
9,6,3,165,3,164,North
10,6,3,164,3,163,East
11,6,3,163,3,162,East
11,7,3,162,3,161,North
10,7,3,161,3,160,West
10,8,3,160,3,159,North
10,9,3,159,3,158,North
9,9,3,158,3,157,West
9,8,3,157,3,156,South
10,8,3,156,3,155,East
10,7,3,155,2,354,South
10,6,2,354,2,353,South
10,7,2,353,2,352,North
10,8,2,352,2,351,North
10,9,2,351,2,350,North
10,10,2,350,2,349,North
10,11,2,349,2,348,North
10,12,2,348,2,347,North
11,12,2,347,2,346,East
12,12,2,346,2,345,East
13,12,2,345,2,344,East
13,11,2,344,2,343,South
13,10,2,343,2,342,South
13,9,2,342,2,341,South
13,8,2,341,2,340,South
13,7,2,340,2,339,South
13,6,2,339,2,338,South
13,5,2,338,2,337,South
14,5,2,337,2,336,East
14,5,2,336,2,335,East
14,4,2,335,2,334,South
15,4,2,334,2,333,East
16,4,2,333,2,332,East
16,3,2,332,2,331,South
17,3,2,331,2,330,East
17,4,2,330,2,329,North
18,4,2,329,2,328,East
19,4,2,328,2,327,East
20,4,1,527,1,526,East
21,4,1,526,1,525,East
22,4,1,525,1,524,East
23,4,1,524,1,523,East
23,5,1,523,1,522,North
24,5,1,522,1,521,East
25,5,1,521,1,520,East
25,4,1,520,1,519,South
25,3,1,519,1,518,South
26,3,1,518,1,517,East
27,3,1,517,1,516,East
28,3,1,516,1,515,East
28,3,1,515,0,714,East
12,10,4,0,4,-1,Stop
12,10,4,-1,4,-2,Stop
12,10,4,-2,4,-3,Stop
13,10,4,-3,4,-4,East
14,10,4,-4,4,-5,East
14,11,4,-5,4,-6,North
13,11,4,-6,4,-7,West
13,12,4,-7,4,-8,North
13,13,4,-8,4,-9,North
14,13,4,-9,3,190,East
14,14,3,190,3,189,North
14,14,3,189,3,188,North
14,13,3,188,3,187,South
14,12,3,187,3,186,South
14,11,3,186,3,185,South
14,10,3,185,3,184,South
14,9,3,184,3,183,South
13,9,3,183,3,182,West
13,8,3,182,3,181,South
13,7,3,181,3,180,South
12,7,3,180,3,179,West
12,8,3,179,2,378,North
13,8,2,378,2,377,East
12,8,2,377,2,376,West
11,8,2,376,2,375,West
10,8,2,375,2,374,West
9,8,2,374,2,373,West
8,8,2,373,2,372,West
8,9,2,372,2,371,North
8,10,2,371,2,370,North
8,11,2,370,2,369,North
8,12,2,369,2,368,North
7,12,2,368,2,367,West
6,12,2,367,2,366,West
5,12,2,366,2,365,West
4,12,2,365,1,564,West
3,12,1,564,1,563,West
4,12,1,563,1,562,East
5,12,1,562,1,561,East
6,12,1,561,1,560,East
7,12,1,560,1,559,East
7,11,1,559,1,558,South
7,10,1,558,1,557,South
7,9,1,557,1,556,South
7,8,1,556,1,555,South
7,7,1,555,1,554,South
7,6,1,554,1,553,South
6,6,1,553,1,552,West
5,6,1,552,0,751,West
12,10,4,0,4,-1,Stop
12,10,4,-1,4,-2,Stop
12,10,4,-2,4,-3,Stop
13,10,4,-3,4,-4,East
14,10,4,-4,4,-5,East
14,11,4,-5,4,-6,North
13,11,4,-6,3,193,West
13,12,3,193,3,192,North
13,11,3,192,3,191,South
13,10,3,191,3,190,South
13,9,3,190,3,189,South
13,8,3,189,3,188,South
13,7,3,188,2,387,South
13,6,2,387,2,386,South
12,6,2,386,2,385,West
11,6,2,385,2,384,West
10,6,2,384,2,383,West
9,6,2,383,2,382,West
8,6,2,382,2,381,West
7,6,2,381,2,380,West
6,6,2,380,1,579,West
5,6,1,579,1,578,West
5,7,1,578,1,577,North
6,7,1,577,1,576,East
6,8,1,576,1,575,North
