@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
8,7,2,7,South
8,6,2,7,South
8,5,2,5,South
7,5,2,5,West
6,5,2,5,West
5,5,2,5,West
4,5,2,4,West
3,5,2,2,West
2,5,2,1,West
1,5,1,15,West
2,5,1,15,East
3,5,1,15,East
4,5,1,13,East
5,5,1,13,East
6,5,1,11,East
7,5,1,10,East
8,5,1,9,East
9,5,1,9,East
10,5,1,9,East
11,5,1,8,East
12,5,1,6,East
13,5,1,4,East
14,5,1,2,East
14,4,1,2,South
15,4,1,1,East
1,11,4,7,Stop
1,11,4,7,Stop
1,11,4,6,Stop
2,11,4,5,East
3,11,4,4,East
4,11,4,4,East
5,11,4,4,East
6,11,4,2,East
7,11,4,1,East
8,11,3,3,East
9,11,3,4,East
10,11,3,4,East
10,10,3,2,South
10,9,3,2,South
11,9,3,3,East
12,9,3,2,East
13,9,3,2,East
13,8,2,5,South
13,7,2,3,South
14,7,2,5,East
15,7,2,7,East
16,7,2,7,East
17,7,2,9,East
18,7,2,11,East
18,6,2,12,South
18,5,2,12,South
17,5,2,12,West
16,5,2,11,West
15,5,2,11,West
14,5,2,9,West
13,5,2,7,West
12,5,2,7,West
11,5,2,7,West
10,5,2,6,West
9,5,2,6,West
9,6,2,6,North
9,7,2,6,North
8,7,2,4,West
7,7,2,3,West
6,7,2,1,West
5,7,1,5,West
4,7,1,4,West
3,7,1,3,West
3,8,1,1,North
1,11,4,7,Stop
1,11,4,7,Stop
1,11,4,6,Stop
2,11,4,5,East
3,11,4,4,East
4,11,4,2,East
5,11,4,1,East
6,11,2,10,East
7,11,2,10,East
8,11,2,11,East
9,11,2,10,East
10,11,2,8,East
10,10,2,7,South
10,9,2,5,South
11,9,2,3,East
12,9,2,2,East
12,8,1,12,South
12,7,1,11,South
13,7,1,13,East
14,7,1,13,East
14,6,1,12,South
14,5,1,10,South
13,5,1,9,West
12,5,1,9,West
11,5,1,9,West
10,5,1,7,West
9,5,1,7,West
8,5,1,6,West
7,5,1,4,West
6,5,1,4,West
5,5,1,4,West
4,5,1,2,West
3,5,1,1,West
3,4,1,1,South
3,3,1,1,South
1,11,4,7,Stop
1,11,4,6,Stop
1,11,4,5,Stop
2,11,4,4,East
3,11,4,4,East
4,11,4,2,East
5,11,4,2,East
6,11,4,1,East
6,10,4,2,South
6,9,4,2,South
6,8,4,1,South
7,8,4,1,East
8,8,4,1,East
9,8,4,1,East
8,8,3,4,West
7,8,3,4,West
7,9,3,3,North
7,9,3,2,North
6,9,3,4,West
6,10,3,4,North
6,11,3,2,North
7,11,3,1,East
8,11,2,11,East
9,11,2,13,East
10,11,2,12,East
11,11,2,12,East
11,10,2,12,South
11,9,2,10,South
12,9,2,10,East
13,9,2,10,East
13,8,2,9,South
13,7,2,7,South
14,7,2,7,East
14,6,2,5,South
14,5,2,5,South
15,5,2,5,East
16,5,2,5,East
17,5,2,4,East
18,5,2,3,East
18,6,2,1,North
18,7,1,19,North
18,8,1,19,North
17,8,1,17,West
16,8,1,16,West
15,8,1,16,West
14,8,1,16,West
14,9,1,18,North
14,10,1,20,North
14,11,1,20,North
13,11,1,18,West
12,11,1,18,West
11,11,1,17,West
11,10,1,15,South
11,9,1,15,South
10,9,1,14,West
9,9,1,12,West
9,8,1,11,South
9,7,1,11,South
9,6,1,11,South
9,5,1,10,South
8,5,1,8,West
7,5,1,7,West
6,5,1,5,West
5,5,1,5,West
4,5,1,3,West
3,5,1,3,West
2,5,1,2,West
2,4,1,1,South
1,11,4,7,Stop
1,11,4,7,Stop
1,11,4,7,Stop
2,11,4,5,East
3,11,4,5,East
4,11,4,3,East
5,11,4,3,East
5,10,4,3,South
5,9,4,1,South
5,8,3,5,South
6,8,3,4,East
7,8,3,4,East
8,8,3,4,East
8,7,3,3,South
8,6,3,2,South
9,6,3,2,East
9,5,3,2,South
9,4,3,2,South
10,4,3,2,East
10,5,3,2,North
9,5,2,9,West
8,5,2,11,West
8,6,2,9,North
8,7,2,7,North
8,8,2,7,North
