@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
4,3,-4,East
1,11,559,East
1,2,537,East
1,6,553,East
1,11,560,East
4,1,-7,East
2,11,378,East
2,9,384,East
2,6,380,East
1,8,563,East
3,4,191,East
3,2,172,East
1,6,577,East
1,8,571,East
4,4,-6,East
1,6,577,East
4,4,-4,East
4,6,-4,East
3,2,156,East
2,11,378,East
3,5,176,East
2,2,363,West
1,8,564,West
3,1,177,West
3,2,180,West
1,2,541,West
1,2,553,West
1,7,573,West
1,13,561,West
1,1,567,West
2,6,366,West
2,1,380,West
3,2,180,West
2,2,376,West
1,3,569,West
2,6,365,West
3,2,179,West
1,6,572,West
2,3,380,West
3,2,179,West
3,1,178,West
1,7,573,West
2,3,376,West
2,9,377,West
2,1,375,West
1,2,541,West
1,1,569,West
3,2,158,West
2,6,365,West
2,7,386,West
1,3,571,West
1,13,561,West
1,3,571,West
1,2,570,West
1,3,539,West
3,2,179,West
1,3,571,West
1,2,570,West
2,4,383,West
2,2,376,West
2,3,382,West
2,1,375,West
2,6,385,West
2,4,383,West
1,5,573,West
1,2,553,West
3,3,183,West
2,4,374,West
2,9,377,West
2,3,381,West
2,4,364,West
1,2,568,West
2,6,365,West
2,4,364,West
2,7,386,West
2,6,385,West
2,8,382,West
2,4,374,West
2,4,383,West
2,9,376,West
2,5,384,West
2,1,375,West
1,13,561,West
2,8,382,West
1,6,579,West
2,8,382,West
1,6,572,West
2,2,376,West
1,2,570,West
1,4,572,West
2,2,366,West
1,4,570,West
2,1,365,West
3,3,183,West
2,1,365,West
2,6,385,West
1,3,570,West
2,2,381,West
1,1,567,West
1,6,572,West
4,1,-6,West
1,5,573,West
2,7,372,West
2,2,363,West
4,3,-6,West
2,3,381,West
4,1,-6,West
2,3,382,West
2,2,366,West
4,2,-19,West
2,1,380,West
1,13,561,West
4,14,-1,Stop
4,3,-2,Stop
4,3,-1,Stop
4,13,0,Stop
4,13,0,Stop
4,14,0,Stop
4,14,-2,Stop
4,3,-3,Stop
4,13,-1,Stop
4,3,-2,Stop
4,14,-2,Stop
4,14,-2,Stop
4,3,0,Stop
4,14,0,Stop
4,2,-4,Stop
4,13,-1,Stop
4,14,0,Stop
4,3,-3,Stop
4,2,-1,Stop
4,13,0,Stop
4,14,0,Stop
4,13,0,Stop
4,3,-3,Stop
4,14,0,Stop
4,13,-2,Stop
4,14,-1,Stop
4,13,0,Stop
4,3,0,Stop
4,14,-2,Stop
4,14,-2,Stop
4,2,-2,Stop
4,14,0,Stop
4,2,-2,Stop
4,2,-4,Stop
4,14,-2,Stop
4,13,-2,Stop
4,14,-1,Stop
4,13,0,Stop
4,2,-4,Stop
4,14,-2,Stop
4,14,-1,Stop
4,13,0,Stop
4,2,-1,Stop
4,3,0,Stop
4,13,-1,Stop
4,3,-2,Stop
4,14,-2,Stop
4,13,-2,Stop
4,13,-2,Stop
4,14,0,Stop
4,2,-2,Stop
4,3,-2,Stop
4,3,-1,Stop
4,3,-3,Stop
4,14,-2,Stop
4,3,0,Stop
4,3,0,Stop
4,3,-3,Stop
4,3,0,Stop
4,14,-2,Stop
4,3,-2,Stop
4,13,-1,Stop
4,14,-2,Stop
4,2,-4,Stop
4,14,0,Stop
4,14,-2,Stop
4,13,-1,Stop
4,14,0,Stop
4,3,-3,Stop
4,3,-3,Stop
4,13,-1,Stop
4,3,0,Stop
4,14,-2,Stop
4,2,-4,Stop
4,14,-2,Stop
4,2,-1,Stop
4,3,0,Stop
4,14,0,Stop
4,13,0,Stop
4,13,0,Stop
4,14,-1,Stop
4,13,-2,Stop
4,13,0,Stop
4,14,0,Stop
1,7,521,North
2,18,329,North
2,8,354,North
4,3,-8,North
2,5,349,North
2,9,353,North
4,2,-23,North
1,5,539,North
2,11,351,North
4,1,-24,North
3,2,163,North
3,2,174,North
2,4,360,North
2,10,369,North
4,5,-29,North
4,6,-25,North
1,5,510,North
4,1,-24,North
1,15,529,North
2,5,349,North
3,3,162,North
2,10,371,North
1,15,529,North
4,2,-23,North
2,6,356,North
2,4,360,North
1,7,509,North
2,17,333,North
2,14,338,North
3,2,174,North
1,3,542,North
2,17,333,North
2,18,329,North
2,4,362,North
2,7,355,North
2,8,358,North
2,7,355,North
1,16,530,North
1,8,522,North
3,3,175,North
1,15,529,North
4,2,-7,North
4,2,-23,North
1,7,509,North
1,8,522,North
1,6,540,North
2,6,366,North
2,6,365,North
2,11,351,North
2,15,336,North
1,2,543,North
1,6,520,North
2,7,357,North
2,6,356,North
1,5,510,North
3,3,175,North
1,6,520,North
2,6,366,North
4,2,-23,North
4,1,-24,North
1,16,530,North
2,17,333,North
2,8,367,North
1,4,538,North
2,7,355,North
1,14,528,North
2,11,351,North
2,13,339,North
2,4,362,North
2,18,329,North
2,3,347,North
1,2,543,North
2,10,352,North
2,11,368,North
2,18,329,North
4,7,-26,North
2,18,329,North
2,13,339,North
2,3,347,North
2,10,352,North
2,8,354,North
2,9,353,North
2,6,365,North
2,9,353,North
4,4,-11,South
2,9,322,South
4,4,-15,South
3,14,154,South
3,4,144,South
2,3,356,South
4,7,-18,South
3,8,185,South
2,3,356,South
2,10,323,South
4,9,-10,South
2,12,324,South
2,6,341,South
3,10,173,South
4,9,-10,South
4,8,-11,South
3,14,154,South
3,16,155,South
4,7,-18,South
4,5,-14,South
2,6,320,South
2,5,364,South
3,8,184,South
2,8,361,South
1,1,510,South
1,10,551,South
4,5,-8,South
3,2,165,South
4,5,-9,South
2,12,341,South
3,14,153,South
2,2,355,South
3,16,156,South
4,6,-19,South
2,5,358,South
4,5,-11,South
4,7,-12,South
4,4,-15,South
3,8,179,South
3,4,144,South
1,1,510,South
1,4,504,South
4,8,-22,South
4,5,-12,South
1,3,503,South
3,12,167,South
1,10,551,South
4,4,-11,South
4,6,-13,South
2,5,358,South
3,2,161,South
3,8,185,South
3,2,161,South
4,10,-9,South
2,10,323,South
2,5,366,South
2,9,322,South
4,4,-11,South
3,10,173,South
2,9,359,South
2,9,359,South
2,5,358,South
4,5,-16,South
3,10,173,South
1,4,504,South
4,13,-15,South
3,6,145,South
2,7,342,South
1,5,507,South
4,6,-13,South
4,2,-12,South
3,16,156,South
4,5,-16,South
3,11,174,South
4,7,-18,South
2,5,364,South
2,5,366,South
3,1,164,South
3,2,143,South
4,12,-7,South
4,8,-11,South
4,6,-17,South
1,5,507,South
3,8,184,South
1,13,527,East
1,4,513,East
1,7,543,East
4,4,-5,East
4,3,-31,East
4,2,-17,East
3,5,168,East
3,8,180,East
2,3,338,East
1,8,549,East
4,4,-21,East
1,12,526,East
4,11,-4,East
3,7,162,East
4,6,-27,East
3,5,160,East
2,5,351,East
1,3,512,East
2,4,354,East
4,9,-7,East
1,2,555,East
4,16,-13,East
4,10,-18,East
4,12,-3,East
3,20,161,East
2,4,354,East
4,15,-14,East
1,13,527,East
1,5,506,East
3,9,164,East
2,7,372,East
4,3,-31,East
4,2,-23,East
4,3,-33,East
4,5,-20,East
2,2,360,East
1,6,515,East
3,4,159,East
4,3,-31,East
2,7,372,East
3,19,162,East
4,2,-23,East
4,8,-9,East
3,11,166,East
4,8,-23,East
1,1,501,East
2,4,354,East
4,13,-3,East
4,8,-19,East
1,12,526,East
1,5,518,East
3,19,162,East
2,6,350,East
3,20,161,East
1,1,554,East
4,16,-12,East
2,9,347,East
1,9,550,East
4,8,-20,East
4,4,-5,East
2,8,371,East
4,5,-20,East
4,8,-8,East
1,15,535,East
4,1,-18,East
2,2,337,East
4,3,-4,East
4,16,-8,East
4,8,-9,East
4,5,-13,East
4,5,-13,East
4,16,-13,East
4,3,-4,East
2,4,354,East
4,16,-11,East
2,8,371,East
1,4,543,East
2,2,360,East
4,9,-7,East
4,3,-22,East
4,8,-8,East
1,4,543,East
1,1,501,East
1,13,527,East
2,10,367,West
3,11,172,West
4,2,-13,West
3,18,160,West
3,2,173,West
3,10,150,West
2,18,328,West
3,2,178,West
3,10,150,West
1,12,556,West
3,8,183,West
1,6,548,West
3,2,180,West
1,11,553,West
2,14,326,West
2,8,344,West
2,3,316,West
1,11,553,West
3,8,183,West
4,2,-13,West
3,10,173,West
2,9,369,West
3,1,174,West
1,2,536,West
2,5,317,West
2,8,370,West
1,16,534,West
4,3,-12,West
1,18,532,West
3,11,172,West
1,3,545,West
3,3,176,West
2,14,326,West
1,12,556,West
2,18,328,West
3,12,152,West
2,6,319,West
2,5,317,West
4,3,-12,West
4,6,-13,West
3,16,157,West
1,12,555,West
3,3,174,West
3,18,158,West
3,9,174,West
2,8,344,West
3,2,173,West
2,9,369,West
1,9,551,West
2,4,369,West
2,1,345,West
2,18,328,West
1,6,548,West
3,10,149,West
3,2,172,West
3,2,175,West
3,6,179,West
3,10,151,West
1,2,536,West
3,7,180,West
2,4,368,West
2,6,364,West
1,11,553,West
4,2,-36,West
2,6,367,West
3,2,171,West
3,10,150,West
2,18,328,West
3,4,177,West
2,18,328,West
4,2,-36,West
1,5,511,West
1,3,544,West
1,17,533,West
3,13,170,West
4,4,-13,West
2,15,332,West
2,10,367,West
3,6,182,West
3,16,157,West
2,16,330,West
1,5,547,West
3,9,174,West
3,10,173,West
