@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute class {Stop,North,South,East,West}

@data
11,6,3,East
12,6,3,East
13,6,3,East
14,6,3,East
15,6,3,East
16,6,3,East
16,5,3,South
16,4,3,South
16,3,3,South
15,3,3,West
14,3,3,West
13,3,3,West
12,3,2,West
11,3,2,West
10,3,2,West
9,3,2,West
8,3,2,West
8,4,2,North
8,4,2,North
8,4,2,North
8,4,2,North
8,4,2,North
7,4,2,West
6,4,2,West
5,4,2,West
4,4,2,West
3,4,2,West
2,4,1,West
3,4,1,East
4,4,1,East
5,4,1,East
6,4,1,East
7,4,1,East
8,4,1,East
9,4,1,East
10,4,1,East
11,4,1,East
12,4,1,East
13,4,1,East
14,4,1,East
15,4,1,East
16,4,1,East
17,4,1,East
18,4,1,East
18,5,1,North
18,6,1,North
17,6,1,West
16,6,1,West
15,6,1,West
14,6,1,West
14,5,1,South
1,6,4,Stop
1,6,4,Stop
1,6,4,Stop
1,6,4,Stop
2,6,4,East
3,6,4,East
4,6,4,East
5,6,4,East
6,6,4,East
7,6,4,East
8,6,3,East
9,6,3,East
10,6,3,East
11,6,3,East
12,6,3,East
13,6,3,East
14,6,3,East
15,6,3,East
16,6,2,East
16,5,2,South
16,4,2,South
16,3,2,South
15,3,2,West
14,3,2,West
13,3,2,West
12,3,2,West
11,3,1,West
10,3,1,West
9,3,1,West
8,3,1,West
7,3,1,West
6,3,1,West
1,18,4,Stop
1,18,4,Stop
2,18,4,East
3,18,4,East
4,18,4,East
5,18,4,East
6,18,4,East
7,18,4,East
8,18,4,East
9,18,4,East
10,18,4,East
11,18,4,East
12,18,4,East
13,18,4,East
14,18,4,East
14,17,4,South
14,16,4,South
14,15,4,South
15,15,4,East
16,15,4,East
17,15,4,East
17,14,4,South
17,13,4,South
18,13,4,East
19,13,4,East
19,14,4,North
19,14,4,North
20,14,4,East
20,14,4,East
20,15,4,North
21,15,4,East
22,15,4,East
23,15,4,East
24,15,4,East
24,14,4,South
23,14,4,West
22,14,4,West
22,15,4,North
23,15,3,East
24,15,3,East
23,15,3,West
22,15,3,West
21,15,3,West
20,15,3,West
20,14,3,South
20,13,3,South
20,12,3,South
20,11,3,South
19,11,3,West
18,11,3,West
17,11,3,West
16,11,3,West
15,11,3,West
14,11,3,West
14,10,3,South
14,9,3,South
14,8,3,South
14,7,3,South
14,6,3,South
14,5,2,South
14,4,2,South
14,5,2,North
14,6,2,North
14,7,2,North
14,8,2,North
14,9,2,North
14,10,2,North
