@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
10,3,2,373,East
9,6,3,171,East
9,4,1,554,East
7,6,3,173,East
10,6,3,189,East
18,4,1,545,East
14,6,3,185,East
19,4,2,328,East
7,4,1,556,East
21,6,1,540,East
4,12,1,563,East
10,11,2,384,East
4,11,4,-5,East
14,6,2,347,East
13,12,2,345,East
5,11,4,-7,East
16,6,2,345,East
13,12,2,354,East
19,6,1,542,East
4,12,1,563,East
13,9,2,379,East
15,4,1,548,East
4,6,4,-5,East
5,5,3,177,East
2,11,4,-3,East
8,6,3,190,East
11,12,2,347,East
4,7,3,177,East
7,11,3,187,East
5,5,3,177,East
7,6,3,174,East
2,11,4,-4,East
13,12,2,345,East
9,6,3,171,East
16,6,2,382,East
15,6,3,183,East
4,7,3,177,East
5,12,1,562,East
14,6,2,347,East
3,4,2,379,East
19,4,2,328,East
7,6,3,173,East
17,3,2,331,East
17,3,2,331,East
7,11,4,-8,East
11,4,3,166,East
5,11,4,-6,East
12,4,1,551,East
23,6,1,538,East
3,5,3,180,East
2,11,4,-3,East
5,6,4,-7,East
2,6,4,-3,East
19,6,1,542,East
3,4,1,560,East
18,4,1,545,East
9,11,2,385,East
15,6,3,184,East
24,5,1,522,East
3,11,4,-4,East
6,9,3,190,East
13,4,1,550,East
17,3,2,331,East
7,6,3,174,East
12,9,2,380,East
6,6,4,-8,East
5,4,2,377,East
15,6,3,184,East
11,6,3,188,East
14,10,4,-4,East
4,4,1,559,East
24,6,1,537,East
10,4,1,553,East
3,4,1,560,East
6,6,4,-7,East
13,8,2,378,East
10,11,2,384,East
2,4,2,380,East
4,12,1,563,East
8,6,3,191,East
8,6,3,172,East
6,7,1,577,East
11,3,1,571,East
4,11,4,-6,East
6,7,1,577,East
3,11,4,-4,East
2,6,4,-4,East
10,8,3,156,East
13,8,2,378,East
5,7,3,176,East
4,4,2,363,West
3,12,1,564,West
13,3,3,177,West
12,7,3,180,West
16,6,1,541,West
6,6,1,553,West
13,5,1,573,West
2,4,1,561,West
7,5,1,567,West
7,4,2,366,West
6,6,2,380,West
12,7,3,180,West
13,3,2,376,West
9,5,1,569,West
6,4,2,365,West
15,3,3,179,West
12,5,1,572,West
9,5,2,380,West
15,3,3,179,West
14,3,3,178,West
13,5,1,573,West
12,3,2,376,West
12,8,2,377,West
12,3,2,375,West
16,6,1,541,West
6,3,1,569,West
9,9,3,158,West
6,4,2,365,West
12,6,2,386,West
8,3,1,571,West
2,4,1,561,West
8,3,1,571,West
7,3,1,570,West
14,6,1,539,West
15,3,3,179,West
3,3,1,571,West
7,3,1,570,West
9,6,2,383,West
13,3,2,376,West
8,6,2,382,West
12,3,2,375,West
11,6,2,385,West
9,6,2,383,West
10,3,1,573,West
6,6,1,553,West
13,9,3,183,West
10,3,2,374,West
12,8,2,377,West
10,5,2,381,West
5,4,2,364,West
8,5,1,568,West
6,4,2,365,West
5,4,2,364,West
12,6,2,386,West
11,6,2,385,West
1,3,2,382,West
10,3,2,374,West
9,6,2,383,West
11,8,2,376,West
10,6,2,384,West
12,3,2,375,West
2,4,1,561,West
1,3,2,382,West
5,6,1,579,West
1,3,2,382,West
12,5,1,572,West
13,3,2,376,West
7,3,1,570,West
9,3,1,572,West
5,12,2,366,West
10,5,1,570,West
4,12,2,365,West
13,9,3,183,West
4,12,2,365,West
11,6,2,385,West
2,3,1,570,West
7,6,2,381,West
7,5,1,567,West
12,5,1,572,West
13,11,4,-6,West
10,3,1,573,West
8,3,2,372,West
4,4,2,363,West
13,11,4,-6,West
10,5,2,381,West
13,11,4,-6,West
8,6,2,382,West
5,12,2,366,West
4,7,4,-19,West
6,6,2,380,West
2,4,1,561,West
1,13,4,-1,Stop
12,10,4,-2,Stop
12,10,4,-1,Stop
1,18,4,0,Stop
1,18,4,0,Stop
1,13,4,0,Stop
1,13,4,-2,Stop
12,10,4,-3,Stop
1,13,4,-1,Stop
12,10,4,-2,Stop
1,13,4,-2,Stop
1,13,4,-2,Stop
12,10,4,0,Stop
1,13,4,0,Stop
12,10,4,-4,Stop
1,13,4,-1,Stop
1,13,4,0,Stop
12,10,4,-3,Stop
12,10,4,-1,Stop
1,18,4,0,Stop
1,13,4,0,Stop
1,18,4,0,Stop
12,10,4,-3,Stop
1,13,4,0,Stop
1,18,4,-2,Stop
1,18,4,-1,Stop
1,18,4,0,Stop
12,10,4,0,Stop
1,13,4,-2,Stop
1,13,4,-2,Stop
12,10,4,-2,Stop
1,13,4,0,Stop
12,10,4,-2,Stop
12,10,4,-4,Stop
1,13,4,-2,Stop
1,18,4,-2,Stop
1,13,4,-1,Stop
1,18,4,0,Stop
12,10,4,-4,Stop
1,13,4,-2,Stop
1,13,4,-1,Stop
1,18,4,0,Stop
12,10,4,-1,Stop
12,10,4,0,Stop
1,13,4,-1,Stop
12,10,4,-2,Stop
1,13,4,-2,Stop
1,18,4,-2,Stop
1,18,4,-2,Stop
1,13,4,0,Stop
12,10,4,-2,Stop
12,10,4,-2,Stop
12,10,4,-1,Stop
12,10,4,-3,Stop
1,13,4,-2,Stop
12,10,4,0,Stop
12,10,4,0,Stop
12,10,4,-3,Stop
12,10,4,0,Stop
1,13,4,-2,Stop
12,10,4,-2,Stop
1,18,4,-1,Stop
1,13,4,-2,Stop
12,10,4,-4,Stop
1,13,4,0,Stop
1,13,4,-2,Stop
1,18,4,-1,Stop
1,13,4,0,Stop
12,10,4,-3,Stop
12,10,4,-3,Stop
1,18,4,-1,Stop
12,10,4,0,Stop
1,13,4,-2,Stop
12,10,4,-4,Stop
1,13,4,-2,Stop
12,10,4,-1,Stop
12,10,4,0,Stop
1,13,4,0,Stop
1,18,4,0,Stop
1,18,4,0,Stop
1,18,4,-1,Stop
1,18,4,-2,Stop
1,18,4,0,Stop
1,13,4,0,Stop
19,12,1,521,North
13,12,2,329,North
11,8,2,354,North
15,13,4,-8,North
18,4,2,349,North
11,9,2,353,North
4,8,4,-23,North
17,9,1,539,North
11,11,2,351,North
4,9,4,-24,North
11,5,3,163,North
5,5,3,174,North
3,13,2,360,North
8,13,2,369,North
20,15,4,-29,North
19,14,4,-25,North
1,7,1,510,North
4,9,4,-24,North
14,9,1,529,North
18,4,2,349,North
11,6,3,162,North
7,6,2,371,North
14,9,1,529,North
4,8,4,-23,North
11,6,2,356,North
3,13,2,360,North
1,8,1,509,North
14,11,2,333,North
14,6,2,338,North
5,5,3,174,North
12,4,1,542,North
14,11,2,333,North
13,12,2,329,North
3,11,2,362,North
11,7,2,355,North
11,4,2,358,North
11,7,2,355,North
14,8,1,530,North
19,11,1,522,North
5,4,3,175,North
14,9,1,529,North
15,12,4,-7,North
4,8,4,-23,North
1,8,1,509,North
19,11,1,522,North
17,8,1,540,North
4,8,2,366,North
4,9,2,365,North
11,11,2,351,North
14,8,2,336,North
1,4,1,543,North
19,13,1,520,North
11,5,2,357,North
11,6,2,356,North
1,7,1,510,North
5,4,3,175,North
19,13,1,520,North
4,8,2,366,North
4,8,4,-23,North
4,9,4,-24,North
14,8,1,530,North
14,11,2,333,North
4,7,2,367,North
17,10,1,538,North
11,7,2,355,North
14,10,1,528,North
11,11,2,351,North
14,5,2,339,North
3,11,2,362,North
13,12,2,329,North
18,6,2,347,North
1,4,1,543,North
11,10,2,352,North
8,14,2,368,North
13,12,2,329,North
19,14,4,-26,North
13,12,2,329,North
14,5,2,339,North
18,6,2,347,North
11,10,2,352,North
11,8,2,354,North
11,9,2,353,North
4,9,2,365,North
11,9,2,353,North
15,6,4,-11,South
10,8,2,322,South
10,13,4,-15,South
20,12,3,154,South
14,8,3,144,South
3,7,2,356,South
1,6,4,-18,South
13,4,3,185,South
3,7,2,356,South
10,9,2,323,South
1,14,4,-10,South
10,10,2,324,South
13,8,2,341,South
5,7,3,173,South
1,14,4,-10,South
1,13,4,-11,South
20,12,3,154,South
20,13,3,155,South
1,6,4,-18,South
1,10,4,-14,South
10,6,2,320,South
9,3,2,364,South
13,3,3,184,South
3,12,2,361,South
25,14,1,510,South
5,4,1,551,South
15,9,4,-8,South
11,5,3,165,South
15,8,4,-9,South
14,5,2,341,South
20,11,3,153,South
3,6,2,355,South
20,14,3,156,South
1,5,4,-19,South
3,9,2,358,South
5,8,4,-11,South
1,12,4,-12,South
10,13,4,-15,South
17,10,3,179,South
14,8,3,144,South
25,14,1,510,South
3,5,1,504,South
17,13,4,-22,South
9,11,4,-12,South
3,4,1,503,South
1,3,3,167,South
5,4,1,551,South
15,6,4,-11,South
1,11,4,-13,South
3,9,2,358,South
11,5,3,161,South
13,4,3,185,South
11,5,3,161,South
1,15,4,-9,South
10,9,2,323,South
9,5,2,366,South
10,8,2,322,South
15,6,4,-11,South
5,7,3,173,South
11,3,2,359,South
11,3,2,359,South
3,9,2,358,South
1,8,4,-16,South
5,7,3,173,South
