@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
3,4,192,South
1,3,568,South
2,3,383,South
1,5,570,East
1,5,576,East
3,6,195,East
3,1,188,East
1,5,565,East
4,2,-4,East
1,5,563,East
3,2,189,East
4,2,-4,East
1,4,567,East
1,5,563,East
1,5,565,East
1,4,567,East
1,4,568,East
4,2,-7,East
3,1,188,East
1,6,578,East
1,6,578,East
1,5,573,East
1,5,570,East
1,8,581,East
2,3,387,East
1,5,573,East
3,6,195,East
1,7,569,East
4,2,-6,East
1,4,567,East
1,5,563,East
1,16,586,West
3,2,189,West
1,2,574,West
2,4,386,West
1,2,574,West
2,3,380,West
2,4,386,West
3,5,193,West
3,3,186,West
2,10,380,West
2,4,386,West
3,5,194,West
3,4,191,West
3,5,194,West
3,6,196,West
3,2,191,West
2,12,382,West
3,3,191,West
3,5,194,West
2,3,385,West
3,3,192,West
2,8,388,West
2,10,380,West
3,4,191,West
3,2,190,West
2,3,385,West
3,5,194,West
2,3,384,West
