@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
12,5,1,5,South
12,5,1,4,South
12,6,1,4,North
13,6,1,3,East
14,6,1,3,East
15,6,1,3,East
16,6,1,3,East
17,6,1,3,East
18,6,1,2,East
18,5,1,2,South
18,4,1,2,South
18,3,1,2,South
17,3,1,2,West
17,4,1,1,North
1,6,4,7,Stop
1,5,4,6,South
1,4,4,5,South
2,4,4,4,East
3,4,4,3,East
4,4,4,2,East
5,4,4,1,East
6,4,3,4,East
6,5,3,3,North
6,6,3,2,North
7,6,3,1,East
8,6,2,6,East
9,6,2,5,East
10,6,2,4,East
10,5,2,3,South
10,4,2,2,South
10,3,2,1,South
11,3,1,8,East
11,4,1,7,North
12,4,1,6,East
12,5,1,5,North
12,6,1,4,North
13,6,1,3,East
14,6,1,2,East
15,6,1,1,East
1,11,4,7,Stop
1,10,4,7,South
1,9,4,7,South
1,8,4,7,South
2,8,4,5,East
3,8,4,4,East
4,8,4,4,East
4,7,4,3,South
5,7,4,3,East
6,7,4,3,East
6,8,4,3,North
6,9,4,1,North
7,9,3,4,East
8,9,3,2,East
9,9,3,4,East
8,9,3,3,West
7,9,3,3,West
8,9,3,3,East
7,9,3,3,West
6,9,3,3,West
6,10,3,3,North
6,11,3,3,North
7,11,3,3,East
8,11,3,1,East
9,11,2,11,East
10,11,2,11,East
10,10,2,10,South
10,9,2,10,South
10,8,2,8,South
10,7,2,8,South
10,7,2,7,South
10,8,2,9,North
10,7,2,9,South
10,7,2,8,South
10,8,2,6,North
10,8,2,7,North
10,8,2,6,North
10,8,2,5,North
10,8,2,6,North
10,8,2,7,North
10,9,2,7,North
11,9,2,6,East
12,9,2,4,East
13,9,2,3,East
14,9,2,3,East
15,9,2,3,East
16,9,2,1,East
16,8,1,15,South
16,7,1,13,South
15,7,1,11,West
14,7,1,10,West
14,6,1,9,South
14,5,1,9,South
14,4,1,8,South
13,4,1,8,West
13,4,1,9,West
13,3,1,8,South
13,3,1,9,South
13,4,1,9,North
13,3,1,9,South
13,4,1,8,North
13,4,1,8,North
13,4,1,7,North
13,4,1,8,North
13,3,1,7,South
13,3,1,8,South
13,3,1,9,South
13,3,1,9,South
13,3,1,8,South
13,3,1,9,South
13,3,1,9,South
13,3,1,8,South
13,3,1,9,South
13,4,1,7,North
13,4,1,6,North
13,4,1,7,North
13,4,1,8,North
13,4,1,9,North
13,3,1,9,South
13,3,1,10,South
13,3,1,11,South
13,3,1,11,South
