@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
11,6,2,4,382,East
3,4,4,3,-6,East
10,6,2,4,387,East
9,6,2,6,384,East
8,11,2,5,385,East
2,4,4,6,-3,East
3,8,4,3,-5,East
3,7,3,3,182,East
3,8,4,3,-5,East
11,4,1,5,541,East
4,10,1,1,574,East
15,5,1,4,530,East
9,6,2,6,384,East
12,6,2,3,381,East
9,3,2,4,383,East
6,5,2,9,361,East
9,6,2,5,388,East
4,9,4,2,-5,East
5,8,3,5,193,East
14,5,1,4,531,East
15,4,2,2,376,East
3,4,2,13,365,East
7,11,3,1,186,East
4,10,1,1,574,East
8,11,2,5,385,East
17,5,1,2,528,East
9,6,2,5,388,East
3,8,4,3,-5,East
8,5,2,5,357,East
7,4,3,4,188,East
11,6,2,4,382,East
8,3,2,4,384,East
3,4,4,3,-6,East
8,3,2,2,386,East
3,8,4,3,-5,East
14,9,4,2,-7,East
11,4,1,5,541,East
14,4,1,1,577,East
15,11,1,16,578,East
11,11,2,5,382,East
11,4,1,5,541,East
4,4,3,2,191,East
5,4,1,4,575,East
11,4,1,4,543,East
3,4,4,3,-6,East
3,7,3,5,174,East
13,5,1,5,532,East
5,3,3,6,191,East
8,3,2,2,386,East
4,7,4,2,-7,East
2,4,4,6,-3,East
4,4,2,11,364,East
11,4,1,4,543,East
6,11,3,2,187,East
6,9,1,4,579,East
3,7,3,3,182,East
11,3,1,8,583,East
3,4,2,13,365,East
4,4,3,2,191,East
4,4,4,2,-5,East
11,10,3,2,187,West
11,5,1,9,558,West
13,3,1,1,569,West
11,10,3,2,187,West
1,7,3,2,170,West
14,4,1,2,575,West
5,5,1,4,546,West
6,6,2,1,384,West
14,3,2,2,374,West
10,5,1,8,557,West
8,3,1,1,568,West
5,6,1,6,583,West
2,7,3,2,179,West
8,6,1,8,562,West
5,5,1,4,546,West
11,5,1,9,558,West
6,6,2,1,384,West
3,7,3,3,190,West
9,9,2,7,384,West
7,5,1,7,554,West
14,11,1,14,577,West
11,10,3,2,187,West
9,9,2,7,384,West
8,3,1,1,568,West
4,4,1,2,544,West
7,6,2,2,385,West
12,5,1,10,559,West
2,7,3,3,175,West
7,5,1,7,554,West
2,7,3,3,181,West
11,5,1,9,558,West
7,4,1,6,559,West
6,6,2,1,384,West
13,8,4,2,-9,West
12,4,1,2,573,West
8,6,2,3,386,West
9,9,2,7,384,West
3,7,3,3,188,West
12,7,1,11,567,West
2,7,3,2,179,West
9,5,1,7,556,West
12,4,1,2,573,West
2,7,3,2,177,West
12,7,1,11,567,West
6,4,1,4,558,West
2,7,3,3,173,West
12,5,1,10,559,West
13,3,1,1,569,West
6,4,1,4,558,West
11,5,1,9,558,West
10,7,1,10,565,West
6,6,2,1,384,West
11,4,1,2,572,West
13,3,1,10,568,West
2,7,3,3,171,West
8,6,2,3,386,West
7,6,2,2,385,West
10,5,1,8,557,West
13,8,4,2,-9,West
6,5,1,6,549,West
6,4,1,4,558,West
4,7,3,3,191,West
6,5,1,6,549,West
7,4,1,6,559,West
10,6,2,5,388,West
3,7,3,3,190,West
2,7,3,3,173,West
5,4,1,4,557,West
8,5,1,7,555,West
2,7,3,3,173,West
12,5,1,10,559,West
9,3,1,2,569,West
2,7,3,2,177,West
6,5,1,6,549,West
12,10,4,3,0,Stop
12,10,4,3,0,Stop
1,6,4,7,0,Stop
1,6,4,7,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
1,6,4,7,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
1,6,4,7,0,Stop
1,6,4,7,0,Stop
12,10,4,3,0,Stop
1,6,4,7,0,Stop
12,10,4,3,0,Stop
1,6,4,7,0,Stop
1,6,4,7,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
13,9,1,3,566,North
6,14,3,2,184,North
2,6,4,4,-3,North
13,4,1,3,566,North
12,11,4,3,-1,North
9,4,2,3,386,North
9,7,2,3,382,North
4,7,1,13,577,North
10,4,1,6,577,North
7,12,3,3,187,North
4,7,1,13,577,North
4,7,1,12,578,North
13,5,1,3,565,North
7,12,3,3,187,North
13,9,1,3,566,North
12,12,4,1,-2,North
13,9,1,3,566,North
4,6,1,15,580,North
7,12,3,3,187,North
8,5,1,8,582,North
7,12,3,3,187,North
13,9,1,3,566,North
13,4,1,4,570,North
13,4,1,3,569,North
4,8,1,11,576,North
13,5,1,3,565,North
12,11,4,3,-1,North
3,10,1,9,571,North
3,12,2,9,379,South
4,9,1,15,585,South
4,5,1,15,581,South
13,3,1,3,568,South
3,8,2,2,375,South
3,10,2,5,377,South
12,12,3,5,196,South
3,8,2,2,375,South
14,10,3,6,194,South
14,8,3,4,192,South
3,9,2,4,376,South
4,6,1,15,582,South
7,11,3,3,190,South
7,11,3,3,190,South
10,12,3,6,194,South
14,10,3,6,194,South
4,13,2,10,381,South
3,7,1,10,574,South
6,3,3,3,190,South
4,7,1,15,583,South
9,6,2,3,383,South
8,7,2,2,379,South
9,3,1,7,579,South
10,11,3,4,193,South
13,3,1,3,568,South
14,8,3,4,192,South
13,3,1,3,568,South
9,6,2,3,383,South
10,8,1,5,570,East
11,4,1,5,576,East
14,11,3,6,195,East
8,3,3,1,188,East
6,11,1,5,565,East
3,6,4,2,-4,East
8,11,1,5,563,East
7,3,3,2,189,East
3,6,4,2,-4,East
13,8,1,4,567,East
8,11,1,5,563,East
6,11,1,5,565,East
13,8,1,4,567,East
12,8,1,4,568,East
6,6,4,2,-7,East
8,3,3,1,188,East
10,3,1,6,578,East
10,3,1,6,578,East
13,3,1,5,573,East
10,8,1,5,570,East
9,5,1,8,581,East
9,3,2,3,387,East
13,3,1,5,573,East
14,11,3,6,195,East
4,11,1,7,569,East
5,6,4,2,-6,East
13,8,1,4,567,East
8,11,1,5,563,East
4,10,1,16,586,West
6,11,3,2,189,West
4,6,1,2,574,West
11,7,2,4,386,West
4,6,1,2,574,West
8,8,2,3,380,West
11,7,2,4,386,West
9,12,3,5,193,West
6,12,3,3,186,West
3,13,2,10,380,West
11,7,2,4,386,West
10,12,3,5,194,West
13,8,3,4,191,West
10,12,3,5,194,West
10,12,3,6,196,West
8,11,3,2,191,West
4,14,2,12,382,West
7,12,3,3,191,West
10,12,3,5,194,West
10,7,2,3,385,West
9,11,3,3,192,West
12,8,2,8,388,West
3,13,2,10,380,West
13,8,3,4,191,West
7,11,3,2,190,West
10,7,2,3,385,West
10,12,3,5,194,West
9,7,2,3,384,West
