@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,13,8,-5,South
1,12,7,-6,South
1,11,5,-7,South
1,10,5,-8,South
1,10,6,-9,South
1,9,4,-10,South
1,8,2,-11,South
1,7,1,-12,South
1,6,3,187,South
1,5,2,186,South
2,5,1,185,East
2,6,2,384,North
2,5,2,383,South
2,4,10,582,South
2,5,9,581,North
2,6,7,580,North
3,6,6,579,East
3,7,6,578,North
3,8,5,577,North
3,9,4,576,North
3,10,2,575,North
4,10,1,574,East
1,6,7,0,Stop
1,5,5,-1,South
1,4,5,-2,South
1,3,3,-3,South
2,3,3,-4,East
2,4,3,-5,North
3,4,3,-6,East
4,4,2,-7,East
5,4,1,-8,East
6,4,2,191,East
6,5,7,390,North
6,4,7,389,South
6,3,5,388,South
7,3,3,387,East
8,3,2,386,East
9,3,2,385,East
10,3,2,384,East
10,4,1,383,North
11,4,4,582,East
12,4,2,581,East
12,5,3,580,North
12,4,2,579,South
13,4,2,578,East
14,4,1,577,East
1,6,7,0,Stop
1,5,6,-1,South
1,4,5,-2,South
2,4,4,-3,East
3,4,3,-4,East
4,4,2,-5,East
5,4,1,-6,East
6,4,4,193,East
6,5,3,192,North
6,6,2,191,North
7,6,1,190,East
8,6,6,389,East
9,6,5,388,East
10,6,4,387,East
10,5,3,386,South
10,4,2,385,South
10,3,1,384,South
11,3,8,583,East
11,4,7,582,North
12,4,6,581,East
12,5,5,580,North
12,6,4,579,North
13,6,3,578,East
14,6,2,577,East
15,6,1,576,East
12,10,3,0,Stop
12,11,3,-1,North
12,12,3,-2,North
13,12,2,-3,East
13,11,2,-4,South
14,11,6,195,East
14,10,6,194,South
14,9,5,193,South
14,8,4,192,South
13,8,4,191,West
13,9,4,190,North
13,8,2,189,South
12,8,8,388,West
12,7,6,387,South
11,7,4,386,West
10,7,3,385,West
9,7,3,384,West
9,6,3,383,South
9,7,3,382,North
9,8,3,381,North
8,8,3,380,West
