@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0.588235,0.066667,0,0.3,0.998339,North
0.647059,0.066667,0,0.25,0.996678,East
0.647059,0.133333,0,0.2,0.995017,North
0.647059,0.2,0,0.15,0.993355,North
0.705882,0.2,0,0.1,0.991694,East
0.764706,0.2,0,0.05,0.990033,East
0.823529,0.2,0,0,0.988372,East
0,0.533333,1,0.3,0.031561,Stop
0,0.466667,1,0.3,0.0299,South
0,0.4,1,0.3,0.028239,South
0,0.333333,1,0.3,0.026578,South
0.058824,0.333333,1,0.2,0.024917,East
0.117647,0.333333,1,0.15,0.023256,East
0.176471,0.333333,1,0.15,0.021595,East
0.176471,0.266667,1,0.1,0.019934,South
0.235294,0.266667,1,0.1,0.018272,East
0.294118,0.266667,1,0.1,0.016611,East
0.294118,0.333333,1,0.1,0.01495,North
0.294118,0.4,1,0,0.013289,North
0.352941,0.4,0.666667,0.15,0.343854,East
0.411765,0.4,0.666667,0.05,0.342193,East
0.470588,0.4,0.666667,0.15,0.340532,East
0.411765,0.4,0.666667,0.1,0.33887,West
0.352941,0.4,0.666667,0.1,0.337209,West
0.411765,0.4,0.666667,0.1,0.335548,East
0.352941,0.4,0.666667,0.1,0.333887,West
0.294118,0.4,0.666667,0.1,0.332226,West
0.294118,0.466667,0.666667,0.1,0.330565,North
0.294118,0.533333,0.666667,0.1,0.328904,North
0.352941,0.533333,0.666667,0.1,0.327243,East
0.411765,0.533333,0.666667,0,0.325581,East
0.470588,0.533333,0.333333,0.5,0.656146,East
0.529412,0.533333,0.333333,0.5,0.654485,East
0.529412,0.466667,0.333333,0.45,0.652824,South
0.529412,0.4,0.333333,0.45,0.651163,South
0.529412,0.333333,0.333333,0.35,0.649502,South
0.529412,0.266667,0.333333,0.35,0.647841,South
0.529412,0.266667,0.333333,0.3,0.646179,South
0.529412,0.333333,0.333333,0.4,0.644518,North
0.529412,0.266667,0.333333,0.4,0.642857,South
0.529412,0.266667,0.333333,0.35,0.641196,South
0.529412,0.333333,0.333333,0.25,0.639535,North
0.529412,0.333333,0.333333,0.3,0.637874,North
0.529412,0.333333,0.333333,0.25,0.636213,North
0.529412,0.333333,0.333333,0.2,0.634551,North
0.529412,0.333333,0.333333,0.25,0.63289,North
0.529412,0.333333,0.333333,0.3,0.631229,North
0.529412,0.4,0.333333,0.3,0.629568,North
0.588235,0.4,0.333333,0.25,0.627907,East
0.647059,0.4,0.333333,0.15,0.626246,East
0.705882,0.4,0.333333,0.1,0.624585,East
0.764706,0.4,0.333333,0.1,0.622924,East
0.823529,0.4,0.333333,0.1,0.621262,East
0.882353,0.4,0.333333,0,0.619601,East
0.882353,0.333333,0,0.7,0.950166,South
0.882353,0.266667,0,0.6,0.948505,South
0.823529,0.266667,0,0.5,0.946844,West
0.764706,0.266667,0,0.45,0.945183,West
0.764706,0.2,0,0.4,0.943522,South
0.764706,0.133333,0,0.4,0.94186,South
0.764706,0.066667,0,0.35,0.940199,South
0.705882,0.066667,0,0.35,0.938538,West
0.705882,0.066667,0,0.4,0.936877,West
0.705882,0,0,0.35,0.935216,South
0.705882,0,0,0.4,0.933555,South
