@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
0.125,0.266667,1,0.021488,South,-7
0.1875,0.266667,1,0.019835,East,-8
0.1875,0.333333,1,0.018182,North,191
0.25,0.333333,0.666667,0.347107,East,190
0.25,0.4,0.666667,0.345455,North,189
0.25,0.466667,0.666667,0.343802,North,188
0.25,0.533333,0.666667,0.342149,North,187
0.3125,0.533333,0.666667,0.340496,East,186
0.375,0.533333,0.666667,0.338843,East,385
0.4375,0.533333,0.333333,0.667769,East,384
0.5,0.533333,0.333333,0.666116,East,383
0.5625,0.533333,0.333333,0.664463,East,382
0.625,0.533333,0.333333,0.66281,East,381
0.6875,0.533333,0.333333,0.661157,East,380
0.75,0.533333,0.333333,0.659504,East,379
0.8125,0.533333,0.333333,0.657851,East,578
0.875,0.533333,0,0.986777,East,577
0.8125,0.533333,0,0.985124,West,676
0.8125,0.466667,0,0.983471,South,575
0.8125,0.4,0,0.981818,South,574
0.8125,0.333333,0,0.980165,South,573
0.8125,0.266667,0,0.978512,South,572
0.8125,0.2,0,0.97686,South,571
0.8125,0.133333,0,0.975207,South,570
0.8125,0.066667,0,0.973554,South,569
0.8125,0,0,0.971901,South,568
0.75,0,0,0.970248,West,567
0.75,0.066667,0,0.968595,North,566
0.75,0.066667,0,0.966942,North,565
0.75,0.133333,0,0.965289,North,564
0.75,0.066667,0,0.963636,South,563
0.75,0.066667,0,0.961983,South,562
0.75,0,0,0.960331,South,561
0.75,0.066667,0,0.958678,North,560
0.75,0.133333,0,0.957025,North,559
0.6875,0.133333,0,0.955372,West,558
0.625,0.133333,0,0.953719,West,557
0.5625,0.133333,0,0.952066,West,556
0.5,0.133333,0,0.950413,West,555
0.4375,0.133333,0,0.94876,West,554
0.375,0.133333,0,0.947107,West,553
0.375,0.066667,0,0.945455,South,552
0.375,0.133333,0,0.943802,North,551
0.375,0.066667,0,0.942149,South,550
0.375,0.133333,0,0.940496,North,549
0.3125,0.133333,0,0.938843,West,548
0.3125,0.066667,0,0.93719,South,547
0.3125,0.133333,0,0.935537,North,546
0.25,0.133333,0,0.933884,West,545
0.25,0.066667,0,0.932231,South,544
0.1875,0.066667,0,0.930579,West,543
0.1875,0,0,0.928926,South,742
0,0.533333,1,0.031405,Stop,-1
0,0.466667,1,0.029752,South,-2
0,0.4,1,0.028099,South,-3
0.0625,0.4,1,0.026446,East,-4
0.125,0.4,1,0.024793,East,-5
0.1875,0.4,1,0.02314,East,-6
0.1875,0.333333,1,0.021488,South,193
0.25,0.333333,0.666667,0.350413,East,192
0.25,0.266667,0.666667,0.34876,South,191
0.1875,0.266667,0.666667,0.347107,West,190
0.125,0.266667,0.666667,0.345455,West,189
0.1875,0.266667,0.666667,0.343802,East,188
0.125,0.266667,0.666667,0.342149,West,187
0.1875,0.266667,0.666667,0.340496,East,186
0.125,0.266667,0.666667,0.338843,West,185
0.1875,0.266667,0.666667,0.33719,East,184
0.125,0.266667,0.666667,0.335537,West,183
0.0625,0.266667,0.666667,0.333884,West,182
0.125,0.266667,0.666667,0.332231,East,181
0.0625,0.266667,0.666667,0.330579,West,180
0.125,0.266667,0.666667,0.328926,East,179
0.0625,0.266667,0.666667,0.327273,West,178
0.125,0.266667,0.666667,0.32562,East,177
0.0625,0.266667,0.666667,0.323967,West,176
0.125,0.266667,0.666667,0.322314,East,175
0.0625,0.266667,0.666667,0.320661,West,174
0.125,0.266667,0.666667,0.319008,East,173
0.0625,0.266667,0.666667,0.317355,West,172
0.125,0.266667,0.666667,0.315702,East,171
0.0625,0.266667,0.666667,0.31405,West,170
0,0.266667,0.666667,0.312397,West,169
0,0.2,0.666667,0.310744,South,168
0,0.133333,0.333333,0.639669,South,367
0,0.066667,0.333333,0.638017,South,366
0.0625,0.066667,0.333333,0.636364,East,365
0.125,0.066667,0.333333,0.634711,East,364
0.1875,0.066667,0.333333,0.633058,East,363
0.25,0.066667,0.333333,0.631405,East,362
0.25,0.133333,0.333333,0.629752,North,361
0.3125,0.133333,0.333333,0.628099,East,360
0.375,0.133333,0.333333,0.626446,East,359
0.375,0.066667,0.333333,0.624793,South,358
0.375,0.133333,0.333333,0.62314,North,357
0.4375,0.133333,0.333333,0.621488,East,356
0.4375,0.2,0.333333,0.619835,North,355
0.4375,0.266667,0.333333,0.618182,North,354
0.4375,0.333333,0.333333,0.616529,North,353
0.4375,0.4,0.333333,0.614876,North,352
0.5,0.4,0.333333,0.613223,East,351
0.5625,0.4,0.333333,0.61157,East,550
0.5625,0.466667,0,0.940496,North,549
0.5625,0.4,0,0.938843,South,548
0.5625,0.333333,0,0.93719,South,547
0.5625,0.266667,0,0.935537,South,646
0.5625,0.2,0,0.933884,South,545
0.5625,0.133333,0,0.932231,South,544
0.5625,0.066667,0,0.930579,South,543
0.625,0.066667,0,0.928926,East,542
0.625,0.066667,0,0.927273,East,541
0.625,0.066667,0,0.92562,East,540
0.625,0.066667,0,0.923967,East,539
0.625,0.066667,0,0.922314,East,538
0.625,0,0,0.920661,South,537
0.625,0,0,0.919008,South,536
0.625,0.066667,0,0.917355,North,535
0.625,0.066667,0,0.915702,North,534
0.625,0.133333,0,0.91405,North,533
0.6875,0.133333,0,0.912397,East,532
0.75,0.133333,0,0.910744,East,531
0.8125,0.133333,0,0.909091,East,530
0.875,0.133333,0,0.907438,East,529
0.9375,0.133333,0,0.905785,East,528
1,0.133333,0,0.904132,East,527
0,1,1,0.031405,Stop,-1
0,0.933333,1,0.029752,South,-2
0,0.866667,1,0.028099,South,-3
0,0.8,1,0.026446,South,-4
0,0.733333,1,0.024793,South,-5
0,0.666667,1,0.02314,South,-6
0,0.6,1,0.021488,South,-7
0,0.533333,1,0.019835,South,-8
0,0.466667,1,0.018182,South,-9
0,0.4,1,0.016529,South,-10
0,0.4,1,0.014876,South,-11
0,0.4,1,0.013223,South,-12
0,0.4,1,0.01157,South,-13
0,0.333333,1,0.009917,South,-14
0,0.266667,1,0.008264,South,-15
0,0.2,1,0.006612,South,-16
0,0.133333,1,0.004959,South,-17
0,0.2,1,0.003306,North,-18
0,0.266667,1,0.001653,North,-19
0,0.2,1,0,South,180
0.0625,0.2,0.666667,0.328926,East,179
0.125,0.2,0.666667,0.327273,East,178
0.125,0.133333,0.666667,0.32562,South,377
0.1875,0.133333,0.333333,0.654545,East,376
0.1875,0.066667,0.333333,0.652893,South,575
0.25,0.066667,0,0.981818,East,574
0.25,0.133333,0,0.980165,North,573
0,1,1,0.031405,Stop,-1
0,0.933333,1,0.029752,South,-2
0,0.866667,1,0.028099,South,-3
0,0.8,1,0.026446,South,-4
0,0.733333,1,0.024793,South,-5
0,0.666667,1,0.02314,South,-6
0,0.6,1,0.021488,South,-7
0,0.533333,1,0.019835,South,-8
0,0.466667,1,0.018182,South,-9
0,0.466667,1,0.016529,South,-10
0,0.4,1,0.014876,South,-11
0,0.333333,1,0.013223,South,-12
0,0.266667,1,0.01157,South,187
0,0.2,0.666667,0.340496,South,186
0,0.133333,0.666667,0.338843,South,185
0.0625,0.133333,0.666667,0.33719,East,384
0.0625,0.2,0.333333,0.666116,North,383
0.0625,0.133333,0.333333,0.664463,South,382
0.0625,0.066667,0,0.993388,South,581
0.0625,0.133333,0,0.991736,North,580
0.0625,0.2,0,0.990083,North,579
0.125,0.2,0,0.98843,East,578
0.125,0.266667,0,0.986777,North,577
0.125,0.333333,0,0.985124,North,576
0.125,0.4,0,0.983471,North,575
0.125,0.466667,0,0.981818,North,574
0.1875,0.466667,0,0.980165,East,773
0,0.2,1,0.031405,Stop,-1
0,0.133333,1,0.029752,South,-2
0,0.066667,1,0.028099,South,-3
0,0,1,0.026446,South,-4
0.0625,0,1,0.024793,East,-5
0.0625,0.066667,1,0.02314,North,-6
0.125,0.066667,1,0.021488,East,-7
0.1875,0.066667,1,0.019835,East,-8
0.25,0.066667,1,0.018182,East,191
0.3125,0.066667,0.666667,0.347107,East,190
0.3125,0.133333,0.333333,0.676033,North,389
0.3125,0.066667,0.333333,0.67438,South,388
0.3125,0,0.333333,0.672727,South,387
0.375,0,0.333333,0.671074,East,386
0.4375,0,0.333333,0.669421,East,385
0.5,0,0.333333,0.667769,East,384
0.5625,0,0.333333,0.666116,East,383
0.5625,0.066667,0.333333,0.664463,North,582
0.625,0.066667,0,0.993388,East,581
0.6875,0.066667,0,0.991736,East,580
0.6875,0.133333,0,0.990083,North,579
0.6875,0.066667,0,0.98843,South,578
0.75,0.066667,0,0.986777,East,577
0.8125,0.066667,0,0.985124,East,776
0,0.2,1,0.031405,Stop,-1
0,0.133333,1,0.029752,South,-2
0,0.066667,1,0.028099,South,-3
0.0625,0.066667,1,0.026446,East,-4
0.125,0.066667,1,0.024793,East,-5
0.1875,0.066667,1,0.02314,East,-6
0.25,0.066667,1,0.021488,East,193
0.3125,0.066667,0.666667,0.350413,East,192
0.3125,0.133333,0.666667,0.34876,North,191
0.3125,0.2,0.666667,0.347107,North,190
0.375,0.2,0.666667,0.345455,East,389
0.4375,0.2,0.333333,0.67438,East,388
