@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R6'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric

@data
10,8,2,8,375,374
9,8,2,7,374,373
8,8,2,7,373,372
8,9,2,7,372,371
8,10,2,7,371,370
8,11,2,6,370,369
8,12,2,6,369,368
7,12,2,5,368,367
6,12,2,3,367,366
5,12,2,2,366,365
4,12,2,1,365,564
3,12,1,8,564,563
4,12,1,8,563,562
5,12,1,10,562,561
6,12,1,10,561,560
7,12,1,12,560,559
7,11,1,10,559,558
7,10,1,8,558,557
7,9,1,6,557,556
7,8,1,5,556,555
7,7,1,5,555,554
7,6,1,3,554,553
6,6,1,2,553,552
5,6,1,1,552,751
12,10,4,3,0,-1
12,10,4,3,-1,-2
12,10,4,3,-2,-3
13,10,4,2,-3,-4
14,10,4,3,-4,-5
14,11,4,2,-5,-6
13,11,4,1,-6,193
13,12,3,6,193,192
13,11,3,5,192,191
13,10,3,4,191,190
13,9,3,3,190,189
13,8,3,2,189,188
13,7,3,1,188,387
13,6,2,8,387,386
12,6,2,7,386,385
11,6,2,6,385,384
10,6,2,5,384,383
9,6,2,4,383,382
8,6,2,3,382,381
7,6,2,2,381,380
6,6,2,1,380,579
5,6,1,6,579,578
5,7,1,5,578,577
6,7,1,6,577,576
6,8,1,5,576,575
6,9,1,4,575,574
6,10,1,3,574,573
6,11,1,2,573,572
6,12,1,1,572,771
1,11,4,7,0,-1
1,11,4,7,-1,-2
1,11,4,7,-2,-3
1,11,4,7,-3,-4
2,11,4,6,-4,-5
3,11,4,5,-5,-6
4,11,4,4,-6,-7
5,11,4,3,-7,-8
5,10,4,2,-8,-9
5,9,4,1,-9,190
6,9,3,4,190,189
6,10,3,3,189,188
6,11,3,2,188,187
7,11,3,1,187,386
8,11,2,8,386,385
9,11,2,9,385,384
10,11,2,9,384,383
10,10,2,8,383,382
10,9,2,7,382,381
11,9,2,6,381,380
12,9,2,5,380,379
13,9,2,4,379,378
14,9,2,3,378,377
14,8,2,2,377,376
14,7,2,1,376,575
14,6,1,9,575,574
14,5,1,8,574,573
13,5,1,7,573,572
12,5,1,6,572,571
11,5,1,5,571,570
10,5,1,4,570,569
9,5,1,3,569,568
8,5,1,2,568,567
7,5,1,1,567,766
1,11,4,7,0,-1
1,11,4,8,-1,-2
1,11,4,7,-2,-3
2,11,4,6,-3,-4
3,11,4,4,-4,-5
4,11,4,2,-5,-6
5,11,4,2,-6,-7
6,11,4,2,-7,-8
7,11,4,1,-8,191
8,11,3,1,191,390
9,11,2,7,390,389
10,11,2,7,389,388
10,10,2,6,388,387
10,9,2,4,387,386
10,8,2,4,386,385
10,7,2,4,385,484
10,6,2,4,384,383
10,5,2,2,383,382
11,5,2,2,382,381
10,5,2,3,381,380
9,5,2,3,380,379
9,4,2,3,379,378
9,3,2,2,378,377
9,3,2,1,377,376
9,3,2,2,376,375
9,3,2,3,375,374
9,3,2,2,374,373
10,3,2,1,373,572
11,3,1,7,572,571
11,3,1,8,571,570
11,4,1,7,570,569
11,5,1,5,569,568
12,5,1,3,568,567
13,5,1,5,567,566
14,5,1,6,566,565
14,6,1,4,565,564
14,7,1,4,564,563
14,8,1,2,563,562
1,6,4,7,0,-1
1,6,4,6,-1,-2
1,6,4,5,-2,-3
2,6,4,4,-3,-4
3,6,4,3,-4,-5
4,6,4,3,-5,-6
5,6,4,2,-6,-7
6,6,4,1,-7,192
7,6,3,4,192,191
8,6,3,4,191,190
9,6,3,2,190,189
10,6,3,4,189,188
11,6,3,4,188,187
12,6,3,5,187,186
13,6,3,4,186,185
14,6,3,4,185,184
15,6,3,2,184,183
