@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
2,2,381,West,380
2,1,380,West,579
1,6,579,West,578
1,5,578,North,577
1,6,577,East,576
1,5,576,North,575
1,4,575,North,574
1,3,574,North,573
1,2,573,North,572
1,1,572,North,771
4,7,0,Stop,-1
4,7,-1,Stop,-2
4,7,-2,Stop,-3
4,7,-3,Stop,-4
4,6,-4,East,-5
4,5,-5,East,-6
4,4,-6,East,-7
4,3,-7,East,-8
4,2,-8,South,-9
4,1,-9,South,190
3,4,190,East,189
3,3,189,North,188
3,2,188,North,187
3,1,187,East,386
2,8,386,East,385
2,9,385,East,384
2,9,384,East,383
2,8,383,South,382
2,7,382,South,381
2,6,381,East,380
2,5,380,East,379
2,4,379,East,378
2,3,378,East,377
2,2,377,South,376
2,1,376,South,575
1,9,575,South,574
1,8,574,South,573
1,7,573,West,572
1,6,572,West,571
1,5,571,West,570
1,4,570,West,569
1,3,569,West,568
1,2,568,West,567
1,1,567,West,766
4,7,0,Stop,-1
4,8,-1,Stop,-2
4,7,-2,Stop,-3
4,6,-3,East,-4
4,4,-4,East,-5
4,2,-5,East,-6
4,2,-6,East,-7
4,2,-7,East,-8
4,1,-8,East,191
3,1,191,East,390
2,7,390,East,389
2,7,389,East,388
2,6,388,South,387
2,4,387,South,386
2,4,386,South,385
2,4,385,South,484
2,4,384,South,383
2,2,383,South,382
2,2,382,East,381
2,3,381,West,380
2,3,380,West,379
2,3,379,South,378
2,2,378,South,377
2,1,377,South,376
2,2,376,South,375
2,3,375,South,374
2,2,374,South,373
2,1,373,East,572
1,7,572,East,571
1,8,571,East,570
1,7,570,North,569
1,5,569,North,568
1,3,568,East,567
1,5,567,East,566
1,6,566,East,565
1,4,565,North,564
1,4,564,North,563
1,2,563,North,562
4,7,0,Stop,-1
4,6,-1,Stop,-2
4,5,-2,Stop,-3
4,4,-3,East,-4
4,3,-4,East,-5
4,3,-5,East,-6
4,2,-6,East,-7
4,1,-7,East,192
3,4,192,East,191
3,4,191,East,190
3,2,190,East,189
3,4,189,East,188
3,4,188,East,187
3,5,187,East,186
3,4,186,East,185
3,4,185,East,184
3,2,184,East,183
3,4,183,East,182
3,2,182,South,181
3,2,181,South,180
3,2,180,South,179
3,2,179,West,178
3,1,178,West,177
3,1,177,West,376
2,3,376,West,375
2,3,375,West,374
2,4,374,West,373
2,6,373,West,372
