@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
1,6,35,South
1,8,36,North
1,6,37,South
1,6,38,East
1,5,39,East
1,5,40,South
1,4,41,South
1,4,42,North
1,5,43,North
1,6,44,North
1,4,45,North
1,3,46,North
1,2,47,East
1,2,48,East
1,2,49,East
4,7,0,Stop
4,6,1,South
4,6,2,South
4,5,3,North
4,4,4,North
4,4,5,North
4,5,6,North
4,3,7,North
4,3,8,East
4,3,9,East
4,2,10,East
4,2,11,East
4,2,12,South
3,7,13,North
3,6,14,South
3,5,15,East
3,5,16,East
3,4,17,East
3,5,18,East
3,5,19,South
3,5,20,East
3,5,21,East
3,3,22,East
3,1,23,East
2,7,24,East
2,5,25,East
2,5,26,South
2,3,27,East
2,4,28,South
2,3,29,North
2,3,30,East
2,3,31,East
2,1,32,East
1,20,33,East
1,18,34,South
1,16,35,West
1,14,36,West
1,12,37,West
1,10,38,South
1,10,39,South
1,10,40,West
1,10,41,West
1,9,42,West
1,7,43,West
1,7,44,West
1,5,45,South
1,5,46,West
1,4,47,South
1,3,48,West
1,2,49,West
4,7,0,Stop
4,7,1,South
4,7,2,South
4,6,3,South
4,6,4,East
4,6,5,East
4,4,6,East
4,4,7,East
4,2,8,South
3,6,9,East
3,4,10,East
3,5,11,East
3,4,12,North
3,2,13,North
3,3,14,East
3,2,15,West
3,4,16,East
3,2,17,West
3,2,18,East
3,2,19,East
3,2,20,North
2,8,21,North
2,8,22,East
2,6,23,East
2,4,24,East
2,2,25,East
1,17,26,East
1,16,27,West
1,15,28,South
1,15,29,South
1,13,30,South
1,13,31,South
1,13,32,South
1,13,33,South
1,13,34,South
1,13,35,West
1,11,36,South
1,11,37,South
1,11,38,South
1,11,39,South
1,12,40,South
1,13,41,South
1,11,42,North
1,10,43,North
1,11,44,North
1,9,45,South
1,9,46,South
1,10,47,South
1,11,48,South
1,11,49,North
1,9,50,South
1,10,51,South
1,8,52,North
1,8,53,North
1,9,54,North
1,9,55,South
1,9,56,North
1,8,57,North
1,8,58,West
1,8,59,West
1,8,60,South
1,7,61,North
1,6,62,West
1,6,63,West
1,6,64,South
1,6,65,North
1,4,66,South
1,3,67,West
1,3,68,West
1,1,69,West
4,7,0,Stop
4,7,1,South
4,7,2,South
4,5,3,South
4,4,4,East
4,4,5,East
4,3,6,North
4,1,7,East
2,7,8,East
2,7,9,South
2,5,10,South
2,4,11,East
2,2,12,East
2,4,13,East
2,2,14,South
2,2,15,South
2,1,16,South
1,10,17,East
1,8,18,North
1,8,19,North
1,8,20,North
1,8,21,North
1,8,22,North
1,7,23,East
1,7,24,East
1,6,25,East
1,6,26,East
1,5,27,East
1,3,28,South
1,1,29,East
4,7,0,Stop
4,5,1,South
4,5,2,South
4,5,3,North
4,6,4,North
4,6,5,South
4,5,6,North
4,5,7,North
4,4,8,North
4,5,9,North
4,4,10,North
4,5,11,North
4,5,12,South
4,5,13,South
4,3,14,North
4,3,15,East
4,1,16,South
3,5,17,East
3,3,18,North
3,1,19,East
2,6,20,East
2,6,21,South
2,4,22,South
2,3,23,West
2,5,24,East
2,3,25,West
2,3,26,West
2,3,27,West
2,5,28,East
2,3,29,West
2,3,30,West
2,3,31,South
2,1,32,South
1,16,33,East
1,15,34,East
1,13,35,East
1,13,36,East
1,13,37,East
1,13,38,East
1,11,39,East
1,9,40,North
1,7,41,North
1,5,42,East
1,3,43,East
1,4,44,East
1,3,45,East
1,3,46,North
1,3,47,North
1,3,48,South
1,4,49,South
1,5,50,South
1,6,51,South
1,4,52,North
1,2,53,North
1,1,54,East
4,7,0,Stop
4,5,1,South
4,5,2,South
4,4,3,East
4,4,4,East
4,2,5,East
4,2,6,East
4,1,7,East
3,7,8,East
3,5,9,South
3,5,10,South
3,3,11,West
3,5,12,East
3,3,13,West
3,3,14,West
3,3,15,East
3,3,16,East
3,1,17,North
2,7,18,East
2,7,19,South
2,6,20,South
2,5,21,South
2,3,22,South
2,2,23,West
2,2,24,West
2,2,25,North
2,1,26,West
1,10,27,West
1,10,28,South
1,10,29,East
1,8,30,East
1,7,31,North
1,6,32,East
1,4,33,East
1,2,34,East
4,7,0,Stop
4,7,1,South
4,6,2,South
4,6,3,South
4,5,4,North
4,5,5,East
4,5,6,South
4,5,7,East
4,5,8,North
4,5,9,South
4,5,10,South
4,3,11,North
4,3,12,East
4,3,13,South
4,1,14,East
3,5,15,East
3,5,16,East
3,4,17,West
3,6,18,East
3,4,19,West
3,4,20,East
3,5,21,East
3,3,22,South
3,1,23,South
2,9,24,West
2,8,25,East
2,6,26,North
2,5,27,North
2,5,28,North
2,3,29,North
2,3,30,East
2,3,31,East
2,2,32,South
2,3,33,South
2,2,34,South
2,3,35,South
2,3,36,North
2,1,37,East
1,7,38,East
1,6,39,East
1,4,40,East
1,5,41,North
1,4,42,South
1,3,43,East
1,1,44,East
4,7,0,Stop
4,5,1,South
4,6,2,South
4,5,3,North
4,5,4,East
4,4,5,East
4,2,6,East
4,2,7,East
3,1,8,East
2,10,9,East
2,8,10,West
2,7,11,South
2,7,12,South
2,7,13,South
2,7,14,South
2,5,15,West
2,5,16,West
2,5,17,West
2,5,18,West
2,5,19,West
2,3,20,South
2,1,21,South
1,13,22,East
1,13,23,East
1,13,24,South
1,13,25,East
1,13,26,South
1,11,27,East
1,11,28,North
1,9,29,East
1,11,30,North
1,11,31,South
1,9,32,East
1,9,33,North
1,9,34,South
1,9,35,North
1,9,36,South
1,7,37,East
1,7,38,East
1,5,39,East
1,7,40,North
1,7,41,South
1,5,42,East
1,3,43,North
1,3,44,East
1,3,45,East
1,2,46,South
4,7,0,Stop
4,6,1,South
4,6,2,South
4,4,3,East
4,4,4,East
4,2,5,South
3,5,6,East
3,3,7,South
3,2,8,East
3,3,9,East
3,3,10,West
3,3,11,East
3,3,12,East
3,3,13,East
3,1,14,South
2,7,15,South
2,5,16,North
2,5,17,North
2,5,18,North
2,3,19,North
2,2,20,West
2,4,21,East
2,2,22,West
2,4,23,East
2,3,24,West
2,1,25,West
1,18,26,North
1,17,27,South
1,17,28,South
1,16,29,South
1,14,30,East
1,13,31,East
1,12,32,South
1,10,33,South
1,12,34,South
1,12,35,North
1,10,36,North
1,10,37,North
1,11,38,South
1,11,39,North
1,9,40,East
1,9,41,North
1,7,42,South
1,7,43,East
1,6,44,East
1,7,45,East
1,6,46,East
1,6,47,North
1,6,48,South
1,7,49,South
1,6,50,South
1,5,51,South
1,6,52,South
1,5,53,South
1,5,54,North
1,6,55,North
1,4,56,South
1,3,57,South
1,4,58,South
1,3,59,South
1,3,60,South
1,4,61,South
1,5,62,South
1,4,63,North
1,5,64,North
1,4,65,North
1,6,66,North
1,6,67,South
1,6,68,South
1,5,69,South
1,5,70,South
1,5,71,East
1,3,72,East
1,1,73,East
4,7,0,Stop
4,7,1,South
4,7,2,South
4,5,3,South
4,3,4,South
4,3,5,East
4,1,6,North
3,8,7,East
3,6,8,South
3,6,9,East
3,6,10,East
3,4,11,East
3,4,12,East
3,4,13,East
3,3,14,South
3,2,15,South
2,6,16,South
2,4,17,North
2,3,18,North
2,1,19,North
1,4,20,East
1,3,21,North
1,2,22,North
