@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
8,9,23,North
7,9,24,West
6,9,25,West
5,9,26,West
5,8,27,South
5,7,28,South
6,7,29,East
7,7,30,East
8,7,31,East
8,6,32,South
8,7,33,North
8,8,34,North
8,7,35,South
8,8,36,North
8,7,37,South
9,7,38,East
10,7,39,East
10,6,40,South
10,6,41,South
10,7,42,North
10,7,43,North
10,7,44,North
10,8,45,North
10,9,46,North
11,9,47,East
12,9,48,East
13,9,49,East
1,11,0,Stop
1,10,1,South
1,9,2,South
1,10,3,North
1,10,4,North
1,10,5,North
1,10,6,North
1,11,7,North
2,11,8,East
3,11,9,East
4,11,10,East
5,11,11,East
5,10,12,South
5,11,13,North
5,10,14,South
6,10,15,East
6,10,16,East
6,10,17,East
6,10,18,East
6,9,19,South
7,9,20,East
8,9,21,East
9,9,22,East
10,9,23,East
11,9,24,East
12,9,25,East
12,8,26,South
13,8,27,East
13,7,28,South
13,8,29,North
14,8,30,East
15,8,31,East
16,8,32,East
17,8,33,East
17,7,34,South
16,7,35,West
15,7,36,West
14,7,37,West
14,6,38,South
14,5,39,South
13,5,40,West
12,5,41,West
11,5,42,West
10,5,43,West
9,5,44,West
9,4,45,South
8,4,46,West
8,3,47,South
7,3,48,West
6,3,49,West
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
2,8,4,East
3,8,5,East
4,8,6,East
5,8,7,East
5,7,8,South
6,7,9,East
7,7,10,East
8,7,11,East
8,8,12,North
8,9,13,North
9,9,14,East
8,9,15,West
9,9,16,East
8,9,17,West
9,9,18,East
10,9,19,East
10,10,20,North
10,11,21,North
11,11,22,East
12,11,23,East
13,11,24,East
14,11,25,East
15,11,26,East
14,11,27,West
14,10,28,South
14,9,29,South
14,8,30,South
14,7,31,South
14,6,32,South
14,5,33,South
14,4,34,South
13,4,35,West
13,3,36,South
13,3,37,South
13,3,38,South
13,3,39,South
13,3,40,South
13,3,41,South
13,4,42,North
13,4,43,North
13,4,44,North
13,3,45,South
13,3,46,South
13,3,47,South
13,3,48,South
13,4,49,North
13,3,50,South
13,3,51,South
13,4,52,North
13,4,53,North
13,4,54,North
13,3,55,South
13,4,56,North
13,5,57,North
12,5,58,West
11,5,59,West
11,4,60,South
11,5,61,North
10,5,62,West
9,5,63,West
9,4,64,South
9,5,65,North
9,4,66,South
8,4,67,West
7,4,68,West
6,4,69,West
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
2,8,4,East
3,8,5,East
3,9,6,North
4,9,7,East
5,9,8,East
5,8,9,South
5,7,10,South
6,7,11,East
7,7,12,East
8,7,13,East
8,6,14,South
8,5,15,South
8,4,16,South
9,4,17,East
9,5,18,North
9,6,19,North
9,7,20,North
9,8,21,North
9,9,22,North
10,9,23,East
11,9,24,East
12,9,25,East
13,9,26,East
14,9,27,East
14,8,28,South
15,8,29,East
1,11,0,Stop
1,10,1,South
1,9,2,South
1,10,3,North
1,10,4,North
1,9,5,South
1,10,6,North
1,10,7,North
1,10,8,North
1,10,9,North
1,10,10,North
1,10,11,North
1,9,12,South
1,8,13,South
1,9,14,North
2,9,15,East
2,8,16,South
3,8,17,East
3,9,18,North
4,9,19,East
5,9,20,East
5,8,21,South
5,7,22,South
4,7,23,West
5,7,24,East
4,7,25,West
3,7,26,West
2,7,27,West
3,7,28,East
2,7,29,West
1,7,30,West
1,6,31,South
1,5,32,South
2,5,33,East
3,5,34,East
4,5,35,East
5,5,36,East
6,5,37,East
7,5,38,East
8,5,39,East
8,6,40,North
8,7,41,North
9,7,42,East
10,7,43,East
10,7,44,East
10,7,45,East
10,8,46,North
10,8,47,North
10,7,48,South
10,7,49,South
10,7,50,South
10,7,51,South
10,8,52,North
10,9,53,North
11,9,54,East
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
4,9,5,East
5,9,6,East
6,9,7,East
7,9,8,East
7,8,9,South
7,7,10,South
6,7,11,West
7,7,12,East
6,7,13,West
5,7,14,West
6,7,15,East
7,7,16,East
7,8,17,North
8,8,18,East
8,7,19,South
8,6,20,South
8,5,21,South
8,4,22,South
7,4,23,West
6,4,24,West
6,5,25,North
5,5,26,West
4,5,27,West
4,4,28,South
5,4,29,East
6,4,30,East
6,5,31,North
7,5,32,East
8,5,33,East
9,5,34,East
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
1,9,4,North
2,9,5,East
2,8,6,South
3,8,7,East
3,9,8,North
3,8,9,South
3,7,10,South
3,8,11,North
4,8,12,East
4,7,13,South
5,7,14,East
6,7,15,East
7,7,16,East
6,7,17,West
7,7,18,East
6,7,19,West
7,7,20,East
8,7,21,East
8,6,22,South
8,5,23,South
7,5,24,West
8,5,25,East
8,6,26,North
8,7,27,North
8,8,28,North
8,9,29,North
9,9,30,East
10,9,31,East
10,8,32,South
10,8,33,South
10,8,34,South
10,8,35,South
10,9,36,North
11,9,37,East
12,9,38,East
13,9,39,East
14,9,40,East
14,10,41,North
14,9,42,South
15,9,43,East
16,9,44,East
1,11,0,Stop
1,10,1,South
1,10,2,South
1,11,3,North
2,11,4,East
3,11,5,East
4,11,6,East
5,11,7,East
6,11,8,East
7,11,9,East
6,11,10,West
6,10,11,South
6,9,12,South
6,8,13,South
6,7,14,South
5,7,15,West
4,7,16,West
3,7,17,West
2,7,18,West
1,7,19,West
1,6,20,South
1,5,21,South
2,5,22,East
3,5,23,East
3,4,24,South
4,4,25,East
4,3,26,South
5,3,27,East
5,4,28,North
6,4,29,East
6,5,30,North
6,4,31,South
7,4,32,East
7,5,33,North
7,4,34,South
7,5,35,North
7,4,36,South
8,4,37,East
9,4,38,East
10,4,39,East
10,5,40,North
10,4,41,South
11,4,42,East
11,5,43,North
12,5,44,East
13,5,45,East
13,4,46,South
1,11,0,Stop
1,10,1,South
1,9,2,South
2,9,3,East
3,9,4,East
3,8,5,South
4,8,6,East
4,7,7,South
5,7,8,East
6,7,9,East
5,7,10,West
6,7,11,East
7,7,12,East
8,7,13,East
8,6,14,South
8,5,15,South
8,6,16,North
8,7,17,North
8,8,18,North
8,9,19,North
7,9,20,West
8,9,21,East
7,9,22,West
8,9,23,East
7,9,24,West
6,9,25,West
6,10,26,North
6,9,27,South
6,8,28,South
6,7,29,South
7,7,30,East
8,7,31,East
8,6,32,South
8,5,33,South
8,4,34,South
8,5,35,North
8,6,36,North
8,7,37,North
8,6,38,South
8,7,39,North
9,7,40,East
9,8,41,North
9,7,42,South
10,7,43,East
10,7,44,East
10,7,45,East
10,7,46,East
10,8,47,North
10,7,48,South
10,7,49,South
10,7,50,South
10,7,51,South
10,7,52,South
10,7,53,South
10,8,54,North
10,8,55,North
10,7,56,South
10,7,57,South
10,7,58,South
10,7,59,South
10,7,60,South
10,7,61,South
10,7,62,South
10,8,63,North
10,8,64,North
10,8,65,North
10,9,66,North
10,8,67,South
10,7,68,South
10,6,69,South
10,5,70,South
11,5,71,East
12,5,72,East
13,5,73,East
1,11,0,Stop
1,10,1,South
1,9,2,South
1,8,3,South
1,7,4,South
2,7,5,East
2,8,6,North
3,8,7,East
3,7,8,South
4,7,9,East
5,7,10,East
6,7,11,East
7,7,12,East
8,7,13,East
8,6,14,South
8,5,15,South
8,4,16,South
8,5,17,North
8,6,18,North
8,7,19,North
9,7,20,East
9,8,21,North
9,9,22,North
