@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
11,4,4,28,East
11,3,2,29,South
11,3,2,30,South
11,3,2,31,South
11,3,3,32,South
11,3,4,33,South
11,4,2,34,North
11,5,4,35,North
11,4,4,36,South
11,4,4,37,South
11,5,4,38,North
12,5,3,39,East
13,5,1,40,East
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,6,3,South
2,8,5,4,East
3,8,5,5,East
3,7,5,6,South
4,7,4,7,East
5,7,4,8,East
6,7,4,9,East
7,7,3,10,East
7,8,1,11,North
7,9,4,12,North
8,9,4,13,East
9,9,2,14,East
10,9,2,15,East
11,9,10,16,East
12,9,9,17,East
12,8,8,18,South
12,7,7,19,South
13,7,6,20,East
14,7,5,21,East
14,6,4,22,South
14,5,3,23,South
14,4,3,24,South
14,3,3,25,South
15,3,2,26,East
15,4,2,27,North
16,4,2,28,East
17,4,14,29,East
17,3,14,30,South
17,4,14,31,North
17,5,12,32,North
16,5,12,33,West
16,4,12,34,South
16,3,10,35,South
15,3,9,36,West
14,3,9,37,West
14,4,9,38,North
14,5,9,39,North
13,5,7,40,West
12,5,7,41,West
11,5,6,42,West
10,5,6,43,West
9,5,6,44,West
8,5,4,45,West
7,5,4,46,West
6,5,2,47,West
5,5,1,48,West
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,5,3,South
1,7,5,4,South
2,7,3,5,East
3,7,2,6,East
4,7,2,7,East
4,8,2,8,North
5,8,1,9,East
6,8,4,10,East
6,9,2,11,North
6,10,8,12,North
6,9,7,13,South
6,8,7,14,South
6,7,5,15,South
7,7,3,16,East
8,7,1,17,East
9,7,9,18,East
9,6,8,19,South
9,5,8,20,South
9,4,6,21,South
10,4,5,22,East
11,4,5,23,East
11,4,6,24,East
11,4,5,25,East
11,4,6,26,East
11,4,7,27,East
11,5,7,28,North
12,5,6,29,East
13,5,4,30,East
13,4,3,31,South
14,4,3,32,East
15,4,3,33,East
16,4,3,34,East
17,4,3,35,East
17,5,2,36,North
18,5,1,37,East
1,11,7,0,Stop
1,10,5,1,South
1,10,4,2,South
1,10,5,3,South
1,10,6,4,South
1,9,6,5,South
1,10,6,6,North
1,9,4,7,South
2,9,4,8,East
3,9,4,9,East
4,9,2,10,East
5,9,2,11,East
5,8,2,12,South
6,8,1,13,East
7,8,3,14,East
7,7,1,15,South
8,7,3,16,East
8,8,3,17,North
9,8,1,18,East
9,9,1,19,North
9,8,3,20,South
9,9,2,21,North
10,9,2,22,East
10,10,2,23,North
10,9,2,24,South
11,9,2,25,East
12,9,2,26,East
12,8,1,27,South
12,7,4,28,South
12,8,4,29,North
12,9,2,30,North
11,9,2,31,West
10,9,2,32,West
9,9,1,33,West
1,11,7,0,Stop
1,10,5,1,South
1,9,5,2,South
1,8,5,3,South
2,8,5,4,East
2,9,3,5,North
3,9,2,6,East
4,9,2,7,East
5,9,2,8,East
5,10,2,9,North
5,11,2,10,North
4,11,1,11,West
3,11,8,12,West
4,11,8,13,East
5,11,7,14,East
6,11,5,15,East
7,11,3,16,East
8,11,3,17,East
9,11,1,18,East
10,11,7,19,East
10,10,7,20,South
10,9,6,21,South
10,8,6,22,South
10,7,5,23,South
10,6,3,24,South
10,5,3,25,South
9,5,1,26,West
8,5,7,27,West
8,4,7,28,South
9,4,7,29,East
9,5,7,30,North
10,5,5,31,East
10,4,5,32,South
10,5,6,33,North
10,4,6,34,South
11,4,6,35,East
11,3,6,36,South
11,3,7,37,South
11,3,8,38,South
11,3,8,39,South
11,4,6,40,North
11,4,6,41,North
11,4,6,42,North
11,4,7,43,North
11,4,6,44,North
11,4,6,45,North
11,4,6,46,North
11,4,7,47,North
11,4,6,48,North
11,4,5,49,North
11,4,4,50,North
11,4,5,51,North
11,4,6,52,North
11,4,5,53,North
11,5,4,54,North
12,5,2,55,East
13,5,2,56,East
14,5,2,57,East
14,6,2,58,North
14,7,2,59,North
15,7,2,60,East
15,8,2,61,North
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,7,3,South
1,7,6,4,South
2,7,4,5,East
3,7,4,6,East
3,8,4,7,North
3,7,2,8,South
4,7,4,9,East
5,7,3,10,East
6,7,3,11,East
5,7,3,12,West
6,7,3,13,East
7,7,3,14,East
6,7,2,15,West
7,7,2,16,East
8,7,4,17,East
8,6,4,18,South
8,5,3,19,South
8,4,1,20,South
8,3,13,21,South
8,4,11,22,North
8,5,10,23,North
8,6,10,24,North
8,7,9,25,North
8,8,8,26,North
8,9,6,27,North
9,9,4,28,East
10,9,3,29,East
10,10,2,30,North
10,11,6,31,North
11,11,4,32,East
12,11,4,33,East
13,11,2,34,East
14,11,2,35,East
1,11,7,0,Stop
1,10,5,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
3,8,4,5,South
3,9,4,6,North
4,9,3,7,East
5,9,3,8,East
5,8,3,9,South
5,7,1,10,South
6,7,5,11,East
7,7,4,12,East
8,7,4,13,East
8,6,4,14,South
8,5,4,15,South
8,4,2,16,South
7,4,7,17,West
7,5,6,18,North
8,5,6,19,East
8,6,4,20,North
8,7,2,21,North
9,7,2,22,East
9,6,2,23,South
9,7,2,24,North
9,8,2,25,North
9,7,2,26,South
9,8,2,27,North
9,9,2,28,North
10,9,2,29,East
11,9,2,30,East
11,10,2,31,North
10,10,1,32,West
1,11,7,0,Stop
1,10,7,1,South
1,9,5,2,South
2,9,5,3,East
3,9,4,4,East
4,9,3,5,East
5,9,2,6,East
5,10,2,7,North
5,11,1,8,North
6,11,6,9,East
6,10,6,10,South
6,9,5,11,South
6,8,5,12,South
6,7,5,13,South
7,7,4,14,East
8,7,2,15,East
8,6,2,16,South
8,5,2,17,South
9,5,1,18,East
10,5,7,19,East
10,6,6,20,North
10,7,4,21,North
10,8,2,22,North
10,8,2,23,North
10,8,3,24,North
10,8,2,25,North
10,9,2,26,North
1,11,7,0,Stop
1,10,5,1,South
1,9,3,2,South
2,9,1,3,East
3,9,9,4,East
3,8,7,5,South
3,7,5,6,South
4,7,5,7,East
5,7,4,8,East
6,7,3,9,East
7,7,3,10,East
8,7,5,11,East
8,6,5,12,South
8,5,4,13,South
8,4,2,14,South
7,4,2,15,West
7,5,2,16,North
6,5,8,17,West
7,5,8,18,East
8,5,8,19,East
8,6,6,20,North
8,7,6,21,North
8,8,5,22,North
8,9,5,23,North
9,9,4,24,East
10,9,2,25,East
10,10,11,26,North
10,9,11,27,South
10,8,10,28,South
10,7,10,29,South
10,6,10,30,South
10,5,9,31,South
10,4,7,32,South
10,3,6,33,South
11,3,6,34,East
11,3,7,35,East
11,4,7,36,North
11,4,6,37,North
11,4,6,38,North
11,4,7,39,North
11,4,7,40,North
11,5,7,41,North
12,5,7,42,East
13,5,7,43,East
13,4,5,44,South
13,3,7,45,South
13,4,7,46,North
13,5,5,47,North
14,5,3,48,East
15,5,3,49,East
16,5,1,50,East
1,11,7,0,Stop
1,10,5,1,South
1,9,3,2,South
2,9,3,3,East
3,9,3,4,East
4,9,2,5,East
5,9,1,6,East
6,9,2,7,East
6,10,1,8,North
5,10,10,9,West
5,9,10,10,South
5,8,9,11,South
5,7,7,12,South
6,7,5,13,East
7,7,5,14,East
6,7,5,15,West
7,7,4,16,East
8,7,4,17,East
8,6,3,18,South
8,5,3,19,South
8,4,2,20,South
8,3,2,21,South
8,4,2,22,North
8,5,2,23,North
9,5,2,24,East
10,5,11,25,East
10,6,10,26,North
10,7,8,27,North
10,8,8,28,North
10,8,7,29,North
10,7,6,30,South
10,7,6,31,South
10,7,6,32,South
10,7,7,33,South
10,7,8,34,South
10,8,7,35,North
10,8,8,36,North
10,8,9,37,North
10,8,9,38,North
10,7,7,39,South
10,7,6,40,South
10,7,7,41,South
10,7,8,42,South
10,7,9,43,South
10,7,10,44,South
10,6,8,45,South
10,5,8,46,South
10,6,9,47,North
10,5,8,48,South
11,5,6,49,East
12,5,6,50,East
13,5,4,51,East
13,4,4,52,South
14,4,4,53,East
14,5,4,54,North
15,5,3,55,East
16,5,3,56,East
17,5,1,57,East
1,11,7,0,Stop
1,10,6,1,South
1,9,6,2,South
2,9,6,3,East
2,8,5,4,South
3,8,5,5,East
3,7,4,6,South
4,7,2,7,East
5,7,2,8,East
6,7,2,9,East
7,7,2,10,East
8,7,4,11,East
8,8,4,12,North
8,9,4,13,North
7,9,2,14,West
6,9,2,15,West
6,10,1,16,North
6,11,6,17,North
6,10,5,18,South
6,9,4,19,South
6,8,4,20,South
6,7,3,21,South
5,7,2,22,West
6,7,2,23,East
7,7,4,24,East
6,7,3,25,West
5,7,3,26,West
6,7,3,27,East
5,7,3,28,West
6,7,3,29,East
7,7,3,30,East
6,7,3,31,West
7,7,3,32,East
8,7,3,33,East
8,6,3,34,South
8,5,3,35,South
7,5,2,36,West
6,5,9,37,West
7,5,8,38,East
8,5,6,39,East
8,6,6,40,North
8,7,5,41,North
9,7,3,42,East
10,7,3,43,East
10,7,4,44,East
10,8,2,45,North
10,9,4,46,North
10,8,2,47,South
10,7,2,48,South
10,8,4,49,North
10,7,2,50,South
10,7,3,51,South
10,7,3,52,South
10,7,2,53,South
10,7,3,54,South
10,7,2,55,South
10,7,3,56,South
10,7,4,57,South
10,7,5,58,South
10,7,4,59,South
10,7,5,60,South
10,7,4,61,South
10,8,4,62,North
10,8,3,63,North
10,9,4,64,North
10,8,2,65,South
10,8,3,66,South
10,8,2,67,South
10,8,3,68,South
10,8,3,69,South
10,7,2,70,South
10,7,2,71,South
10,7,3,72,South
10,7,4,73,South
10,7,3,74,South
10,8,5,75,North
10,7,4,76,South
10,7,4,77,South
10,7,5,78,South
10,7,6,79,South
10,7,5,80,South
10,8,6,81,North
10,7,4,82,South
10,7,3,83,South
10,7,4,84,South
10,7,5,85,South
10,7,4,86,South
10,6,4,87,South
10,7,4,88,North
10,6,6,89,South
10,7,4,90,North
10,8,6,91,North
10,7,5,92,South
10,7,6,93,South
10,7,7,94,South
10,7,8,95,South
10,8,8,96,North
10,8,9,97,North
10,7,7,98,South
10,7,8,99,South
10,7,8,100,South
10,7,9,101,South
10,7,9,102,South
10,8,9,103,North
10,8,10,104,North
10,7,8,105,South
10,6,10,106,South
10,7,10,107,North
10,8,9,108,North
10,9,9,109,North
11,9,7,110,East
11,10,8,111,North
11,9,8,112,South
12,9,6,113,East
13,9,6,114,East
14,9,4,115,East
14,8,5,116,South
14,9,5,117,North
15,9,5,118,East
15,8,3,119,South
15,7,3,120,South
15,8,3,121,North
15,7,2,122,South
1,11,7,0,Stop
1,10,5,1,South
1,9,5,2,South
1,8,3,3,South
2,8,3,4,East
3,8,1,5,East
4,8,3,6,East
4,9,3,7,North
5,9,1,8,East
5,10,7,9,North
5,9,5,10,South
5,8,5,11,South
5,7,5,12,South
6,7,3,13,East
7,7,3,14,East
8,7,2,15,East
8,6,2,16,South
8,5,1,17,South
9,5,7,18,East
9,4,5,19,South
10,4,5,20,East
11,4,5,21,East
11,5,4,22,North
12,5,4,23,East
13,5,4,24,East
14,5,4,25,East
14,6,2,26,North
14,7,1,27,North
1,11,7,0,Stop
1,10,5,1,South
1,10,5,2,South
1,10,4,3,South
1,10,4,4,South
1,10,5,5,South
1,11,5,6,North
2,11,5,7,East
3,11,3,8,East
4,11,3,9,East
5,11,2,10,East
5,10,2,11,South
5,9,2,12,South
5,8,4,13,South
5,7,2,14,South
6,7,1,15,East
7,7,9,16,East
7,8,9,17,North
7,9,9,18,North
8,9,7,19,East
9,9,7,20,East
10,9,7,21,East
10,10,5,22,North
10,11,5,23,North
11,11,4,24,East
12,11,4,25,East
13,11,4,26,East
14,11,4,27,East
15,11,2,28,East
16,11,2,29,East
17,11,1,30,East
18,11,11,31,East
18,10,9,32,South
18,9,7,33,South
18,8,7,34,South
18,7,7,35,South
18,6,7,36,South
18,5,6,37,South
18,4,5,38,South
18,3,5,39,South
17,3,4,40,West
16,3,3,41,West
15,3,1,42,West
1,11,7,0,Stop
1,10,6,1,South
1,9,5,2,South
2,9,3,3,East
3,9,3,4,East
4,9,1,5,East
5,9,4,6,East
5,8,4,7,South
5,7,3,8,South
6,7,5,9,East
5,7,5,10,West
4,7,3,11,West
3,7,3,12,West
4,7,5,13,East
3,7,3,14,West
4,7,5,15,East
3,7,5,16,West
2,7,4,17,West
3,7,4,18,East
2,7,4,19,West
1,7,4,20,West
1,6,3,21,South
1,5,3,22,South
1,4,1,23,South
2,4,13,24,East
2,5,13,25,North
3,5,13,26,East
4,5,11,27,East
5,5,9,28,East
6,5,9,29,East
7,5,7,30,East
8,5,7,31,East
8,6,6,32,North
8,7,4,33,North
9,7,4,34,East
9,8,3,35,North
10,8,2,36,East
10,8,3,37,East
10,7,2,38,South
10,7,3,39,South
10,8,3,40,North
10,8,3,41,North
10,8,4,42,North
10,9,3,43,North
11,9,3,44,East
12,9,3,45,East
13,9,2,46,East
14,9,2,47,East
15,9,2,48,East
16,9,2,49,East
16,8,5,50,South
16,9,3,51,North
15,9,1,52,West
1,11,7,0,Stop
1,10,6,1,South
1,9,5,2,South
2,9,5,3,East
3,9,5,4,East
4,9,3,5,East
5,9,1,6,East
6,9,2,7,East
6,10,7,8,North
6,9,5,9,South
6,8,3,10,South
6,7,3,11,South
7,7,5,12,East
6,7,3,13,West
5,7,2,14,West
6,7,3,15,East
5,7,2,16,West
6,7,4,17,East
5,7,4,18,West
4,7,4,19,West
5,7,5,20,East
4,7,3,21,West
5,7,3,22,East
4,7,3,23,West
3,7,2,24,West
4,7,2,25,East
5,7,4,26,East
4,7,2,27,West
5,7,4,28,East
4,7,4,29,West
3,7,3,30,West
4,7,5,31,East
3,7,5,32,West
2,7,3,33,West
3,7,3,34,East
2,7,2,35,West
3,7,4,36,East
2,7,4,37,West
1,7,4,38,West
1,6,3,39,South
1,5,1,40,South
1,4,16,41,South
2,4,14,42,East
3,4,14,43,East
4,4,14,44,East
5,4,14,45,East
6,4,12,46,East
6,3,12,47,South
7,3,10,48,East
7,4,10,49,North
8,4,8,50,East
8,3,8,51,South
8,4,6,52,North
9,4,6,53,East
10,4,6,54,East
11,4,4,55,East
11,5,4,56,North
12,5,3,57,East
13,5,3,58,East
14,5,3,59,East
14,4,1,60,South
1,11,7,0,Stop
1,10,7,1,South
1,9,6,2,South
2,9,6,3,East
3,9,6,4,East
4,9,4,5,East
5,9,3,6,East
5,10,3,7,North
5,11,2,8,North
6,11,1,9,East
7,11,4,10,East
8,11,4,11,East
9,11,4,12,East
10,11,5,13,East
10,10,5,14,South
10,9,4,15,South
10,8,3,16,South
10,7,2,17,South
10,6,2,18,South
10,5,8,19,South
10,6,8,20,North
10,7,6,21,North
9,7,6,22,West
8,7,4,23,West
7,7,4,24,West
6,7,4,25,West
6,8,2,26,North
5,8,2,27,West
5,9,2,28,North
5,8,2,29,South
4,8,2,30,West
4,7,12,31,South
5,7,12,32,East
6,7,12,33,East
7,7,11,34,East
8,7,9,35,East
8,6,7,36,South
8,5,5,37,South
9,5,5,38,East
10,5,3,39,East
11,5,3,40,East
12,5,3,41,East
13,5,1,42,East
13,4,3,43,South
13,5,3,44,North
14,5,3,45,East
14,6,2,46,North
14,7,2,47,North
15,7,2,48,East
15,8,2,49,North
14,8,2,50,West
1,11,7,0,Stop
1,10,6,1,South
1,9,4,2,South
2,9,4,3,East
2,8,3,4,South
3,8,3,5,East
3,9,3,6,North
3,8,1,7,South
4,8,5,8,East
4,7,3,9,South
5,7,2,10,East
6,7,4,11,East
5,7,3,12,West
6,7,5,13,East
5,7,5,14,West
4,7,3,15,West
5,7,3,16,East
4,7,3,17,West
5,7,2,18,East
6,7,4,19,East
5,7,3,20,West
6,7,4,21,East
5,7,4,22,West
4,7,4,23,West
5,7,2,24,East
6,7,4,25,East
5,7,4,26,West
6,7,3,27,East
6,8,1,28,North
6,9,9,29,North
6,8,7,30,South
6,7,5,31,South
5,7,4,32,West
4,7,4,33,West
3,7,3,34,West
4,7,4,35,East
3,7,4,36,West
4,7,2,37,East
5,7,2,38,East
6,7,4,39,East
5,7,4,40,West
4,7,4,41,West
5,7,4,42,East
4,7,3,43,West
5,7,4,44,East
4,7,4,45,West
5,7,4,46,East
6,7,4,47,East
7,7,6,48,East
6,7,4,49,West
5,7,3,50,West
6,7,3,51,East
7,7,3,52,East
6,7,3,53,West
7,7,4,54,East
6,7,2,55,West
7,7,4,56,East
6,7,3,57,West
5,7,2,58,West
6,7,4,59,East
5,7,4,60,West
6,7,4,61,East
7,7,4,62,East
6,7,4,63,West
7,7,2,64,East
8,7,4,65,East
8,6,4,66,South
8,5,3,67,South
8,4,3,68,South
8,3,3,69,South
7,3,1,70,West
7,4,2,71,North
6,4,1,72,West
5,4,3,73,West
5,3,1,74,South
1,11,7,0,Stop
1,10,6,1,South
1,9,6,2,South
1,8,6,3,South
1,9,6,4,North
2,9,6,5,East
2,8,4,6,South
3,8,4,7,East
3,9,3,8,North
4,9,2,9,East
5,9,2,10,East
5,10,2,11,North
5,11,2,12,North
5,10,1,13,South
6,10,5,14,East
6,10,4,15,East
6,10,5,16,East
6,9,5,17,South
6,10,4,18,North
6,10,4,19,North
6,10,5,20,North
6,9,3,21,South
7,9,1,22,East
8,9,6,23,East
8,8,6,24,South
8,7,6,25,South
8,6,6,26,South
8,5,4,27,South
9,5,3,28,East
10,5,1,29,East
11,5,6,30,East
12,5,4,31,East
13,5,3,32,East
14,5,1,33,East
1,11,7,0,Stop
1,10,5,1,South
1,9,3,2,South
2,9,1,3,East
3,9,5,4,East
4,9,5,5,East
4,8,3,6,South
4,7,3,7,South
3,7,3,8,West
4,7,3,9,East
5,7,5,10,East
4,7,4,11,West
5,7,3,12,East
5,8,2,13,North
5,9,2,14,North
5,10,2,15,North
5,11,2,16,North
6,11,1,17,East
7,11,7,18,East
8,11,7,19,East
9,11,7,20,East
10,11,7,21,East
10,10,5,22,South
10,9,3,23,South
10,8,3,24,South
10,9,4,25,North
10,8,4,26,South
10,8,4,27,South
10,8,4,28,South
10,8,3,29,South
10,8,4,30,South
10,8,4,31,South
10,8,5,32,South
10,8,6,33,South
10,9,5,34,North
10,10,5,35,North
11,10,3,36,East
11,11,1,37,North
12,11,15,38,East
11,11,14,39,West
11,10,14,40,South
11,9,13,41,South
10,9,13,42,West
10,8,13,43,South
10,7,11,44,South
10,6,10,45,South
10,5,8,46,South
9,5,8,47,West
9,4,8,48,South
9,3,8,49,South
8,3,7,50,West
7,3,6,51,West
6,3,6,52,West
6,4,4,53,North
5,4,4,54,West
5,5,4,55,North
5,4,4,56,South
5,3,4,57,South
4,3,4,58,West
4,4,2,59,North
1,11,7,0,Stop
1,10,7,1,South
1,9,5,2,South
2,9,3,3,East
3,9,3,4,East
4,9,3,5,East
4,8,3,6,South
5,8,3,7,East
6,8,3,8,East
7,8,3,9,East
8,8,1,10,East
9,8,2,11,East
9,9,2,12,North
10,9,1,13,East
10,10,4,14,North
10,9,4,15,South
11,9,2,16,East
12,9,12,17,East
12,8,11,18,South
12,7,9,19,South
12,7,10,20,South
12,7,10,21,South
12,7,9,22,South
12,7,10,23,South
12,7,10,24,South
12,7,10,25,South
12,7,10,26,South
12,7,9,27,South
12,7,9,28,South
12,7,9,29,South
12,7,8,30,South
12,7,7,31,South
12,7,7,32,South
12,7,6,33,South
12,7,6,34,South
12,7,7,35,South
12,7,7,36,South
12,7,8,37,South
12,7,8,38,South
12,7,7,39,South
12,7,8,40,South
12,7,7,41,South
12,7,6,42,South
12,7,5,43,South
12,7,6,44,South
12,7,6,45,South
12,7,7,46,South
12,7,7,47,South
12,7,7,48,South
12,7,7,49,South
12,7,8,50,South
12,7,7,51,South
12,7,8,52,South
12,7,9,53,South
12,7,8,54,South
12,7,9,55,South
12,7,8,56,South
12,7,8,57,South
12,7,9,58,South
12,7,10,59,South
12,7,9,60,South
12,7,10,61,South
12,7,11,62,South
12,7,11,63,South
12,7,12,64,South
12,7,11,65,South
12,7,10,66,South
12,7,11,67,South
12,7,12,68,South
12,7,11,69,South
12,7,12,70,South
12,7,11,71,South
12,7,10,72,South
12,7,11,73,South
12,7,12,74,South
12,7,13,75,South
12,7,12,76,South
12,7,12,77,South
12,7,11,78,South
12,7,12,79,South
12,7,11,80,South
12,7,12,81,South
12,7,12,82,South
12,7,13,83,South
12,7,12,84,South
12,7,12,85,South
12,7,11,86,South
12,7,10,87,South
12,7,9,88,South
12,7,10,89,South
12,7,10,90,South
12,7,10,91,South
12,7,11,92,South
12,8,10,93,North
12,8,11,94,North
12,8,11,95,North
12,8,11,96,North
12,8,12,97,North
12,7,10,98,South
12,7,10,99,South
12,7,9,100,South
12,7,9,101,South
12,7,9,102,South
12,7,10,103,South
12,8,10,104,North
12,7,9,105,South
12,7,8,106,South
12,7,9,107,South
12,8,9,108,North
12,8,10,109,North
12,7,10,110,South
12,8,10,111,North
12,8,11,112,North
12,7,11,113,South
12,8,11,114,North
12,7,10,115,South
12,7,10,116,South
12,7,10,117,South
12,7,11,118,South
12,7,11,119,South
12,7,12,120,South
12,7,11,121,South
12,7,11,122,South
12,7,12,123,South
12,8,10,124,North
12,8,10,125,North
12,8,10,126,North
12,8,11,127,North
12,9,11,128,North
11,9,11,129,West
11,10,11,130,North
11,11,9,131,North
10,11,9,132,West
9,11,9,133,West
8,11,8,134,West
7,11,8,135,West
6,11,6,136,West
6,10,5,137,South
5,10,5,138,West
5,11,3,139,North
4,11,2,140,West
1,11,7,0,Stop
1,10,6,1,South
1,9,5,2,South
2,9,5,3,East
2,8,3,4,South
3,8,1,5,East
4,8,6,6,East
4,7,6,7,South
5,7,5,8,East
6,7,5,9,East
7,7,5,10,East
8,7,5,11,East
8,6,4,12,South
8,5,3,13,South
8,4,2,14,South
8,3,2,15,South
8,4,9,16,North
8,5,7,17,North
8,6,6,18,North
8,7,5,19,North
9,7,4,20,East
10,7,4,21,East
10,7,3,22,East
10,8,2,23,North
10,8,3,24,North
10,8,2,25,North
10,9,3,26,North
10,8,2,27,South
10,8,2,28,South
10,8,2,29,South
10,8,3,30,South
10,7,2,31,South
10,7,3,32,South
10,8,2,33,North
10,9,3,34,North
10,8,3,35,South
10,9,3,36,North
10,8,3,37,South
10,8,3,38,South
10,8,2,39,South
10,8,3,40,South
10,9,1,41,North
1,11,7,0,Stop
1,10,5,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
2,9,3,5,North
3,9,3,6,East
