@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
13,5,1,7,West
12,5,1,7,West
11,5,1,6,West
10,5,1,6,West
9,5,1,6,West
8,5,1,4,West
7,5,1,4,West
6,5,1,2,West
5,5,1,1,West
1,11,4,7,Stop
1,10,4,7,South
1,9,4,7,South
1,8,4,5,South
1,7,4,5,South
2,7,4,3,East
3,7,4,2,East
4,7,4,2,East
4,8,4,2,North
5,8,4,1,East
6,8,3,4,East
6,9,3,2,North
6,10,2,8,North
6,9,2,7,South
6,8,2,7,South
6,7,2,5,South
7,7,2,3,East
8,7,2,1,East
9,7,1,9,East
9,6,1,8,South
9,5,1,8,South
9,4,1,6,South
10,4,1,5,East
11,4,1,5,East
11,4,1,6,East
11,4,1,5,East
11,4,1,6,East
11,4,1,7,East
11,5,1,7,North
12,5,1,6,East
13,5,1,4,East
13,4,1,3,South
14,4,1,3,East
15,4,1,3,East
16,4,1,3,East
17,4,1,3,East
17,5,1,2,North
18,5,1,1,East
1,11,4,7,Stop
1,10,4,5,South
1,10,4,4,South
1,10,4,5,South
1,10,4,6,South
1,9,4,6,South
1,10,4,6,North
1,9,4,4,South
2,9,4,4,East
3,9,4,4,East
4,9,4,2,East
5,9,4,2,East
5,8,4,2,South
6,8,4,1,East
7,8,3,3,East
7,7,3,1,South
8,7,2,3,East
8,8,2,3,North
9,8,2,1,East
9,9,2,1,North
9,8,2,3,South
9,9,2,2,North
10,9,2,2,East
10,10,2,2,North
10,9,2,2,South
11,9,2,2,East
12,9,2,2,East
12,8,2,1,South
12,7,1,4,South
12,8,1,4,North
12,9,1,2,North
11,9,1,2,West
10,9,1,2,West
9,9,1,1,West
1,11,4,7,Stop
1,10,4,5,South
1,9,4,5,South
1,8,4,5,South
2,8,4,5,East
2,9,4,3,North
3,9,4,2,East
4,9,4,2,East
5,9,4,2,East
5,10,4,2,North
5,11,4,2,North
4,11,4,1,West
3,11,3,8,West
4,11,3,8,East
5,11,3,7,East
6,11,3,5,East
7,11,3,3,East
8,11,3,3,East
9,11,3,1,East
10,11,2,7,East
10,10,2,7,South
10,9,2,6,South
10,8,2,6,South
10,7,2,5,South
10,6,2,3,South
10,5,2,3,South
9,5,2,1,West
8,5,1,7,West
8,4,1,7,South
9,4,1,7,East
9,5,1,7,North
10,5,1,5,East
10,4,1,5,South
10,5,1,6,North
10,4,1,6,South
11,4,1,6,East
11,3,1,6,South
11,3,1,7,South
11,3,1,8,South
11,3,1,8,South
11,4,1,6,North
11,4,1,6,North
11,4,1,6,North
11,4,1,7,North
11,4,1,6,North
11,4,1,6,North
11,4,1,6,North
11,4,1,7,North
11,4,1,6,North
11,4,1,5,North
11,4,1,4,North
11,4,1,5,North
11,4,1,6,North
11,4,1,5,North
11,5,1,4,North
12,5,1,2,East
13,5,1,2,East
14,5,1,2,East
14,6,1,2,North
14,7,1,2,North
15,7,1,2,East
15,8,1,2,North
1,11,4,7,Stop
1,10,4,7,South
1,9,4,7,South
1,8,4,7,South
1,7,4,6,South
2,7,4,4,East
3,7,4,4,East
3,8,4,4,North
3,7,4,2,South
4,7,3,4,East
5,7,3,3,East
6,7,3,3,East
5,7,3,3,West
6,7,3,3,East
7,7,3,3,East
6,7,3,2,West
7,7,3,2,East
8,7,3,4,East
8,6,3,4,South
8,5,3,3,South
8,4,3,1,South
8,3,2,13,South
8,4,2,11,North
8,5,2,10,North
8,6,2,10,North
8,7,2,9,North
8,8,2,8,North
8,9,2,6,North
9,9,2,4,East
10,9,2,3,East
10,10,2,2,North
10,11,1,6,North
11,11,1,4,East
12,11,1,4,East
13,11,1,2,East
14,11,1,2,East
1,11,4,7,Stop
1,10,4,5,South
1,9,4,4,South
2,9,4,4,East
3,9,4,4,East
3,8,4,4,South
3,9,4,4,North
4,9,4,3,East
5,9,4,3,East
5,8,4,3,South
5,7,4,1,South
6,7,3,5,East
7,7,3,4,East
8,7,3,4,East
8,6,3,4,South
8,5,3,4,South
8,4,3,2,South
7,4,2,7,West
7,5,2,6,North
8,5,2,6,East
8,6,2,4,North
8,7,2,2,North
9,7,2,2,East
9,6,2,2,South
9,7,2,2,North
9,8,2,2,North
9,7,2,2,South
9,8,2,2,North
9,9,1,2,North
10,9,1,2,East
11,9,1,2,East
11,10,1,2,North
10,10,1,1,West
1,11,4,7,Stop
1,10,4,7,South
1,9,4,5,South
2,9,4,5,East
3,9,4,4,East
4,9,4,3,East
5,9,4,2,East
5,10,3,2,North
5,11,3,1,North
6,11,2,6,East
6,10,2,6,South
6,9,2,5,South
6,8,2,5,South
6,7,2,5,South
7,7,2,4,East
8,7,2,2,East
8,6,2,2,South
8,5,2,2,South
9,5,2,1,East
10,5,1,7,East
10,6,1,6,North
10,7,1,4,North
10,8,1,2,North
10,8,1,2,North
10,8,1,3,North
10,8,1,2,North
10,9,1,2,North
1,11,4,7,Stop
1,10,4,5,South
1,9,4,3,South
2,9,4,1,East
3,9,3,9,East
3,8,3,7,South
3,7,3,5,South
4,7,3,5,East
5,7,3,4,East
6,7,3,3,East
7,7,3,3,East
8,7,3,5,East
8,6,3,5,South
8,5,3,4,South
8,4,3,2,South
7,4,3,2,West
7,5,3,2,North
6,5,2,8,West
7,5,2,8,East
8,5,2,8,East
8,6,2,6,North
8,7,2,6,North
8,8,2,5,North
8,9,2,5,North
9,9,2,4,East
10,9,2,2,East
10,10,1,11,North
10,9,1,11,South
10,8,1,10,South
10,7,1,10,South
10,6,1,10,South
10,5,1,9,South
10,4,1,7,South
10,3,1,6,South
11,3,1,6,East
11,3,1,7,East
11,4,1,7,North
11,4,1,6,North
11,4,1,6,North
11,4,1,7,North
11,4,1,7,North
11,5,1,7,North
12,5,1,7,East
13,5,1,7,East
13,4,1,5,South
13,3,1,7,South
13,4,1,7,North
13,5,1,5,North
14,5,1,3,East
15,5,1,3,East
16,5,1,1,East
1,11,4,7,Stop
1,10,4,5,South
1,9,4,3,South
2,9,4,3,East
3,9,4,3,East
4,9,4,2,East
5,9,4,1,East
6,9,3,2,East
6,10,3,1,North
5,10,2,10,West
5,9,2,10,South
5,8,2,9,South
5,7,2,7,South
6,7,2,5,East
7,7,2,5,East
6,7,2,5,West
7,7,2,4,East
8,7,2,4,East
8,6,2,3,South
8,5,2,3,South
8,4,2,2,South
8,3,2,2,South
8,4,2,2,North
8,5,2,2,North
9,5,2,2,East
10,5,1,11,East
10,6,1,10,North
10,7,1,8,North
10,8,1,8,North
10,8,1,7,North
10,7,1,6,South
10,7,1,6,South
10,7,1,6,South
10,7,1,7,South
10,7,1,8,South
10,8,1,7,North
10,8,1,8,North
10,8,1,9,North
10,8,1,9,North
10,7,1,7,South
10,7,1,6,South
10,7,1,7,South
10,7,1,8,South
10,7,1,9,South
10,7,1,10,South
10,6,1,8,South
10,5,1,8,South
10,6,1,9,North
10,5,1,8,South
11,5,1,6,East
12,5,1,6,East
13,5,1,4,East
13,4,1,4,South
14,4,1,4,East
14,5,1,4,North
15,5,1,3,East
16,5,1,3,East
17,5,1,1,East
1,11,4,7,Stop
1,10,4,6,South
1,9,4,6,South
2,9,4,6,East
2,8,4,5,South
3,8,4,5,East
3,7,4,4,South
4,7,4,2,East
5,7,4,2,East
6,7,4,2,East
7,7,4,2,East
8,7,3,4,East
8,8,3,4,North
8,9,3,4,North
7,9,3,2,West
6,9,3,2,West
6,10,3,1,North
6,11,2,6,North
6,10,2,5,South
6,9,2,4,South
6,8,2,4,South
6,7,2,3,South
5,7,2,2,West
6,7,2,2,East
7,7,2,4,East
6,7,2,3,West
5,7,2,3,West
6,7,2,3,East
5,7,2,3,West
6,7,2,3,East
7,7,2,3,East
6,7,2,3,West
7,7,2,3,East
8,7,2,3,East
8,6,2,3,South
8,5,2,3,South
7,5,2,2,West
6,5,1,9,West
7,5,1,8,East
8,5,1,6,East
8,6,1,6,North
8,7,1,5,North
9,7,1,3,East
10,7,1,3,East
10,7,1,4,East
10,8,1,2,North
10,9,1,4,North
10,8,1,2,South
10,7,1,2,South
10,8,1,4,North
10,7,1,2,South
10,7,1,3,South
10,7,1,3,South
10,7,1,2,South
10,7,1,3,South
10,7,1,2,South
10,7,1,3,South
10,7,1,4,South
10,7,1,5,South
10,7,1,4,South
10,7,1,5,South
10,7,1,4,South
10,8,1,4,North
10,8,1,3,North
10,9,1,4,North
10,8,1,2,South
10,8,1,3,South
10,8,1,2,South
10,8,1,3,South
10,8,1,3,South
10,7,1,2,South
10,7,1,2,South
10,7,1,3,South
10,7,1,4,South
10,7,1,3,South
10,8,1,5,North
