@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
10,8,2,27,South
10,8,2,28,South
10,8,2,29,South
10,8,2,30,South
10,7,2,31,South
10,7,2,32,South
10,8,2,33,North
10,9,1,34,North
10,8,1,35,South
10,9,1,36,North
10,8,1,37,South
10,8,1,38,South
10,8,1,39,South
10,8,1,40,South
10,9,1,41,North
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
2,9,4,5,North
3,9,4,6,East
3,8,4,7,South
4,8,3,8,East
4,7,3,9,South
3,7,3,10,West
4,7,3,11,East
3,7,3,12,West
4,7,3,13,East
3,7,3,14,West
4,7,3,15,East
5,7,3,16,East
4,7,3,17,West
3,7,3,18,West
4,7,3,19,East
4,8,3,20,North
4,9,3,21,North
4,8,3,22,South
4,9,3,23,North
5,9,3,24,East
5,8,3,25,South
5,9,3,26,North
6,9,3,27,East
7,9,3,28,East
7,8,3,29,South
8,8,2,30,East
8,7,2,31,South
8,6,2,32,South
8,5,2,33,South
8,4,2,34,South
8,3,2,35,South
7,3,2,36,West
6,3,2,37,West
5,3,2,38,West
4,3,2,39,West
3,3,2,40,West
2,3,1,41,West
2,4,1,42,North
3,4,1,43,East
4,4,1,44,East
5,4,1,45,East
6,4,1,46,East
6,3,1,47,South
7,3,1,48,East
7,4,1,49,North
7,5,1,50,North
8,5,1,51,East
9,5,1,52,East
10,5,1,53,East
10,4,1,54,South
11,4,1,55,East
11,3,1,56,South
11,3,1,57,South
11,3,1,58,South
11,3,1,59,South
11,3,1,60,South
11,3,1,61,South
11,3,1,62,South
11,3,1,63,South
11,4,1,64,North
11,4,1,65,North
11,4,1,66,North
11,5,1,67,North
12,5,1,68,East
13,5,1,69,East
14,5,1,70,East
15,5,1,71,East
15,4,1,72,South
15,3,1,73,South
15,4,1,74,North
15,5,1,75,North
16,5,1,76,East
17,5,1,77,East
18,5,1,78,East
18,6,1,79,North
18,7,1,80,North
18,8,1,81,North
17,8,1,82,West
17,7,1,83,South
17,8,1,84,North
16,8,1,85,West
15,8,1,86,West
15,7,1,87,South
14,7,1,88,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
3,8,4,5,South
4,8,4,6,East
5,8,4,7,East
5,7,4,8,South
6,7,4,9,East
7,7,3,10,East
7,8,3,11,North
7,9,3,12,North
6,9,2,13,West
6,8,2,14,South
6,7,2,15,South
5,7,2,16,West
4,7,2,17,West
3,7,2,18,West
4,7,2,19,East
3,7,2,20,West
4,7,2,21,East
3,7,2,22,West
4,7,2,23,East
3,7,2,24,West
2,7,2,25,West
1,7,2,26,West
1,6,2,27,South
1,5,2,28,South
1,4,1,29,South
1,5,1,30,North
1,6,1,31,North
1,7,1,32,North
2,7,1,33,East
3,7,1,34,East
4,7,1,35,East
5,7,1,36,East
6,7,1,37,East
7,7,1,38,East
7,8,1,39,North
7,7,1,40,South
7,8,1,41,North
8,8,1,42,East
8,7,1,43,South
9,7,1,44,East
10,7,1,45,East
10,8,1,46,North
10,7,1,47,South
10,7,1,48,South
10,6,1,49,South
10,7,1,50,North
10,7,1,51,North
10,8,1,52,North
10,7,1,53,South
10,6,1,54,South
10,5,1,55,South
10,4,1,56,South
11,4,1,57,East
11,4,1,58,East
11,3,1,59,South
11,3,1,60,South
11,3,1,61,South
11,3,1,62,South
11,3,1,63,South
11,3,1,64,South
11,3,1,65,South
11,3,1,66,South
11,4,1,67,North
11,4,1,68,North
11,4,1,69,North
11,5,1,70,North
12,5,1,71,East
13,5,1,72,East
14,5,1,73,East
1,11,4,0,Stop
1,10,4,1,South
1,10,4,2,South
1,10,4,3,South
1,10,4,4,South
1,11,4,5,North
2,11,4,6,East
3,11,4,7,East
4,11,4,8,East
5,11,3,9,East
5,10,2,10,South
5,9,2,11,South
6,9,2,12,East
7,9,2,13,East
8,9,2,14,East
9,9,2,15,East
10,9,2,16,East
10,10,2,17,North
10,11,2,18,North
10,10,2,19,South
10,9,2,20,South
11,9,2,21,East
12,9,2,22,East
12,8,2,23,South
12,9,1,24,North
12,8,1,25,South
12,7,1,26,South
12,7,1,27,South
12,7,1,28,South
12,7,1,29,South
12,7,1,30,South
12,7,1,31,South
12,7,1,32,South
12,7,1,33,South
12,7,1,34,South
12,7,1,35,South
12,7,1,36,South
12,7,1,37,South
12,7,1,38,South
12,7,1,39,South
12,7,1,40,South
12,7,1,41,South
12,7,1,42,South
12,7,1,43,South
12,7,1,44,South
12,7,1,45,South
12,7,1,46,South
12,7,1,47,South
12,7,1,48,South
12,7,1,49,South
12,7,1,50,South
12,7,1,51,South
12,7,1,52,South
12,7,1,53,South
12,7,1,54,South
12,7,1,55,South
12,7,1,56,South
12,7,1,57,South
12,7,1,58,South
12,7,1,59,South
12,7,1,60,South
12,7,1,61,South
12,7,1,62,South
12,7,1,63,South
12,7,1,64,South
12,7,1,65,South
12,7,1,66,South
12,7,1,67,South
12,7,1,68,South
12,7,1,69,South
12,7,1,70,South
12,7,1,71,South
12,7,1,72,South
12,7,1,73,South
12,7,1,74,South
12,7,1,75,South
12,7,1,76,South
12,7,1,77,South
12,7,1,78,South
12,7,1,79,South
12,7,1,80,South
12,7,1,81,South
12,7,1,82,South
12,7,1,83,South
12,7,1,84,South
12,7,1,85,South
12,7,1,86,South
12,7,1,87,South
12,7,1,88,South
12,7,1,89,South
12,7,1,90,South
12,7,1,91,South
12,7,1,92,South
12,7,1,93,South
12,7,1,94,South
12,7,1,95,South
12,7,1,96,South
12,7,1,97,South
12,7,1,98,South
12,8,1,99,North
12,8,1,100,North
12,9,1,101,North
11,9,1,102,West
11,10,1,103,North
11,9,1,104,South
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,7,4,4,South
1,6,4,5,South
1,5,4,6,South
2,5,4,7,East
3,5,4,8,East
4,5,4,9,East
5,5,4,10,East
6,5,4,11,East
7,5,4,12,East
8,5,4,13,East
9,5,3,14,East
9,6,3,15,North
9,7,3,16,North
9,8,3,17,North
9,9,3,18,North
10,9,2,19,East
10,10,2,20,North
10,10,2,21,North
10,10,2,22,North
10,9,2,23,South
9,9,2,24,West
8,9,2,25,West
7,9,1,26,West
8,9,1,27,East
9,9,1,28,East
10,9,1,29,East
10,10,1,30,North
10,11,1,31,North
10,10,1,32,South
10,11,1,33,North
11,11,1,34,East
12,11,1,35,East
13,11,1,36,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
3,8,4,5,East
4,8,4,6,East
5,8,4,7,East
6,8,4,8,East
6,7,4,9,South
7,7,4,10,East
8,7,3,11,East
8,6,3,12,South
8,5,3,13,South
7,5,3,14,West
7,4,3,15,South
7,3,3,16,South
7,4,2,17,North
7,5,2,18,North
8,5,2,19,East
8,6,2,20,North
8,7,2,21,North
8,8,2,22,North
8,9,2,23,North
7,9,2,24,West
6,9,2,25,West
5,9,1,26,West
5,8,1,27,South
5,7,1,28,South
6,7,1,29,East
7,7,1,30,East
8,7,1,31,East
8,6,1,32,South
8,7,1,33,North
8,8,1,34,North
8,7,1,35,South
8,8,1,36,North
8,7,1,37,South
9,7,1,38,East
10,7,1,39,East
10,6,1,40,South
10,6,1,41,South
10,7,1,42,North
10,7,1,43,North
10,7,1,44,North
10,8,1,45,North
10,9,1,46,North
11,9,1,47,East
12,9,1,48,East
13,9,1,49,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,10,4,3,North
1,10,4,4,North
1,10,4,5,North
1,10,4,6,North
1,11,4,7,North
2,11,4,8,East
3,11,4,9,East
4,11,4,10,East
5,11,4,11,East
5,10,4,12,South
5,11,3,13,North
5,10,3,14,South
6,10,3,15,East
6,10,3,16,East
6,10,3,17,East
6,10,3,18,East
6,9,3,19,South
7,9,3,20,East
8,9,3,21,East
9,9,3,22,East
10,9,3,23,East
11,9,2,24,East
12,9,2,25,East
12,8,2,26,South
13,8,2,27,East
13,7,2,28,South
13,8,2,29,North
14,8,2,30,East
15,8,2,31,East
16,8,2,32,East
17,8,1,33,East
17,7,1,34,South
16,7,1,35,West
15,7,1,36,West
14,7,1,37,West
14,6,1,38,South
14,5,1,39,South
13,5,1,40,West
12,5,1,41,West
11,5,1,42,West
10,5,1,43,West
9,5,1,44,West
9,4,1,45,South
8,4,1,46,West
8,3,1,47,South
7,3,1,48,West
6,3,1,49,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
2,8,4,4,East
3,8,4,5,East
4,8,4,6,East
5,8,4,7,East
5,7,4,8,South
6,7,3,9,East
7,7,3,10,East
8,7,3,11,East
8,8,3,12,North
8,9,3,13,North
9,9,3,14,East
8,9,3,15,West
9,9,3,16,East
8,9,3,17,West
9,9,3,18,East
10,9,3,19,East
10,10,3,20,North
10,11,2,21,North
11,11,2,22,East
12,11,2,23,East
13,11,2,24,East
14,11,2,25,East
15,11,1,26,East
14,11,1,27,West
14,10,1,28,South
14,9,1,29,South
14,8,1,30,South
14,7,1,31,South
14,6,1,32,South
14,5,1,33,South
14,4,1,34,South
13,4,1,35,West
13,3,1,36,South
13,3,1,37,South
13,3,1,38,South
13,3,1,39,South
13,3,1,40,South
13,3,1,41,South
13,4,1,42,North
13,4,1,43,North
13,4,1,44,North
13,3,1,45,South
13,3,1,46,South
13,3,1,47,South
13,3,1,48,South
13,4,1,49,North
13,3,1,50,South
13,3,1,51,South
13,4,1,52,North
13,4,1,53,North
13,4,1,54,North
13,3,1,55,South
13,4,1,56,North
13,5,1,57,North
12,5,1,58,West
11,5,1,59,West
11,4,1,60,South
11,5,1,61,North
10,5,1,62,West
9,5,1,63,West
9,4,1,64,South
9,5,1,65,North
9,4,1,66,South
8,4,1,67,West
7,4,1,68,West
6,4,1,69,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
2,8,4,4,East
3,8,4,5,East
3,9,4,6,North
4,9,4,7,East
5,9,2,8,East
5,8,2,9,South
5,7,2,10,South
6,7,2,11,East
7,7,2,12,East
8,7,2,13,East
8,6,2,14,South
8,5,2,15,South
8,4,2,16,South
9,4,1,17,East
9,5,1,18,North
9,6,1,19,North
9,7,1,20,North
9,8,1,21,North
9,9,1,22,North
10,9,1,23,East
11,9,1,24,East
12,9,1,25,East
13,9,1,26,East
14,9,1,27,East
14,8,1,28,South
15,8,1,29,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,10,4,3,North
1,10,4,4,North
1,9,4,5,South
1,10,4,6,North
1,10,4,7,North
1,10,4,8,North
1,10,4,9,North
1,10,4,10,North
1,10,4,11,North
1,9,4,12,South
1,8,4,13,South
1,9,4,14,North
2,9,4,15,East
2,8,4,16,South
3,8,3,17,East
3,9,3,18,North
4,9,3,19,East
5,9,2,20,East
5,8,2,21,South
5,7,2,22,South
4,7,2,23,West
5,7,2,24,East
4,7,2,25,West
3,7,2,26,West
2,7,2,27,West
3,7,2,28,East
2,7,2,29,West
1,7,2,30,West
1,6,2,31,South
1,5,2,32,South
2,5,1,33,East
3,5,1,34,East
4,5,1,35,East
5,5,1,36,East
6,5,1,37,East
7,5,1,38,East
8,5,1,39,East
8,6,1,40,North
8,7,1,41,North
9,7,1,42,East
10,7,1,43,East
10,7,1,44,East
10,7,1,45,East
10,8,1,46,North
10,8,1,47,North
10,7,1,48,South
10,7,1,49,South
10,7,1,50,South
10,7,1,51,South
10,8,1,52,North
10,9,1,53,North
11,9,1,54,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
6,9,4,7,East
7,9,3,8,East
7,8,3,9,South
7,7,3,10,South
6,7,3,11,West
7,7,3,12,East
6,7,3,13,West
5,7,3,14,West
6,7,3,15,East
7,7,3,16,East
7,8,3,17,North
8,8,2,18,East
8,7,2,19,South
8,6,2,20,South
8,5,2,21,South
8,4,2,22,South
7,4,2,23,West
6,4,2,24,West
6,5,2,25,North
5,5,2,26,West
4,5,1,27,West
4,4,1,28,South
5,4,1,29,East
6,4,1,30,East
6,5,1,31,North
7,5,1,32,East
8,5,1,33,East
9,5,1,34,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,9,4,4,North
2,9,4,5,East
2,8,4,6,South
3,8,4,7,East
3,9,4,8,North
3,8,4,9,South
3,7,4,10,South
3,8,4,11,North
4,8,4,12,East
4,7,4,13,South
5,7,4,14,East
6,7,3,15,East
7,7,3,16,East
6,7,3,17,West
7,7,3,18,East
6,7,3,19,West
7,7,3,20,East
8,7,3,21,East
8,6,3,22,South
8,5,3,23,South
7,5,2,24,West
8,5,2,25,East
8,6,2,26,North
8,7,2,27,North
8,8,2,28,North
8,9,2,29,North
9,9,2,30,East
10,9,2,31,East
10,8,2,32,South
10,8,2,33,South
10,8,2,34,South
10,8,2,35,South
10,9,2,36,North
11,9,2,37,East
12,9,1,38,East
13,9,1,39,East
14,9,1,40,East
14,10,1,41,North
14,9,1,42,South
15,9,1,43,East
16,9,1,44,East
1,11,4,0,Stop
1,10,4,1,South
1,10,4,2,South
1,11,4,3,North
2,11,4,4,East
3,11,4,5,East
4,11,4,6,East
5,11,4,7,East
6,11,3,8,East
7,11,2,9,East
6,11,2,10,West
6,10,2,11,South
6,9,2,12,South
6,8,2,13,South
6,7,2,14,South
5,7,2,15,West
4,7,2,16,West
3,7,2,17,West
2,7,2,18,West
1,7,2,19,West
1,6,2,20,South
1,5,2,21,South
2,5,1,22,East
3,5,1,23,East
3,4,1,24,South
4,4,1,25,East
4,3,1,26,South
5,3,1,27,East
5,4,1,28,North
6,4,1,29,East
6,5,1,30,North
6,4,1,31,South
7,4,1,32,East
7,5,1,33,North
7,4,1,34,South
7,5,1,35,North
7,4,1,36,South
8,4,1,37,East
9,4,1,38,East
10,4,1,39,East
10,5,1,40,North
10,4,1,41,South
11,4,1,42,East
11,5,1,43,North
12,5,1,44,East
13,5,1,45,East
13,4,1,46,South
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
3,8,4,5,South
4,8,3,6,East
4,7,3,7,South
5,7,3,8,East
6,7,3,9,East
5,7,3,10,West
6,7,3,11,East
7,7,3,12,East
8,7,3,13,East
8,6,3,14,South
8,5,2,15,South
8,6,2,16,North
8,7,2,17,North
8,8,2,18,North
8,9,2,19,North
7,9,2,20,West
8,9,2,21,East
7,9,2,22,West
8,9,2,23,East
7,9,2,24,West
6,9,2,25,West
6,10,1,26,North
6,9,1,27,South
6,8,1,28,South
6,7,1,29,South
7,7,1,30,East
8,7,1,31,East
8,6,1,32,South
8,5,1,33,South
8,4,1,34,South
8,5,1,35,North
8,6,1,36,North
8,7,1,37,North
8,6,1,38,South
8,7,1,39,North
9,7,1,40,East
9,8,1,41,North
9,7,1,42,South
10,7,1,43,East
10,7,1,44,East
10,7,1,45,East
10,7,1,46,East
10,8,1,47,North
10,7,1,48,South
10,7,1,49,South
10,7,1,50,South
10,7,1,51,South
10,7,1,52,South
10,7,1,53,South
10,8,1,54,North
10,8,1,55,North
10,7,1,56,South
10,7,1,57,South
10,7,1,58,South
10,7,1,59,South
10,7,1,60,South
10,7,1,61,South
10,7,1,62,South
10,8,1,63,North
10,8,1,64,North
10,8,1,65,North
10,9,1,66,North
10,8,1,67,South
10,7,1,68,South
10,6,1,69,South
10,5,1,70,South
11,5,1,71,East
12,5,1,72,East
13,5,1,73,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,7,4,4,South
2,7,4,5,East
2,8,4,6,North
3,8,3,7,East
3,7,3,8,South
4,7,3,9,East
5,7,3,10,East
6,7,3,11,East
7,7,3,12,East
8,7,3,13,East
8,6,3,14,South
8,5,3,15,South
8,4,2,16,South
8,5,2,17,North
8,6,2,18,North
8,7,2,19,North
9,7,1,20,East
9,8,1,21,North
9,9,1,22,North
