@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
11,4,1,3,26,East
11,4,1,4,27,East
11,4,1,4,28,East
11,3,1,2,29,South
11,3,1,2,30,South
11,3,1,2,31,South
11,3,1,3,32,South
11,3,1,4,33,South
11,4,1,2,34,North
11,5,1,4,35,North
11,4,1,4,36,South
11,4,1,4,37,South
11,5,1,4,38,North
12,5,1,3,39,East
13,5,1,1,40,East
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,6,3,South
2,8,4,5,4,East
3,8,4,5,5,East
3,7,4,5,6,South
4,7,4,4,7,East
5,7,4,4,8,East
6,7,4,4,9,East
7,7,4,3,10,East
7,8,4,1,11,North
7,9,3,4,12,North
8,9,3,4,13,East
9,9,3,2,14,East
10,9,3,2,15,East
11,9,2,10,16,East
12,9,2,9,17,East
12,8,2,8,18,South
12,7,2,7,19,South
13,7,2,6,20,East
14,7,2,5,21,East
14,6,2,4,22,South
14,5,2,3,23,South
14,4,2,3,24,South
14,3,2,3,25,South
15,3,2,2,26,East
15,4,2,2,27,North
16,4,2,2,28,East
17,4,1,14,29,East
17,3,1,14,30,South
17,4,1,14,31,North
17,5,1,12,32,North
16,5,1,12,33,West
16,4,1,12,34,South
16,3,1,10,35,South
15,3,1,9,36,West
14,3,1,9,37,West
14,4,1,9,38,North
14,5,1,9,39,North
13,5,1,7,40,West
12,5,1,7,41,West
11,5,1,6,42,West
10,5,1,6,43,West
9,5,1,6,44,West
8,5,1,4,45,West
7,5,1,4,46,West
6,5,1,2,47,West
5,5,1,1,48,West
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,5,3,South
1,7,4,5,4,South
2,7,4,3,5,East
3,7,4,2,6,East
4,7,4,2,7,East
4,8,4,2,8,North
5,8,4,1,9,East
6,8,3,4,10,East
6,9,3,2,11,North
6,10,2,8,12,North
6,9,2,7,13,South
6,8,2,7,14,South
6,7,2,5,15,South
7,7,2,3,16,East
8,7,2,1,17,East
9,7,1,9,18,East
9,6,1,8,19,South
9,5,1,8,20,South
9,4,1,6,21,South
10,4,1,5,22,East
11,4,1,5,23,East
11,4,1,6,24,East
11,4,1,5,25,East
11,4,1,6,26,East
11,4,1,7,27,East
11,5,1,7,28,North
12,5,1,6,29,East
13,5,1,4,30,East
13,4,1,3,31,South
14,4,1,3,32,East
15,4,1,3,33,East
16,4,1,3,34,East
17,4,1,3,35,East
17,5,1,2,36,North
18,5,1,1,37,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,10,4,4,2,South
1,10,4,5,3,South
1,10,4,6,4,South
1,9,4,6,5,South
1,10,4,6,6,North
1,9,4,4,7,South
2,9,4,4,8,East
3,9,4,4,9,East
4,9,4,2,10,East
5,9,4,2,11,East
5,8,4,2,12,South
6,8,4,1,13,East
7,8,3,3,14,East
7,7,3,1,15,South
8,7,2,3,16,East
8,8,2,3,17,North
9,8,2,1,18,East
9,9,2,1,19,North
9,8,2,3,20,South
9,9,2,2,21,North
10,9,2,2,22,East
10,10,2,2,23,North
10,9,2,2,24,South
11,9,2,2,25,East
12,9,2,2,26,East
12,8,2,1,27,South
12,7,1,4,28,South
12,8,1,4,29,North
12,9,1,2,30,North
11,9,1,2,31,West
10,9,1,2,32,West
9,9,1,1,33,West
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,5,2,South
1,8,4,5,3,South
2,8,4,5,4,East
2,9,4,3,5,North
3,9,4,2,6,East
4,9,4,2,7,East
5,9,4,2,8,East
