@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
7,4,2,2,71,North
6,4,2,1,72,West
5,4,1,3,73,West
5,3,1,1,74,South
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,6,2,South
1,8,4,6,3,South
1,9,4,6,4,North
2,9,4,6,5,East
2,8,4,4,6,South
3,8,4,4,7,East
3,9,4,3,8,North
4,9,4,2,9,East
5,9,4,2,10,East
5,10,4,2,11,North
5,11,4,2,12,North
5,10,4,1,13,South
6,10,3,5,14,East
6,10,3,4,15,East
6,10,3,5,16,East
6,9,3,5,17,South
6,10,3,4,18,North
6,10,3,4,19,North
6,10,3,5,20,North
6,9,3,3,21,South
7,9,3,1,22,East
8,9,2,6,23,East
8,8,2,6,24,South
8,7,2,6,25,South
8,6,2,6,26,South
8,5,2,4,27,South
9,5,2,3,28,East
10,5,2,1,29,East
11,5,1,6,30,East
12,5,1,4,31,East
13,5,1,3,32,East
14,5,1,1,33,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,3,2,South
2,9,4,1,3,East
3,9,3,5,4,East
4,9,3,5,5,East
4,8,3,3,6,South
4,7,3,3,7,South
3,7,3,3,8,West
4,7,3,3,9,East
5,7,3,5,10,East
4,7,3,4,11,West
5,7,3,3,12,East
5,8,3,2,13,North
5,9,3,2,14,North
5,10,3,2,15,North
5,11,3,2,16,North
6,11,3,1,17,East
7,11,2,7,18,East
8,11,2,7,19,East
9,11,2,7,20,East
10,11,2,7,21,East
10,10,2,5,22,South
10,9,2,3,23,South
10,8,2,3,24,South
10,9,2,4,25,North
10,8,2,4,26,South
10,8,2,4,27,South
10,8,2,4,28,South
10,8,2,3,29,South
10,8,2,4,30,South
10,8,2,4,31,South
10,8,2,5,32,South
10,8,2,6,33,South
10,9,2,5,34,North
10,10,2,5,35,North
11,10,2,3,36,East
11,11,2,1,37,North
12,11,1,15,38,East
11,11,1,14,39,West
11,10,1,14,40,South
11,9,1,13,41,South
10,9,1,13,42,West
10,8,1,13,43,South
10,7,1,11,44,South
10,6,1,10,45,South
10,5,1,8,46,South
9,5,1,8,47,West
9,4,1,8,48,South
9,3,1,8,49,South
8,3,1,7,50,West
7,3,1,6,51,West
6,3,1,6,52,West
6,4,1,4,53,North
5,4,1,4,54,West
5,5,1,4,55,North
5,4,1,4,56,South
5,3,1,4,57,South
4,3,1,4,58,West
4,4,1,2,59,North
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,5,2,South
2,9,4,3,3,East
3,9,4,3,4,East
4,9,4,3,5,East
4,8,4,3,6,South
5,8,4,3,7,East
6,8,4,3,8,East
7,8,4,3,9,East
8,8,4,1,10,East
9,8,3,2,11,East
9,9,3,2,12,North
10,9,3,1,13,East
10,10,2,4,14,North
10,9,2,4,15,South
11,9,2,2,16,East
12,9,1,12,17,East
12,8,1,11,18,South
12,7,1,9,19,South
12,7,1,10,20,South
12,7,1,10,21,South
12,7,1,9,22,South
12,7,1,10,23,South
12,7,1,10,24,South
12,7,1,10,25,South
12,7,1,10,26,South
12,7,1,9,27,South
12,7,1,9,28,South
12,7,1,9,29,South
12,7,1,8,30,South
12,7,1,7,31,South
12,7,1,7,32,South
12,7,1,6,33,South
12,7,1,6,34,South
12,7,1,7,35,South
12,7,1,7,36,South
12,7,1,8,37,South
12,7,1,8,38,South
12,7,1,7,39,South
12,7,1,8,40,South
12,7,1,7,41,South
12,7,1,6,42,South
12,7,1,5,43,South
12,7,1,6,44,South
12,7,1,6,45,South
12,7,1,7,46,South
12,7,1,7,47,South
12,7,1,7,48,South
12,7,1,7,49,South
12,7,1,8,50,South
12,7,1,7,51,South
12,7,1,8,52,South
12,7,1,9,53,South
12,7,1,8,54,South
12,7,1,9,55,South
12,7,1,8,56,South
12,7,1,8,57,South
12,7,1,9,58,South
12,7,1,10,59,South
12,7,1,9,60,South
12,7,1,10,61,South
12,7,1,11,62,South
12,7,1,11,63,South
12,7,1,12,64,South
12,7,1,11,65,South
12,7,1,10,66,South
12,7,1,11,67,South
12,7,1,12,68,South
12,7,1,11,69,South
12,7,1,12,70,South
12,7,1,11,71,South
12,7,1,10,72,South
12,7,1,11,73,South
12,7,1,12,74,South
12,7,1,13,75,South
12,7,1,12,76,South
12,7,1,12,77,South
12,7,1,11,78,South
12,7,1,12,79,South
12,7,1,11,80,South
12,7,1,12,81,South
12,7,1,12,82,South
12,7,1,13,83,South
12,7,1,12,84,South
12,7,1,12,85,South
12,7,1,11,86,South
12,7,1,10,87,South
12,7,1,9,88,South
12,7,1,10,89,South
12,7,1,10,90,South
12,7,1,10,91,South
12,7,1,11,92,South
12,8,1,10,93,North
12,8,1,11,94,North
12,8,1,11,95,North
12,8,1,11,96,North
12,8,1,12,97,North
12,7,1,10,98,South
12,7,1,10,99,South
12,7,1,9,100,South
12,7,1,9,101,South
12,7,1,9,102,South
12,7,1,10,103,South
12,8,1,10,104,North
12,7,1,9,105,South
12,7,1,8,106,South
12,7,1,9,107,South
12,8,1,9,108,North
12,8,1,10,109,North
12,7,1,10,110,South
12,8,1,10,111,North
12,8,1,11,112,North
12,7,1,11,113,South
12,8,1,11,114,North
12,7,1,10,115,South
12,7,1,10,116,South
12,7,1,10,117,South
12,7,1,11,118,South
12,7,1,11,119,South
12,7,1,12,120,South
12,7,1,11,121,South
12,7,1,11,122,South
12,7,1,12,123,South
12,8,1,10,124,North
12,8,1,10,125,North
12,8,1,10,126,North
12,8,1,11,127,North
12,9,1,11,128,North
11,9,1,11,129,West
11,10,1,11,130,North
11,11,1,9,131,North
10,11,1,9,132,West
9,11,1,9,133,West
8,11,1,8,134,West
7,11,1,8,135,West
6,11,1,6,136,West
6,10,1,5,137,South
5,10,1,5,138,West
5,11,1,3,139,North
4,11,1,2,140,West
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,5,2,South
2,9,4,5,3,East
2,8,4,3,4,South
3,8,4,1,5,East
4,8,3,6,6,East
4,7,3,6,7,South
5,7,3,5,8,East
6,7,3,5,9,East
7,7,3,5,10,East
8,7,3,5,11,East
8,6,3,4,12,South
8,5,3,3,13,South
8,4,3,2,14,South
8,3,3,2,15,South
8,4,2,9,16,North
8,5,2,7,17,North
8,6,2,6,18,North
8,7,2,5,19,North
9,7,2,4,20,East
10,7,2,4,21,East
10,7,2,3,22,East
10,8,2,2,23,North
10,8,2,3,24,North
10,8,2,2,25,North
10,9,2,3,26,North
10,8,2,2,27,South
10,8,2,2,28,South
10,8,2,2,29,South
10,8,2,3,30,South
10,7,2,2,31,South
10,7,2,3,32,South
10,8,2,2,33,North
10,9,1,3,34,North
10,8,1,3,35,South
10,9,1,3,36,North
10,8,1,3,37,South
10,8,1,3,38,South
10,8,1,2,39,South
10,8,1,3,40,South
10,9,1,1,41,North
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,4,2,South
2,9,4,4,3,East
2,8,4,4,4,South
2,9,4,3,5,North
3,9,4,3,6,East
3,8,4,1,7,South
4,8,3,4,8,East
4,7,3,4,9,South
3,7,3,4,10,West
4,7,3,4,11,East
3,7,3,2,12,West
4,7,3,3,13,East
3,7,3,2,14,West
4,7,3,2,15,East
5,7,3,3,16,East
4,7,3,3,17,West
3,7,3,3,18,West
4,7,3,3,19,East
4,8,3,3,20,North
4,9,3,3,21,North
4,8,3,3,22,South
4,9,3,3,23,North
5,9,3,3,24,East
5,8,3,3,25,South
5,9,3,3,26,North
6,9,3,2,27,East
7,9,3,2,28,East
7,8,3,1,29,South
8,8,2,10,30,East
8,7,2,10,31,South
8,6,2,10,32,South
8,5,2,8,33,South
8,4,2,8,34,South
8,3,2,7,35,South
7,3,2,6,36,West
6,3,2,5,37,West
5,3,2,3,38,West
4,3,2,2,39,West
3,3,2,1,40,West
2,3,1,17,41,West
2,4,1,15,42,North
3,4,1,14,43,East
4,4,1,12,44,East
5,4,1,12,45,East
6,4,1,12,46,East
6,3,1,12,47,South
7,3,1,12,48,East
7,4,1,12,49,North
7,5,1,10,50,North
8,5,1,9,51,East
9,5,1,9,52,East
10,5,1,8,53,East
10,4,1,8,54,South
11,4,1,8,55,East
11,3,1,7,56,South
11,3,1,6,57,South
11,3,1,6,58,South
11,3,1,7,59,South
11,3,1,7,60,South
11,3,1,7,61,South
11,3,1,8,62,South
11,3,1,7,63,South
11,4,1,7,64,North
11,4,1,8,65,North
11,4,1,9,66,North
11,5,1,7,67,North
12,5,1,5,68,East
13,5,1,5,69,East
14,5,1,5,70,East
15,5,1,5,71,East
15,4,1,3,72,South
15,3,1,5,73,South
15,4,1,5,74,North
15,5,1,5,75,North
16,5,1,3,76,East
17,5,1,3,77,East
18,5,1,5,78,East
18,6,1,4,79,North
18,7,1,4,80,North
18,8,1,4,81,North
17,8,1,2,82,West
17,7,1,3,83,South
17,8,1,2,84,North
16,8,1,2,85,West
15,8,1,2,86,West
15,7,1,2,87,South
14,7,1,1,88,West
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,4,2,South
2,9,4,3,3,East
3,9,4,3,4,East
3,8,4,3,5,South
4,8,4,2,6,East
5,8,4,2,7,East
5,7,4,2,8,South
6,7,4,1,9,East
7,7,3,4,10,East
7,8,3,2,11,North
7,9,3,1,12,North
6,9,2,7,13,West
6,8,2,7,14,South
6,7,2,7,15,South
5,7,2,5,16,West
4,7,2,5,17,West
3,7,2,4,18,West
4,7,2,5,19,East
3,7,2,4,20,West
4,7,2,4,21,East
3,7,2,4,22,West
4,7,2,6,23,East
3,7,2,6,24,West
2,7,2,4,25,West
1,7,2,3,26,West
1,6,2,2,27,South
1,5,2,1,28,South
1,4,1,15,29,South
1,5,1,15,30,North
1,6,1,14,31,North
1,7,1,14,32,North
2,7,1,14,33,East
3,7,1,12,34,East
4,7,1,12,35,East
5,7,1,12,36,East
6,7,1,12,37,East
7,7,1,10,38,East
7,8,1,10,39,North
7,7,1,11,40,South
7,8,1,11,41,North
8,8,1,10,42,East
8,7,1,10,43,South
9,7,1,10,44,East
10,7,1,8,45,East
10,8,1,9,46,North
10,7,1,9,47,South
10,7,1,8,48,South
10,6,1,9,49,South
10,7,1,9,50,North
10,7,1,8,51,North
10,8,1,10,52,North
10,7,1,10,53,South
10,6,1,10,54,South
10,5,1,8,55,South
10,4,1,6,56,South
11,4,1,6,57,East
11,4,1,5,58,East
11,3,1,4,59,South
11,3,1,5,60,South
11,3,1,4,61,South
11,3,1,4,62,South
11,3,1,5,63,South
11,3,1,6,64,South
11,3,1,7,65,South
11,3,1,6,66,South
11,4,1,4,67,North
11,4,1,5,68,North
11,4,1,6,69,North
11,5,1,4,70,North
12,5,1,4,71,East
13,5,1,2,72,East
14,5,1,1,73,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,10,4,5,2,South
1,10,4,5,3,South
1,10,4,5,4,South
1,11,4,5,5,North
2,11,4,5,6,East
3,11,4,3,7,East
4,11,4,2,8,East
5,11,3,2,9,East
5,10,2,6,10,South
5,9,2,6,11,South
6,9,2,6,12,East
7,9,2,6,13,East
8,9,2,5,14,East
9,9,2,3,15,East
10,9,2,3,16,East
10,10,2,1,17,North
10,11,2,3,18,North
10,10,2,3,19,South
10,9,2,3,20,South
11,9,2,3,21,East
12,9,2,1,22,East
12,8,2,1,23,South
12,9,1,15,24,North
12,8,1,13,25,South
12,7,1,13,26,South
12,7,1,12,27,South
12,7,1,11,28,South
12,7,1,10,29,South
12,7,1,11,30,South
12,7,1,10,31,South
12,7,1,11,32,South
12,7,1,10,33,South
12,7,1,9,34,South
12,7,1,10,35,South
12,7,1,11,36,South
12,7,1,12,37,South
12,7,1,11,38,South
12,7,1,10,39,South
12,7,1,11,40,South
12,7,1,10,41,South
12,7,1,9,42,South
12,7,1,8,43,South
12,7,1,7,44,South
12,7,1,6,45,South
12,7,1,6,46,South
12,7,1,5,47,South
12,7,1,5,48,South
12,7,1,4,49,South
12,7,1,5,50,South
12,7,1,5,51,South
12,7,1,4,52,South
12,7,1,5,53,South
12,7,1,6,54,South
12,7,1,7,55,South
12,7,1,8,56,South
12,7,1,9,57,South
12,7,1,8,58,South
12,7,1,7,59,South
12,7,1,7,60,South
12,7,1,8,61,South
12,7,1,9,62,South
12,7,1,10,63,South
12,7,1,9,64,South
12,7,1,9,65,South
12,7,1,8,66,South
12,7,1,9,67,South
12,7,1,10,68,South
12,7,1,11,69,South
12,7,1,11,70,South
12,7,1,11,71,South
12,7,1,11,72,South
12,7,1,12,73,South
12,7,1,11,74,South
12,7,1,12,75,South
12,7,1,11,76,South
12,7,1,10,77,South
12,7,1,9,78,South
12,7,1,8,79,South
12,7,1,9,80,South
12,7,1,9,81,South
12,7,1,9,82,South
12,7,1,8,83,South
12,7,1,8,84,South
12,7,1,9,85,South
12,7,1,8,86,South
12,7,1,7,87,South
12,7,1,8,88,South
12,7,1,7,89,South
12,7,1,7,90,South
12,7,1,6,91,South
12,7,1,6,92,South
12,7,1,5,93,South
12,7,1,6,94,South
12,7,1,5,95,South
12,7,1,4,96,South
12,7,1,3,97,South
12,7,1,4,98,South
12,8,1,2,99,North
12,8,1,3,100,North
12,9,1,2,101,North
11,9,1,2,102,West
11,10,1,2,103,North
11,9,1,1,104,South
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,7,3,South
1,7,4,7,4,South
1,6,4,7,5,South
1,5,4,7,6,South
2,5,4,7,7,East
3,5,4,7,8,East
4,5,4,7,9,East
5,5,4,6,10,East
6,5,4,4,11,East
7,5,4,4,12,East
8,5,4,2,13,East
9,5,3,8,14,East
9,6,3,8,15,North
9,7,3,6,16,North
9,8,3,4,17,North
9,9,3,2,18,North
10,9,2,7,19,East
10,10,2,5,20,North
10,10,2,4,21,North
10,10,2,5,22,North
10,9,2,3,23,South
9,9,2,2,24,West
8,9,2,1,25,West
7,9,1,10,26,West
8,9,1,8,27,East
9,9,1,7,28,East
10,9,1,6,29,East
10,10,1,4,30,North
10,11,1,4,31,North
10,10,1,4,32,South
10,11,1,3,33,North
11,11,1,3,34,East
12,11,1,3,35,East
13,11,1,1,36,East
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,6,2,South
2,9,4,6,3,East
2,8,4,6,4,South
3,8,4,5,5,East
4,8,4,5,6,East
5,8,4,3,7,East
6,8,4,3,8,East
6,7,4,3,9,South
7,7,4,1,10,East
8,7,3,3,11,East
8,6,3,3,12,South
8,5,3,2,13,South
7,5,3,2,14,West
7,4,3,2,15,South
7,3,3,2,16,South
7,4,2,9,17,North
7,5,2,7,18,North
8,5,2,6,19,East
8,6,2,6,20,North
8,7,2,6,21,North
8,8,2,6,22,North
8,9,2,5,23,North
7,9,2,3,24,West
6,9,2,1,25,West
5,9,1,12,26,West
5,8,1,11,27,South
5,7,1,9,28,South
6,7,1,8,29,East
7,7,1,8,30,East
8,7,1,6,31,East
8,6,1,8,32,South
8,7,1,6,33,North
8,8,1,6,34,North
8,7,1,6,35,South
8,8,1,8,36,North
8,7,1,6,37,South
9,7,1,6,38,East
10,7,1,5,39,East
10,6,1,5,40,South
10,6,1,4,41,South
10,7,1,4,42,North
10,7,1,5,43,North
10,7,1,6,44,North
10,8,1,4,45,North
10,9,1,3,46,North
11,9,1,2,47,East
12,9,1,2,48,East
13,9,1,2,49,East
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,6,2,South
1,10,4,5,3,North
1,10,4,4,4,North
1,10,4,4,5,North
1,10,4,5,6,North
1,11,4,3,7,North
2,11,4,3,8,East
3,11,4,3,9,East
4,11,4,2,10,East
5,11,4,2,11,East
5,10,4,2,12,South
5,11,3,7,13,North
5,10,3,6,14,South
6,10,3,5,15,East
6,10,3,5,16,East
6,10,3,4,17,East
6,10,3,5,18,East
6,9,3,5,19,South
7,9,3,5,20,East
8,9,3,5,21,East
9,9,3,3,22,East
10,9,3,1,23,East
11,9,2,7,24,East
12,9,2,5,25,East
12,8,2,5,26,South
13,8,2,3,27,East
13,7,2,4,28,South
13,8,2,3,29,North
14,8,2,3,30,East
15,8,2,3,31,East
16,8,2,1,32,East
17,8,1,20,33,East
17,7,1,18,34,South
16,7,1,16,35,West
15,7,1,14,36,West
14,7,1,12,37,West
14,6,1,10,38,South
14,5,1,10,39,South
13,5,1,10,40,West
12,5,1,10,41,West
11,5,1,9,42,West
10,5,1,7,43,West
9,5,1,7,44,West
9,4,1,5,45,South
8,4,1,5,46,West
8,3,1,4,47,South
7,3,1,3,48,West
6,3,1,2,49,West
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,6,3,South
2,8,4,6,4,East
3,8,4,6,5,East
4,8,4,4,6,East
5,8,4,4,7,East
5,7,4,2,8,South
6,7,3,6,9,East
7,7,3,4,10,East
8,7,3,5,11,East
8,8,3,4,12,North
8,9,3,2,13,North
9,9,3,3,14,East
8,9,3,2,15,West
9,9,3,4,16,East
8,9,3,2,17,West
9,9,3,2,18,East
10,9,3,2,19,East
10,10,3,2,20,North
10,11,2,8,21,North
11,11,2,8,22,East
12,11,2,6,23,East
13,11,2,4,24,East
14,11,2,2,25,East
15,11,1,17,26,East
14,11,1,16,27,West
14,10,1,15,28,South
14,9,1,15,29,South
14,8,1,13,30,South
14,7,1,13,31,South
14,6,1,13,32,South
14,5,1,13,33,South
14,4,1,13,34,South
13,4,1,13,35,West
13,3,1,11,36,South
13,3,1,11,37,South
13,3,1,11,38,South
13,3,1,11,39,South
13,3,1,12,40,South
13,3,1,13,41,South
13,4,1,11,42,North
13,4,1,10,43,North
13,4,1,11,44,North
13,3,1,9,45,South
13,3,1,9,46,South
13,3,1,10,47,South
13,3,1,11,48,South
13,4,1,11,49,North
13,3,1,9,50,South
13,3,1,10,51,South
13,4,1,8,52,North
13,4,1,8,53,North
13,4,1,9,54,North
13,3,1,9,55,South
13,4,1,9,56,North
13,5,1,8,57,North
12,5,1,8,58,West
11,5,1,8,59,West
11,4,1,8,60,South
11,5,1,7,61,North
10,5,1,6,62,West
9,5,1,6,63,West
9,4,1,6,64,South
9,5,1,6,65,North
9,4,1,4,66,South
8,4,1,3,67,West
7,4,1,3,68,West
6,4,1,1,69,West
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,5,3,South
2,8,4,4,4,East
3,8,4,4,5,East
3,9,4,3,6,North
4,9,4,1,7,East
5,9,2,7,8,East
5,8,2,7,9,South
5,7,2,5,10,South
6,7,2,4,11,East
7,7,2,2,12,East
8,7,2,4,13,East
8,6,2,2,14,South
8,5,2,2,15,South
8,4,2,1,16,South
9,4,1,10,17,East
9,5,1,8,18,North
9,6,1,8,19,North
9,7,1,8,20,North
9,8,1,8,21,North
9,9,1,8,22,North
10,9,1,7,23,East
11,9,1,7,24,East
12,9,1,6,25,East
13,9,1,6,26,East
14,9,1,5,27,East
14,8,1,3,28,South
15,8,1,1,29,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,5,2,South
1,10,4,5,3,North
1,10,4,6,4,North
1,9,4,6,5,South
1,10,4,5,6,North
1,10,4,5,7,North
1,10,4,4,8,North
1,10,4,5,9,North
1,10,4,4,10,North
1,10,4,5,11,North
1,9,4,5,12,South
1,8,4,5,13,South
1,9,4,3,14,North
2,9,4,3,15,East
2,8,4,1,16,South
3,8,3,5,17,East
3,9,3,3,18,North
4,9,3,1,19,East
5,9,2,6,20,East
5,8,2,6,21,South
5,7,2,4,22,South
4,7,2,3,23,West
5,7,2,5,24,East
4,7,2,3,25,West
3,7,2,3,26,West
2,7,2,3,27,West
3,7,2,5,28,East
2,7,2,3,29,West
1,7,2,3,30,West
1,6,2,3,31,South
1,5,2,1,32,South
2,5,1,16,33,East
3,5,1,15,34,East
4,5,1,13,35,East
5,5,1,13,36,East
6,5,1,13,37,East
7,5,1,13,38,East
8,5,1,11,39,East
8,6,1,9,40,North
8,7,1,7,41,North
9,7,1,5,42,East
10,7,1,3,43,East
10,7,1,4,44,East
10,7,1,3,45,East
10,8,1,3,46,North
10,8,1,3,47,North
10,7,1,3,48,South
10,7,1,4,49,South
10,7,1,5,50,South
10,7,1,6,51,South
10,8,1,4,52,North
10,9,1,2,53,North
11,9,1,1,54,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,5,2,South
2,9,4,4,3,East
3,9,4,4,4,East
4,9,4,2,5,East
5,9,4,2,6,East
6,9,4,1,7,East
7,9,3,7,8,East
7,8,3,5,9,South
7,7,3,5,10,South
6,7,3,3,11,West
7,7,3,5,12,East
6,7,3,3,13,West
5,7,3,3,14,West
6,7,3,3,15,East
7,7,3,3,16,East
7,8,3,1,17,North
8,8,2,7,18,East
8,7,2,7,19,South
8,6,2,6,20,South
8,5,2,5,21,South
8,4,2,3,22,South
7,4,2,2,23,West
6,4,2,2,24,West
6,5,2,2,25,North
5,5,2,1,26,West
4,5,1,10,27,West
4,4,1,10,28,South
5,4,1,10,29,East
6,4,1,8,30,East
6,5,1,7,31,North
7,5,1,6,32,East
8,5,1,4,33,East
9,5,1,2,34,East
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,6,2,South
1,8,4,6,3,South
1,9,4,5,4,North
2,9,4,5,5,East
2,8,4,5,6,South
3,8,4,5,7,East
3,9,4,5,8,North
3,8,4,5,9,South
3,7,4,5,10,South
3,8,4,3,11,North
4,8,4,3,12,East
4,7,4,3,13,South
5,7,4,1,14,East
6,7,3,5,15,East
7,7,3,5,16,East
6,7,3,4,17,West
7,7,3,6,18,East
6,7,3,4,19,West
7,7,3,4,20,East
8,7,3,5,21,East
8,6,3,3,22,South
8,5,3,1,23,South
7,5,2,9,24,West
8,5,2,8,25,East
8,6,2,6,26,North
8,7,2,5,27,North
8,8,2,5,28,North
8,9,2,3,29,North
9,9,2,3,30,East
10,9,2,3,31,East
10,8,2,2,32,South
10,8,2,3,33,South
10,8,2,2,34,South
10,8,2,3,35,South
10,9,2,3,36,North
11,9,2,1,37,East
12,9,1,7,38,East
13,9,1,6,39,East
14,9,1,4,40,East
14,10,1,5,41,North
14,9,1,4,42,South
15,9,1,3,43,East
16,9,1,1,44,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,10,4,6,2,South
1,11,4,5,3,North
2,11,4,5,4,East
3,11,4,4,5,East
4,11,4,2,6,East
5,11,4,2,7,East
6,11,3,1,8,East
7,11,2,10,9,East
6,11,2,8,10,West
6,10,2,7,11,South
6,9,2,7,12,South
6,8,2,7,13,South
6,7,2,7,14,South
5,7,2,5,15,West
4,7,2,5,16,West
3,7,2,5,17,West
2,7,2,5,18,West
1,7,2,5,19,West
1,6,2,3,20,South
1,5,2,1,21,South
2,5,1,13,22,East
3,5,1,13,23,East
3,4,1,13,24,South
4,4,1,13,25,East
4,3,1,13,26,South
5,3,1,11,27,East
5,4,1,11,28,North
6,4,1,9,29,East
6,5,1,11,30,North
6,4,1,11,31,South
7,4,1,9,32,East
7,5,1,9,33,North
7,4,1,9,34,South
7,5,1,9,35,North
7,4,1,9,36,South
8,4,1,7,37,East
9,4,1,7,38,East
10,4,1,5,39,East
10,5,1,7,40,North
10,4,1,7,41,South
11,4,1,5,42,East
11,5,1,3,43,North
12,5,1,3,44,East
13,5,1,3,45,East
13,4,1,2,46,South
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,6,2,South
2,9,4,4,3,East
3,9,4,4,4,East
3,8,4,2,5,South
4,8,3,5,6,East
4,7,3,3,7,South
5,7,3,2,8,East
6,7,3,3,9,East
5,7,3,3,10,West
6,7,3,3,11,East
7,7,3,3,12,East
8,7,3,3,13,East
8,6,3,1,14,South
8,5,2,7,15,South
8,6,2,5,16,North
8,7,2,5,17,North
8,8,2,5,18,North
8,9,2,3,19,North
7,9,2,2,20,West
8,9,2,4,21,East
7,9,2,2,22,West
8,9,2,4,23,East
7,9,2,3,24,West
6,9,2,1,25,West
6,10,1,18,26,North
6,9,1,17,27,South
6,8,1,17,28,South
6,7,1,16,29,South
7,7,1,14,30,East
8,7,1,13,31,East
8,6,1,12,32,South
8,5,1,10,33,South
8,4,1,12,34,South
8,5,1,12,35,North
8,6,1,10,36,North
8,7,1,10,37,North
8,6,1,11,38,South
8,7,1,11,39,North
9,7,1,9,40,East
9,8,1,9,41,North
9,7,1,7,42,South
10,7,1,7,43,East
10,7,1,6,44,East
10,7,1,7,45,East
10,7,1,6,46,East
10,8,1,6,47,North
10,7,1,6,48,South
10,7,1,7,49,South
10,7,1,6,50,South
10,7,1,5,51,South
10,7,1,6,52,South
10,7,1,5,53,South
10,8,1,5,54,North
10,8,1,6,55,North
10,7,1,4,56,South
10,7,1,3,57,South
10,7,1,4,58,South
10,7,1,3,59,South
10,7,1,3,60,South
10,7,1,4,61,South
10,7,1,5,62,South
10,8,1,4,63,North
10,8,1,5,64,North
10,8,1,4,65,North
10,9,1,6,66,North
10,8,1,6,67,South
10,7,1,6,68,South
10,6,1,5,69,South
10,5,1,5,70,South
11,5,1,5,71,East
12,5,1,3,72,East
13,5,1,1,73,East
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,5,3,South
1,7,4,3,4,South
2,7,4,3,5,East
2,8,4,1,6,North
3,8,3,8,7,East
3,7,3,6,8,South
4,7,3,6,9,East
5,7,3,6,10,East
6,7,3,4,11,East
7,7,3,4,12,East
8,7,3,4,13,East
8,6,3,3,14,South
8,5,3,2,15,South
8,4,2,6,16,South
8,5,2,4,17,North
8,6,2,3,18,North
8,7,2,1,19,North
9,7,1,4,20,East
9,8,1,3,21,North
9,9,1,2,22,North
