@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
8,7,6,North
8,8,6,North
8,9,5,North
7,9,3,West
6,9,1,West
5,9,12,West
5,8,11,South
5,7,9,South
6,7,8,East
7,7,8,East
8,7,6,East
8,6,8,South
8,7,6,North
8,8,6,North
8,7,6,South
8,8,8,North
8,7,6,South
9,7,6,East
10,7,5,East
10,6,5,South
10,6,4,South
10,7,4,North
10,7,5,North
10,7,6,North
10,8,4,North
10,9,3,North
11,9,2,East
12,9,2,East
13,9,2,East
1,11,7,Stop
1,10,6,South
1,9,6,South
1,10,5,North
1,10,4,North
1,10,4,North
1,10,5,North
1,11,3,North
2,11,3,East
3,11,3,East
4,11,2,East
5,11,2,East
5,10,2,South
5,11,7,North
5,10,6,South
6,10,5,East
6,10,5,East
6,10,4,East
6,10,5,East
6,9,5,South
7,9,5,East
8,9,5,East
9,9,3,East
10,9,1,East
11,9,7,East
12,9,5,East
12,8,5,South
13,8,3,East
13,7,4,South
13,8,3,North
14,8,3,East
15,8,3,East
16,8,1,East
17,8,20,East
17,7,18,South
16,7,16,West
15,7,14,West
14,7,12,West
14,6,10,South
14,5,10,South
13,5,10,West
12,5,10,West
11,5,9,West
10,5,7,West
9,5,7,West
9,4,5,South
8,4,5,West
8,3,4,South
7,3,3,West
6,3,2,West
1,11,7,Stop
1,10,7,South
1,9,7,South
1,8,6,South
2,8,6,East
3,8,6,East
4,8,4,East
5,8,4,East
5,7,2,South
6,7,6,East
7,7,4,East
8,7,5,East
8,8,4,North
8,9,2,North
9,9,3,East
8,9,2,West
9,9,4,East
8,9,2,West
9,9,2,East
10,9,2,East
10,10,2,North
10,11,8,North
11,11,8,East
12,11,6,East
13,11,4,East
14,11,2,East
15,11,17,East
14,11,16,West
14,10,15,South
14,9,15,South
14,8,13,South
14,7,13,South
14,6,13,South
14,5,13,South
14,4,13,South
13,4,13,West
13,3,11,South
13,3,11,South
13,3,11,South
13,3,11,South
13,3,12,South
13,3,13,South
13,4,11,North
13,4,10,North
13,4,11,North
13,3,9,South
13,3,9,South
13,3,10,South
13,3,11,South
13,4,11,North
13,3,9,South
13,3,10,South
13,4,8,North
13,4,8,North
13,4,9,North
13,3,9,South
13,4,9,North
13,5,8,North
12,5,8,West
11,5,8,West
11,4,8,South
11,5,7,North
10,5,6,West
9,5,6,West
9,4,6,South
9,5,6,North
9,4,4,South
8,4,3,West
7,4,3,West
6,4,1,West
1,11,7,Stop
1,10,7,South
1,9,7,South
1,8,5,South
2,8,4,East
3,8,4,East
3,9,3,North
4,9,1,East
5,9,7,East
5,8,7,South
5,7,5,South
6,7,4,East
7,7,2,East
8,7,4,East
8,6,2,South
8,5,2,South
8,4,1,South
9,4,10,East
9,5,8,North
9,6,8,North
9,7,8,North
9,8,8,North
9,9,8,North
10,9,7,East
11,9,7,East
12,9,6,East
13,9,6,East
14,9,5,East
14,8,3,South
15,8,1,East
1,11,7,Stop
1,10,5,South
1,9,5,South
1,10,5,North
1,10,6,North
1,9,6,South
1,10,5,North
1,10,5,North
1,10,4,North
1,10,5,North
1,10,4,North
1,10,5,North
1,9,5,South
1,8,5,South
1,9,3,North
2,9,3,East
2,8,1,South
3,8,5,East
3,9,3,North
4,9,1,East
5,9,6,East
5,8,6,South
5,7,4,South
4,7,3,West
5,7,5,East
4,7,3,West
3,7,3,West
2,7,3,West
3,7,5,East
2,7,3,West
1,7,3,West
1,6,3,South
1,5,1,South
2,5,16,East
3,5,15,East
4,5,13,East
5,5,13,East
6,5,13,East
7,5,13,East
8,5,11,East
8,6,9,North
8,7,7,North
9,7,5,East
10,7,3,East
10,7,4,East
10,7,3,East
10,8,3,North
10,8,3,North
10,7,3,South
10,7,4,South
10,7,5,South
10,7,6,South
10,8,4,North
10,9,2,North
11,9,1,East
1,11,7,Stop
1,10,5,South
1,9,5,South
2,9,4,East
3,9,4,East
4,9,2,East
5,9,2,East
6,9,1,East
7,9,7,East
7,8,5,South
7,7,5,South
6,7,3,West
7,7,5,East
6,7,3,West
5,7,3,West
6,7,3,East
7,7,3,East
7,8,1,North
8,8,7,East
8,7,7,South
8,6,6,South
8,5,5,South
8,4,3,South
7,4,2,West
6,4,2,West
6,5,2,North
5,5,1,West
4,5,10,West
4,4,10,South
5,4,10,East
6,4,8,East
6,5,7,North
7,5,6,East
8,5,4,East
9,5,2,East
1,11,7,Stop
1,10,7,South
1,9,6,South
1,8,6,South
1,9,5,North
2,9,5,East
2,8,5,South
3,8,5,East
3,9,5,North
3,8,5,South
3,7,5,South
3,8,3,North
4,8,3,East
4,7,3,South
5,7,1,East
6,7,5,East
7,7,5,East
6,7,4,West
7,7,6,East
6,7,4,West
7,7,4,East
8,7,5,East
8,6,3,South
8,5,1,South
7,5,9,West
8,5,8,East
8,6,6,North
8,7,5,North
8,8,5,North
8,9,3,North
9,9,3,East
10,9,3,East
10,8,2,South
10,8,3,South
10,8,2,South
10,8,3,South
10,9,3,North
11,9,1,East
12,9,7,East
13,9,6,East
14,9,4,East
14,10,5,North
14,9,4,South
15,9,3,East
16,9,1,East
1,11,7,Stop
1,10,5,South
1,10,6,South
1,11,5,North
2,11,5,East
3,11,4,East
4,11,2,East
5,11,2,East
6,11,1,East
7,11,10,East
6,11,8,West
6,10,7,South
6,9,7,South
6,8,7,South
6,7,7,South
5,7,5,West
4,7,5,West
3,7,5,West
2,7,5,West
1,7,5,West
1,6,3,South
1,5,1,South
2,5,13,East
3,5,13,East
3,4,13,South
4,4,13,East
4,3,13,South
5,3,11,East
5,4,11,North
6,4,9,East
6,5,11,North
6,4,11,South
7,4,9,East
7,5,9,North
7,4,9,South
7,5,9,North
7,4,9,South
8,4,7,East
9,4,7,East
10,4,5,East
10,5,7,North
10,4,7,South
11,4,5,East
11,5,3,North
12,5,3,East
13,5,3,East
13,4,2,South
1,11,7,Stop
1,10,6,South
1,9,6,South
2,9,4,East
3,9,4,East
3,8,2,South
4,8,5,East
4,7,3,South
5,7,2,East
6,7,3,East
5,7,3,West
6,7,3,East
7,7,3,East
8,7,3,East
8,6,1,South
8,5,7,South
8,6,5,North
8,7,5,North
8,8,5,North
8,9,3,North
7,9,2,West
8,9,4,East
7,9,2,West
8,9,4,East
7,9,3,West
6,9,1,West
6,10,18,North
6,9,17,South
6,8,17,South
6,7,16,South
7,7,14,East
8,7,13,East
8,6,12,South
8,5,10,South
8,4,12,South
8,5,12,North
8,6,10,North
8,7,10,North
8,6,11,South
8,7,11,North
9,7,9,East
9,8,9,North
9,7,7,South
10,7,7,East
10,7,6,East
10,7,7,East
10,7,6,East
10,8,6,North
10,7,6,South
10,7,7,South
10,7,6,South
10,7,5,South
10,7,6,South
10,7,5,South
10,8,5,North
10,8,6,North
10,7,4,South
10,7,3,South
10,7,4,South
10,7,3,South
10,7,3,South
10,7,4,South
10,7,5,South
10,8,4,North
10,8,5,North
10,8,4,North
10,9,6,North
10,8,6,South
10,7,6,South
10,6,5,South
10,5,5,South
11,5,5,East
12,5,3,East
13,5,1,East
1,11,7,Stop
1,10,7,South
1,9,7,South
1,8,5,South
1,7,3,South
2,7,3,East
2,8,1,North
3,8,8,East
3,7,6,South
4,7,6,East
5,7,6,East
6,7,4,East
7,7,4,East
8,7,4,East
8,6,3,South
8,5,2,South
8,4,6,South
8,5,4,North
8,6,3,North
8,7,1,North
9,7,4,East
9,8,3,North
9,9,2,North
