@RELATION pacman_info

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE g1Living {True, False}
@ATTRIBUTE g2Living {True, False}
@ATTRIBUTE g3Living {True, False}
@ATTRIBUTE g4Living {True, False}
@ATTRIBUTE livingGhosts NUMERIC
@ATTRIBUTE g1X NUMERIC
@ATTRIBUTE g1Y NUMERIC
@ATTRIBUTE g2X NUMERIC
@ATTRIBUTE g2Y NUMERIC
@ATTRIBUTE g3X NUMERIC
@ATTRIBUTE g3Y NUMERIC
@ATTRIBUTE g4X NUMERIC
@ATTRIBUTE g4Y NUMERIC
@ATTRIBUTE g1D NUMERIC
@ATTRIBUTE g2D NUMERIC
@ATTRIBUTE g3D NUMERIC
@ATTRIBUTE g4D NUMERIC
@ATTRIBUTE minGhost NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE class {Stop, North, South, East, West}

@data
3,3,30,20,False,False,True,True,2,1,1,3,1,5,9,6,6,-1,-1,8,6,6,382,381,East
3,4,30,20,False,False,True,True,2,1,1,3,1,5,9,6,6,-1,-1,7,5,5,381,380,North
3,5,30,20,False,False,True,True,2,1,1,3,1,5,9,6,6,-1,-1,6,4,4,380,379,North
4,5,30,20,False,False,True,True,2,1,1,3,1,5,9,6,6,-1,-1,5,3,3,379,378,East
5,5,30,20,False,False,True,True,2,1,1,3,1,5,9,6,6,-1,-1,4,2,2,378,377,East
5,6,30,20,False,False,True,True,2,1,1,3,1,5,9,6,6,-1,-1,3,1,1,377,576,North
6,6,30,20,False,False,True,False,1,1,1,3,1,5,9,7,1,-1,-1,4,-1,4,576,575,East
7,6,30,20,False,False,True,False,1,1,1,3,1,5,9,7,1,-1,-1,5,-1,5,575,574,East
6,6,30,20,False,False,True,False,1,1,1,3,1,5,9,7,1,-1,-1,4,-1,4,574,573,West
5,6,30,20,False,False,True,False,1,1,1,3,1,5,9,7,1,-1,-1,3,-1,3,573,572,West
5,7,30,20,False,False,True,False,1,1,1,3,1,5,9,7,1,-1,-1,2,-1,2,572,571,North
5,8,30,20,False,False,True,False,1,1,1,3,1,5,9,7,1,-1,-1,1,-1,1,571,770,North
1,18,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,13,25,28,35,13,0,-1,Stop
1,18,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,13,25,28,35,13,-1,-2,Stop
1,17,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,12,24,27,34,12,-2,-3,South
1,16,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,11,23,26,33,11,-3,-4,South
1,15,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,10,22,25,32,10,-4,-5,South
1,14,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,9,21,24,31,9,-5,-6,South
1,13,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,8,20,23,30,8,-6,-7,South
1,12,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,7,19,22,29,7,-7,-8,South
1,11,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,6,18,21,28,6,-8,-9,South
1,10,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,5,17,20,27,5,-9,-10,South
1,9,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,4,16,19,26,4,-10,-11,South
1,8,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,5,15,18,25,5,-11,-12,South
1,7,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,6,14,17,24,6,-12,-13,South
1,6,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,7,13,16,25,7,-13,-14,South
2,6,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,6,12,15,24,6,-14,-15,East
3,6,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,5,11,14,23,5,-15,-16,East
4,6,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,4,10,13,22,4,-16,-17,East
5,6,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,3,9,12,21,3,-17,-18,East
5,7,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,2,10,13,20,2,-18,-19,North
5,8,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,1,11,14,21,1,-19,180,North
5,9,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,12,15,22,12,180,179,North
5,8,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,11,14,21,11,179,178,South
5,7,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,10,13,20,10,178,177,South
5,6,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,9,12,21,9,177,176,South
5,5,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,8,13,22,8,176,175,South
5,4,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,7,14,23,7,175,174,South
5,3,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,6,15,24,6,174,173,South
6,3,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,5,14,23,5,173,172,East
7,3,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,4,13,22,4,172,171,East
8,3,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,3,12,21,3,171,170,East
9,3,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,2,11,20,2,170,169,East
10,3,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,1,10,19,1,169,168,East
10,4,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,2,9,18,2,168,167,North
10,5,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,3,8,17,3,167,166,North
11,5,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,2,7,16,2,166,165,East
11,4,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,1,8,17,1,165,164,South
11,5,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,2,7,16,2,164,163,North
11,6,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,3,6,15,3,163,162,North
11,5,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,2,7,16,2,162,161,South
11,4,30,20,False,True,True,True,3,1,1,11,3,17,6,25,7,-1,1,8,17,1,161,360,South
11,3,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,9,18,9,360,359,South
11,4,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,8,17,8,359,358,North
11,5,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,7,16,7,358,357,North
11,6,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,6,15,6,357,356,North
11,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,7,14,7,356,355,North
11,8,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,8,15,8,355,354,North
11,9,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,9,16,9,354,353,North
11,10,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,10,17,10,353,352,North
