@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
11,5,1,9,West
7,4,1,6,West
6,6,2,1,West
13,8,4,2,West
12,4,1,2,West
8,6,2,3,West
9,9,2,7,West
3,7,3,3,West
12,7,1,11,West
2,7,3,2,West
9,5,1,7,West
12,4,1,2,West
2,7,3,2,West
12,7,1,11,West
6,4,1,4,West
2,7,3,3,West
12,5,1,10,West
13,3,1,1,West
6,4,1,4,West
11,5,1,9,West
10,7,1,10,West
6,6,2,1,West
11,4,1,2,West
13,3,1,10,West
2,7,3,3,West
8,6,2,3,West
7,6,2,2,West
10,5,1,8,West
13,8,4,2,West
6,5,1,6,West
6,4,1,4,West
4,7,3,3,West
6,5,1,6,West
7,4,1,6,West
10,6,2,5,West
3,7,3,3,West
2,7,3,3,West
5,4,1,4,West
8,5,1,7,West
2,7,3,3,West
12,5,1,10,West
9,3,1,2,West
2,7,3,2,West
6,5,1,6,West
12,10,4,3,Stop
12,10,4,3,Stop
1,6,4,7,Stop
1,6,4,7,Stop
12,10,4,3,Stop
12,10,4,3,Stop
1,6,4,7,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
12,10,4,3,Stop
1,6,4,7,Stop
1,6,4,7,Stop
12,10,4,3,Stop
1,6,4,7,Stop
12,10,4,3,Stop
1,6,4,7,Stop
1,6,4,7,Stop
12,10,4,3,Stop
12,10,4,3,Stop
13,9,1,3,North
6,14,3,2,North
2,6,4,4,North
13,4,1,3,North
12,11,4,3,North
9,4,2,3,North
9,7,2,3,North
4,7,1,13,North
10,4,1,6,North
7,12,3,3,North
4,7,1,13,North
4,7,1,12,North
13,5,1,3,North
7,12,3,3,North
13,9,1,3,North
12,12,4,1,North
13,9,1,3,North
4,6,1,15,North
