@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
11,4,1,4,542,East
11,4,1,5,541,East
11,4,1,6,540,East
11,4,1,7,539,East
11,3,1,7,538,South
11,3,1,7,537,South
11,4,1,7,536,North
11,4,1,6,535,North
11,5,1,5,534,North
12,5,1,5,533,East
13,5,1,5,532,East
14,5,1,4,531,East
15,5,1,4,530,East
16,5,1,2,529,East
17,5,1,2,528,East
1,18,4,13,0,Stop
1,17,4,11,-1,South
1,16,4,9,-2,South
1,15,4,9,-3,South
1,14,4,7,-4,South
1,13,4,5,-5,South
1,12,4,4,-6,South
1,11,4,3,-7,South
1,10,4,3,-8,South
1,9,4,3,-9,South
1,9,4,2,-10,South
1,9,4,2,-11,South
1,9,4,3,-12,South
1,8,4,3,-13,South
1,7,4,3,-14,South
1,6,4,1,-15,South
1,5,4,3,-16,South
1,6,4,3,-17,North
1,7,4,3,-18,North
1,6,4,1,-19,South
2,6,3,3,180,East
3,6,3,2,179,East
3,5,3,1,178,South
4,5,2,2,377,East
4,4,2,1,376,South
5,4,1,4,575,East
5,5,1,2,574,North
1,18,4,13,0,Stop
1,17,4,13,-1,South
1,16,4,13,-2,South
1,15,4,11,-3,South
1,14,4,9,-4,South
1,13,4,8,-5,South
1,12,4,7,-6,South
1,11,4,5,-7,South
1,10,4,5,-8,South
1,10,4,6,-9,South
1,9,4,4,-10,South
1,8,4,2,-11,South
1,7,4,1,-12,South
1,6,3,3,187,South
1,5,3,2,186,South
2,5,3,1,185,East
2,6,2,2,384,North
2,5,2,2,383,South
2,4,1,10,582,South
2,5,1,9,581,North
2,6,1,7,580,North
3,6,1,6,579,East
3,7,1,6,578,North
3,8,1,5,577,North
3,9,1,4,576,North
3,10,1,2,575,North
4,10,1,1,574,East
1,6,4,7,0,Stop
1,5,4,5,-1,South
1,4,4,5,-2,South
1,3,4,3,-3,South
2,3,4,3,-4,East
2,4,4,3,-5,North
3,4,4,3,-6,East
4,4,4,2,-7,East
5,4,4,1,-8,East
6,4,3,2,191,East
6,5,2,7,390,North
6,4,2,7,389,South
6,3,2,5,388,South
7,3,2,3,387,East
8,3,2,2,386,East
9,3,2,2,385,East
10,3,2,2,384,East
10,4,2,1,383,North
11,4,1,4,582,East
12,4,1,2,581,East
12,5,1,3,580,North
12,4,1,2,579,South
13,4,1,2,578,East
14,4,1,1,577,East
1,6,4,7,0,Stop
1,5,4,6,-1,South
1,4,4,5,-2,South
2,4,4,4,-3,East
3,4,4,3,-4,East
