@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
0.740741,0.2,0,0.210526,0.936688,East,539
0.777778,0.2,0,0.157895,0.935065,East,538
0.814815,0.2,0,0.105263,0.933442,East,537
0.851852,0.2,0,0.052632,0.931818,East,536
0.888889,0.2,0,0,0.930195,East,735
0,1,1,0.631579,0.060065,Stop,-1
0,1,1,0.684211,0.058442,Stop,-2
0,0.933333,1,0.631579,0.056818,South,-3
0,0.866667,1,0.631579,0.055195,South,-4
0,0.8,1,0.578947,0.053571,South,-5
0,0.733333,1,0.578947,0.051948,South,-6
0,0.666667,1,0.578947,0.050325,South,-7
0,0.6,1,0.578947,0.048701,South,-8
0,0.533333,1,0.473684,0.047078,South,-9
0,0.466667,1,0.473684,0.045455,South,-10
0,0.4,1,0.368421,0.043831,South,-11
0,0.333333,1,0.368421,0.042208,South,-12
0,0.266667,1,0.263158,0.040584,South,-13
0,0.2,1,0.263158,0.038961,South,-14
0.037037,0.2,1,0.157895,0.037338,East,-15
0.074074,0.2,1,0.157895,0.035714,East,-16
0.111111,0.2,1,0.052632,0.034091,East,-17
0.148148,0.2,1,0.157895,0.032468,East,-18
0.148148,0.266667,1,0.052632,0.030844,North,-19
0.111111,0.266667,1,0.052632,0.029221,West,-20
0.111111,0.333333,0.666667,0.315789,0.352273,North,179
0.074074,0.333333,0.666667,0.368421,0.350649,West,178
0.074074,0.266667,0.666667,0.368421,0.349026,South,177
0.111111,0.266667,0.666667,0.263158,0.347403,East,176
0.148148,0.266667,0.666667,0.210526,0.345779,East,175
0.148148,0.2,0.666667,0.157895,0.344156,South,174
0.185185,0.2,0.666667,0.157895,0.342532,East,173
0.222222,0.2,0.666667,0.052632,0.340909,East,172
0.259259,0.2,0.666667,0.052632,0.339286,East,171
0.296296,0.2,0.666667,0.052632,0.337662,East,170
0.296296,0.266667,0.666667,0.052632,0.336039,North,169
0.296296,0.333333,0.666667,0.157895,0.334416,North,168
0.296296,0.266667,0.666667,0.157895,0.332792,South,167
0.296296,0.2,0.666667,0.052632,0.331169,South,166
0.296296,0.133333,0.666667,0.105263,0.329545,South,165
0.296296,0.2,0.666667,0.105263,0.327922,North,164
0.333333,0.2,0.666667,0.105263,0.326299,East,163
0.37037,0.2,0.666667,0.105263,0.324675,East,162
0.37037,0.266667,0.666667,0.105263,0.323052,North,161
0.333333,0.266667,0.666667,0.105263,0.321429,West,160
0.333333,0.333333,0.666667,0,0.319805,North,159
0.333333,0.4,0.666667,0,0.318182,North,158
0.296296,0.4,0.666667,0.052632,0.316558,West,157
0.296296,0.333333,0.666667,0.052632,0.314935,South,156
0.333333,0.333333,0.666667,0.052632,0.313312,East,155
0.333333,0.266667,0.666667,0,0.311688,South,354
0.333333,0.2,0.333333,0.578947,0.63474,South,353
0.333333,0.266667,0.333333,0.684211,0.633117,North,352
0.333333,0.333333,0.333333,0.684211,0.631494,North,351
0.333333,0.4,0.333333,0.684211,0.62987,North,350
0.333333,0.466667,0.333333,0.789474,0.628247,North,349
0.333333,0.533333,0.333333,0.842105,0.626623,North,348
0.333333,0.6,0.333333,0.894737,0.625,North,347
0.37037,0.6,0.333333,0.894737,0.623377,East,346
0.407407,0.6,0.333333,0.789474,0.621753,East,345
0.444444,0.6,0.333333,0.684211,0.62013,East,344
0.444444,0.533333,0.333333,0.684211,0.618506,South,343
0.444444,0.466667,0.333333,0.578947,0.616883,South,342
0.444444,0.4,0.333333,0.526316,0.61526,South,341
0.444444,0.333333,0.333333,0.421053,0.613636,South,340
0.444444,0.266667,0.333333,0.315789,0.612013,South,339
0.444444,0.2,0.333333,0.263158,0.61039,South,338
0.444444,0.133333,0.333333,0.263158,0.608766,South,337
0.481481,0.133333,0.333333,0.157895,0.607143,East,336
0.481481,0.133333,0.333333,0.105263,0.605519,East,335
0.481481,0.066667,0.333333,0.105263,0.603896,South,334
0.518519,0.066667,0.333333,0.105263,0.602273,East,333
0.555556,0.066667,0.333333,0,0.600649,East,332
0.555556,0,0.333333,0.105263,0.599026,South,331
0.592593,0,0.333333,0.105263,0.597403,East,330
0.592593,0.066667,0.333333,0.105263,0.595779,North,329
0.62963,0.066667,0.333333,0.052632,0.594156,East,328
0.666667,0.066667,0.333333,0.052632,0.592532,East,327
0.703704,0.066667,0,0.263158,0.915584,East,526
0.740741,0.066667,0,0.210526,0.913961,East,525
0.777778,0.066667,0,0.157895,0.912338,East,524
0.814815,0.066667,0,0.052632,0.910714,East,523
0.814815,0.133333,0,0.157895,0.909091,North,522
0.851852,0.133333,0,0.157895,0.907468,East,521
0.888889,0.133333,0,0.157895,0.905844,East,520
0.888889,0.066667,0,0.157895,0.904221,South,519
0.888889,0,0,0.052632,0.902597,South,518
0.925926,0,0,0.052632,0.900974,East,517
0.962963,0,0,0.052632,0.899351,East,516
1,0,0,0.052632,0.897727,East,515
1,0,0,0,0.896104,East,714
0.407407,0.466667,1,0.105263,0.060065,Stop,-1
0.407407,0.466667,1,0.157895,0.058442,Stop,-2
0.407407,0.466667,1,0.105263,0.056818,Stop,-3
0.444444,0.466667,1,0,0.055195,East,-4
0.481481,0.466667,1,0.105263,0.053571,East,-5
0.481481,0.533333,1,0.105263,0.051948,North,-6
0.444444,0.533333,1,0.105263,0.050325,West,-7
0.444444,0.6,1,0.105263,0.048701,North,-8
0.444444,0.666667,1,0.052632,0.047078,North,-9
0.481481,0.666667,1,0,0.045455,East,190
0.481481,0.733333,0.666667,0.526316,0.368506,North,189
0.481481,0.733333,0.666667,0.473684,0.366883,North,188
0.481481,0.666667,0.666667,0.473684,0.36526,South,187
0.481481,0.6,0.666667,0.368421,0.363636,South,186
0.481481,0.533333,0.666667,0.315789,0.362013,South,185
0.481481,0.466667,0.666667,0.210526,0.36039,South,184
0.481481,0.4,0.666667,0.105263,0.358766,South,183
0.444444,0.4,0.666667,0.105263,0.357143,West,182
0.444444,0.333333,0.666667,0,0.355519,South,181
0.444444,0.266667,0.666667,0.052632,0.353896,South,180
0.407407,0.266667,0.666667,0.052632,0.352273,West,179
0.407407,0.333333,0.666667,0,0.350649,North,378
0.444444,0.333333,0.333333,0.526316,0.673701,East,377
0.407407,0.333333,0.333333,0.421053,0.672078,West,376
0.37037,0.333333,0.333333,0.421053,0.670455,West,375
0.333333,0.333333,0.333333,0.368421,0.668831,West,374
0.296296,0.333333,0.333333,0.315789,0.667208,West,373
0.259259,0.333333,0.333333,0.315789,0.665584,West,372
0.259259,0.4,0.333333,0.315789,0.663961,North,371
0.259259,0.466667,0.333333,0.315789,0.662338,North,370
0.259259,0.533333,0.333333,0.263158,0.660714,North,369
0.259259,0.6,0.333333,0.263158,0.659091,North,368
0.222222,0.6,0.333333,0.210526,0.657468,West,367
0.185185,0.6,0.333333,0.105263,0.655844,West,366
0.148148,0.6,0.333333,0.052632,0.654221,West,365
0.111111,0.6,0.333333,0,0.652597,West,564
0.074074,0.6,0,0.368421,0.975649,West,563
0.111111,0.6,0,0.368421,0.974026,East,562
0.148148,0.6,0,0.473684,0.972403,East,561
0.185185,0.6,0,0.473684,0.970779,East,560
0.222222,0.6,0,0.578947,0.969156,East,559
0.222222,0.533333,0,0.473684,0.967532,South,558
0.222222,0.466667,0,0.368421,0.965909,South,557
0.222222,0.4,0,0.263158,0.964286,South,556
0.222222,0.333333,0,0.210526,0.962662,South,555
0.222222,0.266667,0,0.210526,0.961039,South,554
0.222222,0.2,0,0.105263,0.959416,South,553
0.185185,0.2,0,0.052632,0.957792,West,552
0.148148,0.2,0,0,0.956169,West,751
0.407407,0.466667,1,0.105263,0.060065,Stop,-1
0.407407,0.466667,1,0.105263,0.058442,Stop,-2
0.407407,0.466667,1,0.105263,0.056818,Stop,-3
0.444444,0.466667,1,0.052632,0.055195,East,-4
0.481481,0.466667,1,0.105263,0.053571,East,-5
0.481481,0.533333,1,0.052632,0.051948,North,-6
0.444444,0.533333,1,0,0.050325,West,193
0.444444,0.6,0.666667,0.263158,0.373377,North,192
0.444444,0.533333,0.666667,0.210526,0.371753,South,191
0.444444,0.466667,0.666667,0.157895,0.37013,South,190
0.444444,0.4,0.666667,0.105263,0.368506,South,189
0.444444,0.333333,0.666667,0.052632,0.366883,South,188
0.444444,0.266667,0.666667,0,0.36526,South,387
0.444444,0.2,0.333333,0.368421,0.688312,South,386
0.407407,0.2,0.333333,0.315789,0.686688,West,385
0.37037,0.2,0.333333,0.263158,0.685065,West,384
0.333333,0.2,0.333333,0.210526,0.683442,West,383
0.296296,0.2,0.333333,0.157895,0.681818,West,382
0.259259,0.2,0.333333,0.105263,0.680195,West,381
0.222222,0.2,0.333333,0.052632,0.678571,West,380
0.185185,0.2,0.333333,0,0.676948,West,579
0.148148,0.2,0,0.263158,1,West,578
0.148148,0.266667,0,0.210526,0.998377,North,577
0.185185,0.266667,0,0.263158,0.996753,East,576
0.185185,0.333333,0,0.210526,0.99513,North,575
0.185185,0.4,0,0.157895,0.993506,North,574
0.185185,0.466667,0,0.105263,0.991883,North,573
0.185185,0.533333,0,0.052632,0.99026,North,572
0.185185,0.6,0,0,0.988636,North,771
0,0.533333,1,0.315789,0.060065,Stop,-1
0,0.533333,1,0.315789,0.058442,Stop,-2
0,0.533333,1,0.315789,0.056818,Stop,-3
0,0.533333,1,0.315789,0.055195,Stop,-4
0.037037,0.533333,1,0.263158,0.053571,East,-5
0.074074,0.533333,1,0.210526,0.051948,East,-6
0.111111,0.533333,1,0.157895,0.050325,East,-7
0.148148,0.533333,1,0.105263,0.048701,East,-8
0.148148,0.466667,1,0.052632,0.047078,South,-9
0.148148,0.4,1,0,0.045455,South,190
0.185185,0.4,0.666667,0.157895,0.368506,East,189
0.185185,0.466667,0.666667,0.105263,0.366883,North,188
0.185185,0.533333,0.666667,0.052632,0.36526,North,187
0.222222,0.533333,0.666667,0,0.363636,East,386
0.259259,0.533333,0.333333,0.368421,0.686688,East,385
0.296296,0.533333,0.333333,0.421053,0.685065,East,384
0.333333,0.533333,0.333333,0.421053,0.683442,East,383
0.333333,0.466667,0.333333,0.368421,0.681818,South,382
0.333333,0.4,0.333333,0.315789,0.680195,South,381
0.37037,0.4,0.333333,0.263158,0.678571,East,380
0.407407,0.4,0.333333,0.210526,0.676948,East,379
0.444444,0.4,0.333333,0.157895,0.675325,East,378
0.481481,0.4,0.333333,0.105263,0.673701,East,377
0.481481,0.333333,0.333333,0.052632,0.672078,South,376
0.481481,0.266667,0.333333,0,0.670455,South,575
0.481481,0.2,0,0.421053,0.993506,South,574
0.481481,0.133333,0,0.368421,0.991883,South,573
0.444444,0.133333,0,0.315789,0.99026,West,572
0.407407,0.133333,0,0.263158,0.988636,West,571
0.37037,0.133333,0,0.210526,0.987013,West,570
0.333333,0.133333,0,0.157895,0.98539,West,569
0.296296,0.133333,0,0.105263,0.983766,West,568
0.259259,0.133333,0,0.052632,0.982143,West,567
0.222222,0.133333,0,0,0.980519,West,766
0,0.533333,1,0.315789,0.060065,Stop,-1
0,0.533333,1,0.368421,0.058442,Stop,-2
0,0.533333,1,0.315789,0.056818,Stop,-3
0.037037,0.533333,1,0.263158,0.055195,East,-4
0.074074,0.533333,1,0.157895,0.053571,East,-5
0.111111,0.533333,1,0.052632,0.051948,East,-6
0.148148,0.533333,1,0.052632,0.050325,East,-7
0.185185,0.533333,1,0.052632,0.048701,East,-8
0.222222,0.533333,1,0,0.047078,East,191
0.259259,0.533333,0.666667,0,0.37013,East,390
0.296296,0.533333,0.333333,0.315789,0.693182,East,389
0.333333,0.533333,0.333333,0.315789,0.691558,East,388
0.333333,0.466667,0.333333,0.263158,0.689935,South,387
0.333333,0.4,0.333333,0.157895,0.688312,South,386
0.333333,0.333333,0.333333,0.157895,0.686688,South,385
0.333333,0.266667,0.333333,0.157895,0.685065,South,484
0.333333,0.2,0.333333,0.157895,0.683442,South,383
0.333333,0.133333,0.333333,0.052632,0.681818,South,382
0.37037,0.133333,0.333333,0.052632,0.680195,East,381
0.333333,0.133333,0.333333,0.105263,0.678571,West,380
0.296296,0.133333,0.333333,0.105263,0.676948,West,379
0.296296,0.066667,0.333333,0.105263,0.675325,South,378
0.296296,0,0.333333,0.052632,0.673701,South,377
0.296296,0,0.333333,0,0.672078,South,376
0.296296,0,0.333333,0.052632,0.670455,South,375
0.296296,0,0.333333,0.105263,0.668831,South,374
0.296296,0,0.333333,0.052632,0.667208,South,373
0.333333,0,0.333333,0,0.665584,East,572
0.37037,0,0,0.315789,0.988636,East,571
0.37037,0,0,0.368421,0.987013,East,570
0.37037,0.066667,0,0.315789,0.98539,North,569
0.37037,0.133333,0,0.210526,0.983766,North,568
0.407407,0.133333,0,0.105263,0.982143,East,567
0.444444,0.133333,0,0.210526,0.980519,East,566
0.481481,0.133333,0,0.263158,0.978896,East,565
0.481481,0.2,0,0.157895,0.977273,North,564
0.481481,0.266667,0,0.157895,0.975649,North,563
0.481481,0.333333,0,0.052632,0.974026,North,562
0,0.2,1,0.315789,0.060065,Stop,-1
0,0.2,1,0.263158,0.058442,Stop,-2
0,0.2,1,0.210526,0.056818,Stop,-3
0.037037,0.2,1,0.157895,0.055195,East,-4
0.074074,0.2,1,0.105263,0.053571,East,-5
0.111111,0.2,1,0.105263,0.051948,East,-6
0.148148,0.2,1,0.052632,0.050325,East,-7
0.185185,0.2,1,0,0.048701,East,192
0.222222,0.2,0.666667,0.157895,0.371753,East,191
0.259259,0.2,0.666667,0.157895,0.37013,East,190
0.296296,0.2,0.666667,0.052632,0.368506,East,189
0.333333,0.2,0.666667,0.157895,0.366883,East,188
0.37037,0.2,0.666667,0.157895,0.36526,East,187
0.407407,0.2,0.666667,0.210526,0.363636,East,186
0.444444,0.2,0.666667,0.157895,0.362013,East,185
0.481481,0.2,0.666667,0.157895,0.36039,East,184
0.518519,0.2,0.666667,0.052632,0.358766,East,183
0.555556,0.2,0.666667,0.157895,0.357143,East,182
0.555556,0.133333,0.666667,0.052632,0.355519,South,181
0.555556,0.066667,0.666667,0.052632,0.353896,South,180
0.555556,0,0.666667,0.052632,0.352273,South,179
0.518519,0,0.666667,0.052632,0.350649,West,178
0.481481,0,0.666667,0,0.349026,West,177
0.444444,0,0.666667,0,0.347403,West,376
0.407407,0,0.333333,0.105263,0.670455,West,375
0.37037,0,0.333333,0.105263,0.668831,West,374
0.333333,0,0.333333,0.157895,0.667208,West,373
0.296296,0,0.333333,0.263158,0.665584,West,372
0.259259,0,0.333333,0.315789,0.663961,West,371
0.259259,0.066667,0.333333,0.315789,0.662338,North,370
0.259259,0.066667,0.333333,0.315789,0.660714,North,369
0.259259,0.066667,0.333333,0.263158,0.659091,North,368
0.259259,0.066667,0.333333,0.315789,0.657468,North,367
0.259259,0.066667,0.333333,0.315789,0.655844,North,366
0.222222,0.066667,0.333333,0.263158,0.654221,West,365
0.185185,0.066667,0.333333,0.263158,0.652597,West,364
0.148148,0.066667,0.333333,0.157895,0.650974,West,363
0.111111,0.066667,0.333333,0.052632,0.649351,West,362
0.074074,0.066667,0.333333,0,0.647727,West,561
0.037037,0.066667,0,0.631579,0.970779,West,560
0.074074,0.066667,0,0.526316,0.969156,East,559
0.111111,0.066667,0,0.526316,0.967532,East,558
0.148148,0.066667,0,0.473684,0.965909,East,557
0.185185,0.066667,0,0.421053,0.964286,East,556
0.222222,0.066667,0,0.315789,0.962662,East,555
0.259259,0.066667,0,0.315789,0.961039,East,554
0.296296,0.066667,0,0.315789,0.959416,East,553
0.333333,0.066667,0,0.263158,0.957792,East,552
0.37037,0.066667,0,0.157895,0.956169,East,551
0.407407,0.066667,0,0.157895,0.954545,East,550
0.444444,0.066667,0,0.105263,0.952922,East,549
0.481481,0.066667,0,0.105263,0.951299,East,548
0.518519,0.066667,0,0.052632,0.949675,East,547
0.555556,0.066667,0,0,0.948052,East,546
0.592593,0.066667,0,0.052632,0.946429,East,545
0.62963,0.066667,0,0.052632,0.944805,East,544
0.62963,0.133333,0,0.157895,0.943182,North,543
0.62963,0.2,0,0.263158,0.941558,North,542
0.592593,0.2,0,0.157895,0.939935,West,541
0.555556,0.2,0,0.052632,0.938312,West,540
0.518519,0.2,0,0.052632,0.936688,West,539
0.481481,0.2,0,0.105263,0.935065,West,538
0.481481,0.133333,0,0,0.933442,South,737
0,0.2,1,0.315789,0.060065,Stop,-1
0,0.2,1,0.315789,0.058442,Stop,-2
0,0.2,1,0.315789,0.056818,Stop,-3
0,0.2,1,0.315789,0.055195,Stop,-4
0.037037,0.2,1,0.263158,0.053571,East,-5
0.074074,0.2,1,0.210526,0.051948,East,-6
0.111111,0.2,1,0.157895,0.050325,East,-7
0.148148,0.2,1,0.105263,0.048701,East,-8
0.185185,0.2,1,0.052632,0.047078,East,-9
0.222222,0.2,1,0,0.045455,East,190
0.259259,0.2,0.666667,0.157895,0.368506,East,189
0.296296,0.2,0.666667,0.210526,0.366883,East,188
0.333333,0.2,0.666667,0.157895,0.36526,East,187
0.37037,0.2,0.666667,0.105263,0.363636,East,186
0.407407,0.2,0.666667,0.157895,0.362013,East,185
0.444444,0.2,0.666667,0.105263,0.36039,East,184
0.481481,0.2,0.666667,0.052632,0.358766,East,183
0.518519,0.2,0.666667,0,0.357143,East,382
0.555556,0.2,0.333333,0.368421,0.680195,East,381
0.555556,0.133333,0.333333,0.315789,0.678571,South,380
0.555556,0.066667,0.333333,0.263158,0.676948,South,379
0.555556,0,0.333333,0.210526,0.675325,South,378
0.518519,0,0.333333,0.157895,0.673701,West,377
0.481481,0,0.333333,0.105263,0.672078,West,376
0.444444,0,0.333333,0.052632,0.670455,West,375
0.407407,0,0.333333,0,0.668831,West,574
0.37037,0,0,0.263158,0.991883,West,573
0.333333,0,0,0.210526,0.99026,West,572
0.296296,0,0,0.157895,0.988636,West,571
0.259259,0,0,0.105263,0.987013,West,570
0.222222,0,0,0.052632,0.98539,West,569
0.185185,0,0,0,0.983766,West,768
0,1,1,0.631579,0.060065,Stop,-1
0,1,1,0.684211,0.058442,Stop,-2
0.037037,1,1,0.684211,0.056818,East,-3
0.074074,1,1,0.631579,0.055195,East,-4
0.111111,1,1,0.631579,0.053571,East,-5
0.148148,1,1,0.526316,0.051948,East,-6
0.185185,1,1,0.631579,0.050325,East,-7
0.222222,1,1,0.736842,0.048701,East,-8
0.259259,1,1,0.789474,0.047078,East,-9
0.296296,1,1,0.684211,0.045455,East,-10
0.333333,1,1,0.789474,0.043831,East,-11
0.37037,1,1,0.789474,0.042208,East,-12
0.407407,1,1,0.789474,0.040584,East,-13
0.444444,1,1,0.789474,0.038961,East,-14
0.481481,1,1,0.736842,0.037338,East,-15
0.481481,0.933333,1,0.631579,0.035714,South,-16
0.481481,0.866667,1,0.631579,0.034091,South,-17
0.481481,0.8,1,0.526316,0.032468,South,-18
0.518519,0.8,1,0.473684,0.030844,East,-19
0.555556,0.8,1,0.368421,0.029221,East,-20
0.592593,0.8,1,0.368421,0.027597,East,-21
0.592593,0.733333,1,0.368421,0.025974,South,-22
0.592593,0.666667,1,0.368421,0.024351,South,-23
0.62963,0.666667,1,0.368421,0.022727,East,-24
0.666667,0.666667,1,0.315789,0.021104,East,-25
0.666667,0.733333,1,0.263158,0.019481,North,-26
0.666667,0.733333,1,0.315789,0.017857,North,-27
0.703704,0.733333,1,0.263158,0.016234,East,-28
0.703704,0.733333,1,0.210526,0.01461,East,-29
0.703704,0.8,1,0.210526,0.012987,North,-30
0.740741,0.8,1,0.210526,0.011364,East,-31
0.777778,0.8,1,0.105263,0.00974,East,-32
0.814815,0.8,1,0,0.008117,East,-33
0.851852,0.8,1,0.105263,0.006494,East,-34
0.851852,0.733333,1,0.105263,0.00487,South,-35
0.814815,0.733333,1,0,0.003247,West,-36
0.777778,0.733333,1,0.052632,0.001623,West,-37
0.777778,0.8,1,0,0,North,162
0.814815,0.8,0.666667,0.947368,0.323052,East,161
0.851852,0.8,0.666667,1,0.321429,East,160
0.814815,0.8,0.666667,0.894737,0.319805,West,159
0.777778,0.8,0.666667,0.894737,0.318182,West,158
0.740741,0.8,0.666667,0.894737,0.316558,West,157
0.703704,0.8,0.666667,0.789474,0.314935,West,156
0.703704,0.733333,0.666667,0.789474,0.313312,South,155
0.703704,0.666667,0.666667,0.789474,0.311688,South,154
0.703704,0.6,0.666667,0.684211,0.310065,South,153
0.703704,0.533333,0.666667,0.684211,0.308442,South,152
0.666667,0.533333,0.666667,0.578947,0.306818,West,151
0.62963,0.533333,0.666667,0.473684,0.305195,West,150
0.592593,0.533333,0.666667,0.473684,0.303571,West,149
0.555556,0.533333,0.666667,0.473684,0.301948,West,148
0.518519,0.533333,0.666667,0.368421,0.300325,West,147
0.481481,0.533333,0.666667,0.473684,0.298701,West,146
0.481481,0.466667,0.666667,0.368421,0.297078,South,145
0.481481,0.4,0.666667,0.263158,0.295455,South,144
0.481481,0.333333,0.666667,0.157895,0.293831,South,143
0.481481,0.266667,0.666667,0.052632,0.292208,South,142
