@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,0.333333,1,0.034091,West
0,0.266667,1,0.032468,South
0,0.2,1,0.030844,South
0,0.133333,1,0.029221,South
0.037037,0.133333,1,0.027597,East
0.074074,0.133333,1,0.025974,East
0.111111,0.133333,1,0.024351,East
0.148148,0.133333,1,0.022727,East
0.185185,0.133333,1,0.021104,East
0.222222,0.133333,0.666667,0.344156,East
0.185185,0.133333,0.666667,0.342532,West
0.148148,0.133333,0.666667,0.340909,West
0.111111,0.133333,0.666667,0.339286,West
0.074074,0.133333,0.666667,0.337662,West
0.037037,0.133333,0.666667,0.336039,West
0,0.133333,0.666667,0.334416,West
0,0.066667,0.666667,0.332792,South
0,0,0.666667,0.331169,South
0.037037,0,0.666667,0.329545,East
0.074074,0,0.666667,0.327922,East
0.111111,0,0.666667,0.326299,East
0.148148,0,0.666667,0.324675,East
0.185185,0,0.666667,0.323052,East
0.222222,0,0.666667,0.321429,East
0.259259,0,0.666667,0.319805,East
0.296296,0,0.666667,0.318182,East
0.333333,0,0.666667,0.316558,East
0.37037,0,0.666667,0.314935,East
0.407407,0,0.666667,0.313312,East
0.444444,0,0.333333,0.636364,East
0.481481,0,0.333333,0.63474,East
0.518519,0,0.333333,0.633117,East
0.555556,0,0.333333,0.631494,East
0.592593,0,0.333333,0.62987,East
0.62963,0,0.333333,0.628247,East
0.62963,0.066667,0.333333,0.626623,North
0.62963,0.133333,0.333333,0.625,North
0.62963,0.2,0.333333,0.623377,North
0.592593,0.2,0.333333,0.621753,West
0.555556,0.2,0.333333,0.62013,West
0.518519,0.2,0,0.943182,West
0.555556,0.2,0,0.941558,East
0.592593,0.2,0,0.939935,East
