@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,1,0.705882,0.046053,Stop
0,1,0.705882,0.044408,Stop
0,1,0.764706,0.042763,Stop
0,1,0.823529,0.041118,Stop
0,1,0.764706,0.039474,Stop
0,1,0.823529,0.037829,Stop
0,0.933333,0.705882,0.036184,South
0,0.866667,0.647059,0.034539,South
0,0.8,0.529412,0.032895,South
0,0.733333,0.529412,0.03125,South
0,0.666667,0.411765,0.029605,South
0,0.6,0.411765,0.027961,South
0,0.533333,0.294118,0.026316,South
0,0.466667,0.235294,0.024671,South
0,0.4,0.176471,0.023026,South
0,0.333333,0.176471,0.021382,South
0,0.266667,0.117647,0.019737,South
0,0.2,0.058824,0.018092,South
0,0.133333,0.058824,0.016447,South
0.037037,0.133333,0.058824,0.014803,East
0.074074,0.133333,0.058824,0.342105,East
0.111111,0.133333,0.058824,0.340461,East
0.148148,0.133333,0.058824,0.338816,East
0.148148,0.133333,0.117647,0.337171,East
0.148148,0.2,0,0.335526,North
0.111111,0.2,0.235294,0.662829,West
0.111111,0.133333,0.117647,0.661184,South
0.111111,0.066667,0.058824,0.659539,South
0.111111,0,0,0.657895,South
0.074074,0,0.117647,0.985197,West
0.037037,0,0.117647,0.983553,West
0.074074,0,0,0.981908,East
0,1,0.705882,0.046053,Stop
0,1,0.705882,0.044408,Stop
0,0.933333,0.647059,0.042763,South
0,0.866667,0.588235,0.041118,South
0,0.8,0.529412,0.039474,South
0,0.733333,0.470588,0.037829,South
0,0.666667,0.411765,0.036184,South
0,0.6,0.352941,0.034539,South
0,0.533333,0.294118,0.032895,South
0,0.466667,0.235294,0.03125,South
0,0.4,0.176471,0.029605,South
0,0.333333,0.235294,0.027961,South
0,0.266667,0.176471,0.026316,South
0,0.2,0.117647,0.024671,South
0,0.133333,0.058824,0.023026,South
0,0.066667,0,0.021382,South
0.037037,0.066667,0,0.019737,East
0.037037,0,0,0.347039,South
0,0,0.411765,0.674342,West
0,0.066667,0.352941,0.672697,North
0.037037,0.066667,0.294118,0.671053,East
0.074074,0.066667,0.235294,0.669408,East
0.111111,0.066667,0.176471,0.667763,East
0.148148,0.066667,0.117647,0.666118,East
0.148148,0.133333,0.058824,0.664474,North
0.148148,0.2,0,0.662829,North
0.185185,0.2,0.176471,0.990132,East
0.185185,0.266667,0.117647,0.988487,North
0.185185,0.333333,0.058824,0.986842,North
0.185185,0.4,0,0.985197,North
0,1,0.705882,0.046053,Stop
0,1,0.705882,0.044408,Stop
0,1,0.705882,0.042763,Stop
0,0.933333,0.647059,0.041118,South
0,0.866667,0.588235,0.039474,South
0,0.8,0.529412,0.037829,South
0,0.733333,0.470588,0.036184,South
0,0.666667,0.411765,0.034539,South
0,0.6,0.352941,0.032895,South
0,0.533333,0.294118,0.03125,South
0,0.466667,0.235294,0.029605,South
0,0.4,0.176471,0.027961,South
0,0.333333,0.235294,0.026316,South
0,0.266667,0.294118,0.024671,South
0,0.2,0.352941,0.023026,South
0.037037,0.2,0.294118,0.021382,East
0.074074,0.2,0.235294,0.019737,East
0.074074,0.266667,0.176471,0.018092,North
0.074074,0.333333,0.117647,0.016447,North
0.074074,0.4,0.058824,0.014803,North
0.111111,0.4,0,0.013158,East
0.148148,0.4,0.647059,0.340461,East
0.185185,0.4,0.588235,0.338816,East
0.185185,0.333333,0.529412,0.337171,South
0.185185,0.266667,0.470588,0.335526,South
0.185185,0.2,0.411765,0.333882,South
0.222222,0.2,0.352941,0.332237,East
0.259259,0.2,0.294118,0.330592,East
0.296296,0.2,0.235294,0.328947,East
0.333333,0.2,0.176471,0.327303,East
0.333333,0.133333,0.117647,0.325658,South
0.333333,0.066667,0.058824,0.324013,South
0.333333,0,0,0.322368,South
0.333333,0.066667,0.058824,0.320724,North
0.37037,0.066667,0,0.319079,East
0.37037,0,0.470588,0.646382,South
0.37037,0.066667,0.411765,0.644737,North
0.37037,0.133333,0.352941,0.643092,North
0.37037,0.2,0.294118,0.641447,North
0.37037,0.266667,0.352941,0.639803,North
0.37037,0.333333,0.411765,0.638158,North
0.37037,0.4,0.470588,0.636513,North
0.37037,0.466667,0.529412,0.634868,North
0.37037,0.533333,0.588235,0.633224,North
0.37037,0.6,0.647059,0.631579,North
0.407407,0.6,0.588235,0.629934,East
0.444444,0.6,0.529412,0.628289,East
0.444444,0.533333,0.470588,0.626645,South
0.444444,0.466667,0.411765,0.625,South
0.444444,0.4,0.352941,0.623355,South
0.444444,0.333333,0.294118,0.621711,South
0.444444,0.266667,0.235294,0.620066,South
0.444444,0.2,0.176471,0.618421,South
0.481481,0.2,0.117647,0.616776,East
0.518519,0.2,0.058824,0.615132,East
0.555556,0.2,0,0.613487,East
0.592593,0.2,0.470588,0.940789,East
0.62963,0.2,0.411765,0.939145,East
0.666667,0.2,0.352941,0.9375,East
0.703704,0.2,0.294118,0.935855,East
0.740741,0.2,0.235294,0.934211,East
0.777778,0.2,0.176471,0.932566,East
0.814815,0.2,0.117647,0.930921,East
0.851852,0.2,0.058824,0.929276,East
0.888889,0.2,0,0.927632,East
0,1,0.705882,0.046053,Stop
0,1,0.764706,0.044408,Stop
0,0.933333,0.705882,0.042763,South
0,0.866667,0.705882,0.041118,South
0,0.8,0.647059,0.039474,South
0,0.733333,0.647059,0.037829,South
0,0.666667,0.647059,0.036184,South
0,0.6,0.647059,0.034539,South
0,0.533333,0.529412,0.032895,South
0,0.466667,0.529412,0.03125,South
0,0.4,0.411765,0.029605,South
0,0.333333,0.411765,0.027961,South
0,0.266667,0.294118,0.026316,South
0,0.2,0.294118,0.024671,South
0.037037,0.2,0.176471,0.023026,East
0.074074,0.2,0.176471,0.021382,East
0.111111,0.2,0.058824,0.019737,East
0.148148,0.2,0.176471,0.018092,East
0.148148,0.266667,0.058824,0.016447,North
0.111111,0.266667,0.058824,0.014803,West
0.111111,0.333333,0.352941,0.342105,North
0.074074,0.333333,0.411765,0.340461,West
0.074074,0.266667,0.411765,0.338816,South
0.111111,0.266667,0.294118,0.337171,East
0.148148,0.266667,0.235294,0.335526,East
0.148148,0.2,0.176471,0.333882,South
0.185185,0.2,0.176471,0.332237,East
0.222222,0.2,0.058824,0.330592,East
0.259259,0.2,0.058824,0.328947,East
0.296296,0.2,0.058824,0.327303,East
0.296296,0.266667,0.058824,0.325658,North
0.296296,0.333333,0.176471,0.324013,North
0.296296,0.266667,0.176471,0.322368,South
0.296296,0.2,0.058824,0.320724,South
0.296296,0.133333,0.117647,0.319079,South
0.296296,0.2,0.117647,0.317434,North
0.333333,0.2,0.117647,0.315789,East
0.37037,0.2,0.117647,0.314145,East
0.37037,0.266667,0.117647,0.3125,North
0.333333,0.266667,0.117647,0.310855,West
0.333333,0.333333,0,0.309211,North
0.333333,0.4,0,0.307566,North
0.296296,0.4,0.058824,0.305921,West
0.296296,0.333333,0.058824,0.304276,South
0.333333,0.333333,0.058824,0.302632,East
0.333333,0.266667,0,0.300987,South
0.333333,0.2,0.647059,0.628289,South
0.333333,0.266667,0.764706,0.626645,North
0.333333,0.333333,0.764706,0.625,North
0.333333,0.4,0.764706,0.623355,North
0.333333,0.466667,0.882353,0.621711,North
0.333333,0.533333,0.941176,0.620066,North
0.333333,0.6,1,0.618421,North
0.37037,0.6,1,0.616776,East
0.407407,0.6,0.882353,0.615132,East
0.444444,0.6,0.764706,0.613487,East
0.444444,0.533333,0.764706,0.611842,South
0.444444,0.466667,0.647059,0.610197,South
0.444444,0.4,0.588235,0.608553,South
0.444444,0.333333,0.470588,0.606908,South
0.444444,0.266667,0.352941,0.605263,South
0.444444,0.2,0.294118,0.603618,South
0.444444,0.133333,0.294118,0.601974,South
0.481481,0.133333,0.176471,0.600329,East
0.481481,0.133333,0.117647,0.598684,East
0.481481,0.066667,0.117647,0.597039,South
0.518519,0.066667,0.117647,0.595395,East
0.555556,0.066667,0,0.59375,East
0.555556,0,0.117647,0.592105,South
0.592593,0,0.117647,0.590461,East
0.592593,0.066667,0.117647,0.588816,North
0.62963,0.066667,0.058824,0.587171,East
0.666667,0.066667,0.058824,0.585526,East
0.703704,0.066667,0.294118,0.912829,East
0.740741,0.066667,0.235294,0.911184,East
0.777778,0.066667,0.176471,0.909539,East
0.814815,0.066667,0.058824,0.907895,East
0.814815,0.133333,0.176471,0.90625,North
0.851852,0.133333,0.176471,0.904605,East
0.888889,0.133333,0.176471,0.902961,East
0.888889,0.066667,0.176471,0.901316,South
0.888889,0,0.058824,0.899671,South
0.925926,0,0.058824,0.898026,East
0.962963,0,0.058824,0.896382,East
1,0,0.058824,0.894737,East
1,0,0,0.893092,East
0.407407,0.466667,0.117647,0.046053,Stop
0.407407,0.466667,0.176471,0.044408,Stop
