@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
10,3,1,373,East
9,6,2,171,East
9,4,7,554,East
7,6,2,173,East
10,6,4,189,East
18,4,2,545,East
14,6,4,185,East
19,4,2,328,East
7,4,7,556,East
21,6,5,540,East
4,12,8,563,East
10,11,9,384,East
4,11,2,-5,East
14,6,3,347,East
13,12,14,345,East
5,11,3,-7,East
16,6,1,345,East
13,12,10,354,East
19,6,7,542,East
4,12,8,563,East
13,9,4,379,East
15,4,2,548,East
4,6,3,-5,East
5,5,3,177,East
2,11,6,-3,East
8,6,4,190,East
11,12,18,347,East
4,7,6,177,East
7,11,1,187,East
5,5,3,177,East
7,6,7,174,East
2,11,6,-4,East
13,12,14,345,East
9,6,2,171,East
16,6,8,382,East
15,6,1,183,East
4,7,6,177,East
5,12,10,562,East
14,6,3,347,East
3,4,5,379,East
19,4,2,328,East
7,6,2,173,East
17,3,3,331,East
17,3,3,331,East
7,11,1,-8,East
11,4,1,166,East
5,11,2,-6,East
12,4,4,551,East
23,6,3,538,East
3,5,2,180,East
2,11,6,-3,East
5,6,3,-7,East
2,6,4,-3,East
19,6,7,542,East
3,4,11,560,East
18,4,2,545,East
9,11,9,385,East
15,6,2,184,East
24,5,4,522,East
3,11,4,-4,East
6,9,4,190,East
13,4,3,550,East
17,3,3,331,East
7,6,7,174,East
12,9,5,380,East
6,6,2,-8,East
5,4,3,377,East
15,6,2,184,East
11,6,4,188,East
14,10,3,-4,East
4,4,11,559,East
24,6,2,537,East
10,4,6,553,East
3,4,11,560,East
6,6,1,-7,East
13,8,11,378,East
10,11,9,384,East
2,4,6,380,East
4,12,8,563,East
8,6,4,191,East
8,6,2,172,East
6,7,6,577,East
11,3,8,571,East
4,11,4,-6,East
6,7,6,577,East
3,11,4,-4,East
2,6,6,-4,East
10,8,2,156,East
13,8,11,378,East
5,7,5,176,East
4,4,2,363,West
3,12,8,564,West
13,3,1,177,West
12,7,2,180,West
16,6,2,541,West
6,6,2,553,West
13,5,7,573,West
2,4,13,561,West
7,5,1,567,West
7,4,6,366,West
6,6,1,380,West
12,7,2,180,West
13,3,2,376,West
9,5,3,569,West
6,4,6,365,West
15,3,2,179,West
12,5,6,572,West
9,5,3,380,West
15,3,2,179,West
14,3,1,178,West
13,5,7,573,West
12,3,3,376,West
12,8,9,377,West
12,3,1,375,West
16,6,2,541,West
6,3,1,569,West
9,9,2,158,West
6,4,6,365,West
12,6,7,386,West
8,3,3,571,West
2,4,13,561,West
8,3,3,571,West
7,3,2,570,West
14,6,3,539,West
15,3,2,179,West
3,3,3,571,West
7,3,2,570,West
9,6,4,383,West
13,3,2,376,West
8,6,3,382,West
12,3,1,375,West
11,6,6,385,West
9,6,4,383,West
10,3,5,573,West
6,6,2,553,West
13,9,3,183,West
10,3,4,374,West
12,8,9,377,West
10,5,3,381,West
5,4,4,364,West
8,5,2,568,West
6,4,6,365,West
5,4,4,364,West
12,6,7,386,West
11,6,6,385,West
1,3,8,382,West
10,3,4,374,West
9,6,4,383,West
11,8,9,376,West
10,6,5,384,West
12,3,1,375,West
2,4,13,561,West
1,3,8,382,West
5,6,6,579,West
1,3,8,382,West
12,5,6,572,West
13,3,2,376,West
7,3,2,570,West
9,3,4,572,West
5,12,2,366,West
10,5,4,570,West
4,12,1,365,West
13,9,3,183,West
4,12,1,365,West
11,6,6,385,West
2,3,3,570,West
7,6,2,381,West
7,5,1,567,West
12,5,6,572,West
13,11,1,-6,West
10,3,5,573,West
8,3,7,372,West
4,4,2,363,West
13,11,3,-6,West
10,5,3,381,West
13,11,1,-6,West
8,6,3,382,West
5,12,2,366,West
4,7,2,-19,West
6,6,1,380,West
2,4,13,561,West
12,10,3,-1,Stop
1,11,7,0,Stop
1,6,6,-1,Stop
1,6,7,0,Stop
1,11,6,-2,Stop
1,11,6,-2,Stop
1,6,7,0,Stop
1,6,7,-1,Stop
12,10,3,0,Stop
1,11,6,-2,Stop
1,11,6,-1,Stop
1,11,6,-1,Stop
1,11,6,-1,Stop
1,11,6,-1,Stop
1,6,6,-2,Stop
1,6,6,-2,Stop
1,6,7,0,Stop
1,6,7,0,Stop
1,6,7,0,Stop
1,11,6,-1,Stop
1,6,6,-2,Stop
1,11,6,-2,Stop
1,11,7,0,Stop
1,6,5,-3,Stop
1,11,7,0,Stop
1,6,7,-2,Stop
1,11,6,-2,Stop
1,6,7,0,Stop
1,11,6,-1,Stop
1,6,6,-2,Stop
1,11,6,-1,Stop
1,11,6,-2,Stop
1,6,6,-2,Stop
12,10,3,0,Stop
12,10,3,-1,Stop
1,6,5,-3,Stop
1,6,5,-3,Stop
1,11,6,-2,Stop
1,18,14,-1,Stop
1,6,7,0,Stop
1,18,14,-1,Stop
1,11,6,-2,Stop
1,11,6,-1,Stop
1,11,6,-1,Stop
12,10,3,-1,Stop
12,10,3,0,Stop
6,4,2,382,North
6,10,2,555,North
