@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,6-8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
8,8,7,373,372,West
8,9,7,372,371,North
8,10,7,371,370,North
8,11,6,370,369,North
8,12,6,369,368,North
7,12,5,368,367,West
6,12,3,367,366,West
5,12,2,366,365,West
4,12,1,365,564,West
3,12,8,564,563,West
4,12,8,563,562,East
5,12,10,562,561,East
6,12,10,561,560,East
7,12,12,560,559,East
7,11,10,559,558,South
7,10,8,558,557,South
7,9,6,557,556,South
7,8,5,556,555,South
7,7,5,555,554,South
7,6,3,554,553,South
6,6,2,553,552,West
5,6,1,552,751,West
12,10,3,0,-1,Stop
12,10,3,-1,-2,Stop
12,10,3,-2,-3,Stop
13,10,2,-3,-4,East
14,10,3,-4,-5,East
14,11,2,-5,-6,North
13,11,1,-6,193,West
13,12,6,193,192,North
13,11,5,192,191,South
13,10,4,191,190,South
13,9,3,190,189,South
13,8,2,189,188,South
13,7,1,188,387,South
13,6,8,387,386,South
12,6,7,386,385,West
11,6,6,385,384,West
10,6,5,384,383,West
9,6,4,383,382,West
8,6,3,382,381,West
7,6,2,381,380,West
6,6,1,380,579,West
5,6,6,579,578,West
5,7,5,578,577,North
6,7,6,577,576,East
6,8,5,576,575,North
6,9,4,575,574,North
6,10,3,574,573,North
6,11,2,573,572,North
6,12,1,572,771,North
1,11,7,0,-1,Stop
1,11,7,-1,-2,Stop
1,11,7,-2,-3,Stop
1,11,7,-3,-4,Stop
2,11,6,-4,-5,East
3,11,5,-5,-6,East
4,11,4,-6,-7,East
5,11,3,-7,-8,East
5,10,2,-8,-9,South
5,9,1,-9,190,South
6,9,4,190,189,East
6,10,3,189,188,North
6,11,2,188,187,North
7,11,1,187,386,East
8,11,8,386,385,East
9,11,9,385,384,East
10,11,9,384,383,East
10,10,8,383,382,South
10,9,7,382,381,South
11,9,6,381,380,East
12,9,5,380,379,East
13,9,4,379,378,East
14,9,3,378,377,East
14,8,2,377,376,South
14,7,1,376,575,South
14,6,9,575,574,South
14,5,8,574,573,South
13,5,7,573,572,West
12,5,6,572,571,West
11,5,5,571,570,West
10,5,4,570,569,West
9,5,3,569,568,West
8,5,2,568,567,West
7,5,1,567,766,West
1,11,7,0,-1,Stop
1,11,8,-1,-2,Stop
1,11,7,-2,-3,Stop
2,11,6,-3,-4,East
3,11,4,-4,-5,East
4,11,2,-5,-6,East
5,11,2,-6,-7,East
6,11,2,-7,-8,East
7,11,1,-8,191,East
8,11,1,191,390,East
9,11,7,390,389,East
10,11,7,389,388,East
10,10,6,388,387,South
10,9,4,387,386,South
10,8,4,386,385,South
10,7,4,385,484,South
10,6,4,384,383,South
10,5,2,383,382,South
11,5,2,382,381,East
10,5,3,381,380,West
9,5,3,380,379,West
9,4,3,379,378,South
9,3,2,378,377,South
9,3,1,377,376,South
9,3,2,376,375,South
9,3,3,375,374,South
9,3,2,374,373,South
10,3,1,373,572,East
11,3,7,572,571,East
11,3,8,571,570,East
11,4,7,570,569,North
11,5,5,569,568,North
12,5,3,568,567,East
13,5,5,567,566,East
14,5,6,566,565,East
14,6,4,565,564,North
14,7,4,564,563,North
14,8,2,563,562,North
1,6,7,0,-1,Stop
1,6,6,-1,-2,Stop
1,6,5,-2,-3,Stop
2,6,4,-3,-4,East
3,6,3,-4,-5,East
4,6,3,-5,-6,East
5,6,2,-6,-7,East
6,6,1,-7,192,East
7,6,4,192,191,East
8,6,4,191,190,East
9,6,2,190,189,East
10,6,4,189,188,East
11,6,4,188,187,East
12,6,5,187,186,East
13,6,4,186,185,East
14,6,4,185,184,East
15,6,2,184,183,East
16,6,4,183,182,East
16,5,2,182,181,South
16,4,2,181,180,South
16,3,2,180,179,South
15,3,2,179,178,West
