@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE pacmanX2 NUMERIC
   @ATTRIBUTE pacmanY2 NUMERIC
   @ATTRIBUTE livingGhosts2 NUMERIC
   @ATTRIBUTE score2 NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
8,6,3,2,172,9,6,3,171,East
9,6,3,2,171,9,7,3,170,East
9,7,3,2,170,9,8,3,169,North
9,8,3,4,169,9,7,3,168,North
9,7,3,4,168,9,6,3,167,South
9,6,3,2,167,9,5,3,166,South
9,5,3,3,166,9,6,3,165,South
9,6,3,3,165,10,6,3,164,North
10,6,3,3,164,11,6,3,163,East
11,6,3,3,163,11,7,3,162,East
11,7,3,3,162,10,7,3,161,North
10,7,3,3,161,10,8,3,160,West
10,8,3,1,160,10,9,3,159,North
10,9,3,1,159,9,9,3,158,North
9,9,3,2,158,9,8,3,157,West
9,8,3,2,157,10,8,3,156,South
10,8,3,2,156,10,7,3,155,East
10,7,3,1,155,10,6,2,354,South
10,6,2,12,354,10,7,2,353,South
10,7,2,14,353,10,8,2,352,North
10,8,2,14,352,10,9,2,351,North
10,9,2,14,351,10,10,2,350,North
10,10,2,16,350,10,11,2,349,North
10,11,2,17,349,10,12,2,348,North
10,12,2,18,348,11,12,2,347,North
11,12,2,18,347,12,12,2,346,East
12,12,2,16,346,13,12,2,345,East
13,12,2,14,345,13,11,2,344,East
13,11,2,14,344,13,10,2,343,South
13,10,2,12,343,13,9,2,342,South
13,9,2,11,342,13,8,2,341,South
13,8,2,9,341,13,7,2,340,South
13,7,2,7,340,13,6,2,339,South
13,6,2,6,339,13,5,2,338,South
13,5,2,6,338,14,5,2,337,South
14,5,2,4,337,14,5,2,336,East
14,5,2,3,336,14,4,2,335,East
14,4,2,3,335,15,4,2,334,South
15,4,2,3,334,16,4,2,333,East
16,4,2,1,333,16,3,2,332,East
16,3,2,3,332,17,3,2,331,South
17,3,2,3,331,17,4,2,330,East
17,4,2,3,330,18,4,2,329,North
18,4,2,2,329,19,4,2,328,East
19,4,2,2,328,20,4,2,327,East
20,4,1,6,527,21,4,1,526,East
21,4,1,5,526,22,4,1,525,East
22,4,1,4,525,23,4,1,524,East
23,4,1,2,524,23,5,1,523,East
23,5,1,4,523,24,5,1,522,North
24,5,1,4,522,25,5,1,521,East
25,5,1,4,521,25,4,1,520,East
25,4,1,4,520,25,3,1,519,South
25,3,1,2,519,26,3,1,518,South
26,3,1,2,518,27,3,1,517,East
27,3,1,2,517,28,3,1,516,East
28,3,1,2,516,28,3,1,515,East
28,3,1,1,515,28,4,0,714,East
12,10,4,3,0,12,10,4,-1,Stop
12,10,4,4,-1,12,10,4,-2,Stop
12,10,4,3,-2,13,10,4,-3,Stop
13,10,4,1,-3,14,10,4,-4,East
14,10,4,3,-4,14,11,4,-5,East
14,11,4,3,-5,13,11,4,-6,North
13,11,4,3,-6,13,12,4,-7,West
13,12,4,3,-7,13,13,4,-8,North
13,13,4,2,-8,14,13,4,-9,North
14,13,4,1,-9,14,14,3,190,East
14,14,3,11,190,14,14,3,189,North
14,14,3,10,189,14,13,3,188,North
14,13,3,10,188,14,12,3,187,South
14,12,3,8,187,14,11,3,186,South
14,11,3,7,186,14,10,3,185,South
14,10,3,5,185,14,9,3,184,South
14,9,3,3,184,13,9,3,183,South
13,9,3,3,183,13,8,3,182,West
13,8,3,1,182,13,7,3,181,South
13,7,3,2,181,12,7,3,180,South
12,7,3,2,180,12,8,3,179,West
12,8,3,1,179,13,8,2,378,North
13,8,2,11,378,12,8,2,377,East
12,8,2,9,377,11,8,2,376,West
11,8,2,9,376,10,8,2,375,West
10,8,2,8,375,9,8,2,374,West
9,8,2,7,374,8,8,2,373,West
8,8,2,7,373,8,9,2,372,West
8,9,2,7,372,8,10,2,371,North
8,10,2,7,371,8,11,2,370,North
8,11,2,6,370,8,12,2,369,North
8,12,2,6,369,7,12,2,368,North
7,12,2,5,368,6,12,2,367,West
6,12,2,3,367,5,12,2,366,West
5,12,2,2,366,4,12,2,365,West
4,12,2,1,365,3,12,1,564,West
3,12,1,8,564,4,12,1,563,West
4,12,1,8,563,5,12,1,562,East
5,12,1,10,562,6,12,1,561,East
6,12,1,10,561,7,12,1,560,East
7,12,1,12,560,7,11,1,559,East
7,11,1,10,559,7,10,1,558,South
7,10,1,8,558,7,9,1,557,South
7,9,1,6,557,7,8,1,556,South
7,8,1,5,556,7,7,1,555,South
7,7,1,5,555,7,6,1,554,South
7,6,1,3,554,6,6,1,553,South
6,6,1,2,553,5,6,1,552,West
5,6,1,1,552,5,5,0,751,West
12,10,4,3,0,12,10,4,-1,Stop
12,10,4,3,-1,12,10,4,-2,Stop
12,10,4,3,-2,13,10,4,-3,Stop
13,10,4,2,-3,14,10,4,-4,East
14,10,4,3,-4,14,11,4,-5,East
14,11,4,2,-5,13,11,4,-6,North
13,11,4,1,-6,13,12,3,193,West
13,12,3,6,193,13,11,3,192,North
13,11,3,5,192,13,10,3,191,South
13,10,3,4,191,13,9,3,190,South
13,9,3,3,190,13,8,3,189,South
13,8,3,2,189,13,7,3,188,South
13,7,3,1,188,13,6,2,387,South
13,6,2,8,387,12,6,2,386,South
12,6,2,7,386,11,6,2,385,West
11,6,2,6,385,10,6,2,384,West
