@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4,8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute score numeric
@attribute pacmanX2 numeric
@attribute pacmanY2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
22,6,539,23,6,538,East
23,6,538,24,6,537,East
24,6,537,25,6,536,East
25,6,536,25,7,735,East
1,18,0,1,18,-1,Stop
1,18,-1,1,17,-2,Stop
1,17,-2,1,16,-3,South
1,16,-3,1,15,-4,South
1,15,-4,1,14,-5,South
1,14,-5,1,13,-6,South
1,13,-6,1,12,-7,South
1,12,-7,1,11,-8,South
1,11,-8,1,10,-9,South
1,10,-9,1,9,-10,South
1,9,-10,1,8,-11,South
1,8,-11,1,7,-12,South
1,7,-12,1,6,-13,South
1,6,-13,2,6,-14,South
2,6,-14,3,6,-15,East
3,6,-15,4,6,-16,East
4,6,-16,5,6,-17,East
5,6,-17,5,7,-18,East
5,7,-18,4,7,-19,North
4,7,-19,4,8,-20,West
4,8,180,3,8,179,North
3,8,179,3,7,178,West
3,7,178,4,7,177,South
4,7,177,5,7,176,East
5,7,176,5,6,175,East
5,6,175,6,6,174,South
6,6,174,7,6,173,East
7,6,173,8,6,172,East
8,6,172,9,6,171,East
9,6,171,9,7,170,East
9,7,170,9,8,169,North
9,8,169,9,7,168,North
9,7,168,9,6,167,South
9,6,167,9,5,166,South
9,5,166,9,6,165,South
9,6,165,10,6,164,North
10,6,164,11,6,163,East
11,6,163,11,7,162,East
11,7,162,10,7,161,North
10,7,161,10,8,160,West
10,8,160,10,9,159,North
10,9,159,9,9,158,North
9,9,158,9,8,157,West
9,8,157,10,8,156,South
10,8,156,10,7,155,East
10,7,155,10,6,354,South
10,6,354,10,7,353,South
10,7,353,10,8,352,North
10,8,352,10,9,351,North
10,9,351,10,10,350,North
10,10,350,10,11,349,North
10,11,349,10,12,348,North
10,12,348,11,12,347,North
11,12,347,12,12,346,East
12,12,346,13,12,345,East
13,12,345,13,11,344,East
13,11,344,13,10,343,South
13,10,343,13,9,342,South
13,9,342,13,8,341,South
13,8,341,13,7,340,South
13,7,340,13,6,339,South
13,6,339,13,5,338,South
13,5,338,14,5,337,South
14,5,337,14,5,336,East
