@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute pacmanX2 numeric
@attribute pacmanY2 numeric
@attribute livingGhosts2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
1,8,574,13,5,1,573,South
1,7,573,12,5,1,572,West
1,6,572,11,5,1,571,West
1,5,571,10,5,1,570,West
1,4,570,9,5,1,569,West
1,3,569,8,5,1,568,West
1,2,568,7,5,1,567,West
1,1,567,6,5,0,766,West
4,7,0,1,11,4,-1,Stop
4,8,-1,1,11,4,-2,Stop
4,7,-2,2,11,4,-3,Stop
4,6,-3,3,11,4,-4,East
4,4,-4,4,11,4,-5,East
4,2,-5,5,11,4,-6,East
4,2,-6,6,11,4,-7,East
4,2,-7,7,11,4,-8,East
4,1,-8,8,11,3,191,East
3,1,191,9,11,2,390,East
2,7,390,10,11,2,389,East
2,7,389,10,10,2,388,East
2,6,388,10,9,2,387,South
2,4,387,10,8,2,386,South
2,4,386,10,7,2,385,South
2,4,385,10,6,2,484,South
2,4,384,10,5,2,383,South
2,2,383,11,5,2,382,South
2,2,382,10,5,2,381,East
2,3,381,9,5,2,380,West
2,3,380,9,4,2,379,West
2,3,379,9,3,2,378,South
2,2,378,9,3,2,377,South
2,1,377,9,3,2,376,South
2,2,376,9,3,2,375,South
2,3,375,9,3,2,374,South
2,2,374,10,3,2,373,South
2,1,373,11,3,1,572,East
1,7,572,11,3,1,571,East
1,8,571,11,4,1,570,East
1,7,570,11,5,1,569,North
1,5,569,12,5,1,568,North
1,3,568,13,5,1,567,East
1,5,567,14,5,1,566,East
1,6,566,14,6,1,565,East
1,4,565,14,7,1,564,North
1,4,564,14,8,1,563,North
1,2,563,14,9,1,562,North
4,7,0,1,6,4,-1,Stop
4,6,-1,1,6,4,-2,Stop
4,5,-2,2,6,4,-3,Stop
4,4,-3,3,6,4,-4,East
4,3,-4,4,6,4,-5,East
4,3,-5,5,6,4,-6,East
4,2,-6,6,6,4,-7,East
4,1,-7,7,6,3,192,East
3,4,192,8,6,3,191,East
3,4,191,9,6,3,190,East
3,2,190,10,6,3,189,East
3,4,189,11,6,3,188,East
3,4,188,12,6,3,187,East
3,5,187,13,6,3,186,East
3,4,186,14,6,3,185,East
3,4,185,15,6,3,184,East
3,2,184,16,6,3,183,East
3,4,183,16,5,3,182,East
3,2,182,16,4,3,181,South
3,2,181,16,3,3,180,South
3,2,180,15,3,3,179,South
3,2,179,14,3,3,178,West
3,1,178,13,3,3,177,West
3,1,177,12,3,2,376,West
2,3,376,11,3,2,375,West
2,3,375,10,3,2,374,West
2,4,374,9,3,2,373,West
2,6,373,8,3,2,372,West
2,7,372,8,4,2,371,West
2,7,371,8,4,2,370,North
2,7,370,8,4,2,369,North
2,6,369,8,4,2,368,North
2,7,368,8,4,2,367,North
2,7,367,7,4,2,366,North
2,6,366,6,4,2,365,West
2,6,365,5,4,2,364,West
2,4,364,4,4,2,363,West
2,2,363,3,4,2,362,West
2,1,362,2,4,1,561,West
1,13,561,3,4,1,560,West
1,11,560,4,4,1,559,East
1,11,559,5,4,1,558,East
1,10,558,6,4,1,557,East
1,9,557,7,4,1,556,East
1,7,556,8,4,1,555,East
1,7,555,9,4,1,554,East
1,7,554,10,4,1,553,East
1,6,553,11,4,1,552,East
1,4,552,12,4,1,551,East
1,4,551,13,4,1,550,East
1,3,550,14,4,1,549,East
1,3,549,15,4,1,548,East
1,2,548,16,4,1,547,East
1,1,547,17,4,1,546,East
1,2,546,18,4,1,545,East
1,2,545,18,5,1,544,East
1,4,544,18,6,1,543,North
1,6,543,17,6,1,542,North
1,4,542,16,6,1,541,West
1,2,541,15,6,1,540,West
1,2,540,14,6,1,539,West
1,3,539,14,5,1,538,West
1,1,538,14,4,0,737,South
4,7,0,1,6,4,-1,Stop
4,7,-1,1,6,4,-2,Stop
4,7,-2,1,6,4,-3,Stop
4,7,-3,2,6,4,-4,Stop
4,6,-4,3,6,4,-5,East
4,5,-5,4,6,4,-6,East
4,4,-6,5,6,4,-7,East
4,3,-7,6,6,4,-8,East
4,2,-8,7,6,4,-9,East
4,1,-9,8,6,3,190,East
3,4,190,9,6,3,189,East
3,5,189,10,6,3,188,East
3,4,188,11,6,3,187,East
3,3,187,12,6,3,186,East
3,4,186,13,6,3,185,East
3,3,185,14,6,3,184,East
3,2,184,15,6,3,183,East
3,1,183,16,6,2,382,East
2,8,382,16,5,2,381,East
2,7,381,16,4,2,380,South
2,6,380,16,3,2,379,South
2,5,379,15,3,2,378,South
2,4,378,14,3,2,377,West
2,3,377,13,3,2,376,West
2,2,376,12,3,2,375,West
2,1,375,11,3,1,574,West
1,6,574,10,3,1,573,West
1,5,573,9,3,1,572,West
1,4,572,8,3,1,571,West
1,3,571,7,3,1,570,West
1,2,570,6,3,1,569,West
1,1,569,6,4,0,768,West
