@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
4,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,3,11,16,12,-25,West
5,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,2,10,15,11,-26,East
6,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,1,9,14,10,-27,East
7,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,8,13,9,172,East
6,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,9,14,10,171,West
5,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,10,15,11,170,West
4,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,11,16,12,169,West
3,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,12,17,13,168,West
2,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,13,18,14,167,West
1,5,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,14,19,15,166,West
1,4,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,13,20,16,165,South
1,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,12,21,17,164,South
2,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,11,20,16,163,East
3,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,10,19,15,162,East
4,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,9,18,14,161,East
5,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,8,17,13,160,East
6,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,7,16,12,159,East
7,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,6,15,11,158,East
8,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,5,14,10,157,East
9,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,4,13,9,156,East
10,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,3,12,8,155,East
11,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,2,11,7,154,East
12,3,20,False,True,True,True,3,1,1,13,3,14,11,15,6,-1,1,10,6,153,East
13,3,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,9,5,352,East
14,3,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,8,4,351,East
15,3,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,9,3,350,East
16,3,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,10,4,349,East
17,3,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,11,5,348,East
18,3,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,12,6,347,East
18,4,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,11,5,346,North
18,5,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,10,4,345,North
18,6,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,9,3,344,North
17,6,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,8,2,343,West
16,6,20,False,False,True,True,2,1,1,3,1,14,11,15,6,-1,-1,7,1,342,West
15,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,6,-1,541,West
14,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,5,-1,540,West
13,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,6,-1,539,West
12,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,7,-1,538,West
11,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,8,-1,537,West
10,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,9,-1,536,West
9,6,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,10,-1,535,West
9,7,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,9,-1,534,North
9,8,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,8,-1,533,North
9,9,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,7,-1,532,North
9,10,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,6,-1,531,North
9,11,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,5,-1,530,North
10,11,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,4,-1,529,East
11,11,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,3,-1,528,East
12,11,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,2,-1,527,East
13,11,20,False,False,True,False,1,1,1,3,1,14,11,7,1,-1,-1,1,-1,526,East
12,10,20,True,True,True,True,4,5,6,5,12,13,6,13,12,11,9,5,3,0,Stop
12,10,20,True,True,True,True,4,4,6,6,12,12,6,12,12,12,8,4,2,-1,Stop
12,10,20,True,True,True,True,4,5,6,5,12,12,6,13,12,11,9,4,3,-2,Stop
12,10,20,True,True,True,True,4,5,6,6,12,11,6,12,12,11,8,5,2,-3,Stop
12,10,20,True,True,True,True,4,6,6,6,12,10,6,13,12,10,8,6,3,-4,Stop
13,10,20,True,True,True,True,4,6,6,7,12,11,6,12,12,11,8,6,3,-5,East
14,10,20,True,True,True,True,4,7,6,7,12,10,6,13,12,11,9,8,3,-6,East
15,10,20,True,True,True,True,4,7,6,7,12,11,6,12,12,12,10,8,5,-7,East
15,11,20,True,True,True,True,4,6,6,6,12,11,6,12,12,14,10,9,4,-8,North
15,12,20,True,True,True,True,4,7,6,5,12,12,6,12,12,14,10,9,3,-9,North
15,13,20,True,True,True,True,4,6,6,6,12,13,6,11,12,16,10,9,5,-10,North
15,14,20,True,True,True,True,4,7,6,6,12,13,5,11,12,16,11,11,6,-11,North
14,14,20,True,True,True,True,4,6,6,5,12,14,5,12,12,16,11,9,4,-12,West
13,14,20,True,True,True,True,4,6,5,5,12,14,5,13,12,16,10,10,2,-13,West
12,14,20,True,True,True,True,4,6,6,6,12,14,4,12,12,14,8,12,2,-14,West
11,14,20,True,True,True,True,4,6,5,5,12,13,4,11,12,14,8,12,2,-15,West
10,14,20,True,True,True,True,4,5,5,5,12,13,3,12,12,14,7,14,4,-16,West
10,13,20,True,True,True,True,4,5,4,6,12,14,3,11,12,14,5,14,2,-17,South
10,12,20,True,True,True,True,4,5,4,6,12,14,3,11,12,13,4,13,1,-18,South
11,12,20,True,True,True,False,3,6,4,5,12,14,4,7,1,13,6,11,-1,181,East
10,12,20,True,True,True,False,3,7,4,5,12,14,5,7,1,11,5,11,-1,180,West
9,12,20,True,True,True,False,3,7,4,6,12,14,4,7,1,10,3,13,-1,179,West
8,12,20,True,True,True,False,3,7,4,6,12,14,5,7,1,9,2,13,-1,178,West
7,12,20,True,True,True,False,3,7,4,5,12,14,5,7,1,8,2,14,-1,177,West
6,12,20,True,False,True,False,2,6,4,3,1,15,5,7,1,8,-1,16,-1,376,West
7,12,20,True,False,True,False,2,7,4,3,1,15,5,7,1,8,-1,15,-1,375,East
8,12,20,True,False,True,False,2,7,4,3,1,15,4,7,1,9,-1,15,-1,374,East
8,13,20,True,False,True,False,2,7,5,3,1,15,3,7,1,9,-1,17,-1,373,North
8,14,20,True,False,True,False,2,7,6,3,1,14,3,7,1,9,-1,17,-1,372,North
9,14,20,True,False,True,False,2,8,6,3,1,13,3,7,1,9,-1,15,-1,371,East
10,14,20,True,False,True,False,2,7,6,3,1,13,3,7,1,11,-1,14,-1,370,East
11,14,20,True,False,True,False,2,6,6,3,1,14,3,7,1,13,-1,14,-1,369,East
12,14,20,True,False,True,False,2,6,6,3,1,15,3,7,1,14,-1,14,-1,368,East
13,14,20,True,False,True,False,2,7,6,3,1,14,3,7,1,14,-1,12,-1,367,East
14,14,20,True,False,True,False,2,7,6,3,1,14,4,7,1,15,-1,10,-1,366,East
15,14,20,True,False,True,False,2,7,5,3,1,14,3,7,1,17,-1,12,-1,365,East
15,13,20,True,False,True,False,2,7,5,3,1,15,3,7,1,16,-1,10,-1,364,South
15,12,20,True,False,True,False,2,6,5,3,1,15,3,7,1,16,-1,9,-1,363,South
15,11,20,True,False,True,False,2,6,5,3,1,15,3,7,1,15,-1,8,-1,362,South
15,10,20,True,False,True,False,2,5,5,3,1,16,3,7,1,15,-1,8,-1,361,South
15,9,20,True,False,True,False,2,6,5,3,1,17,3,7,1,13,-1,8,-1,360,South
15,8,20,True,False,True,False,2,7,5,3,1,17,3,7,1,11,-1,7,-1,359,South
15,7,20,True,False,True,False,2,7,5,3,1,18,3,7,1,10,-1,7,-1,358,South
15,6,20,True,False,True,False,2,7,5,3,1,17,3,7,1,9,-1,5,-1,357,South
15,5,20,True,False,True,False,2,6,5,3,1,16,3,7,1,9,-1,3,-1,356,South
15,4,20,True,False,True,False,2,7,5,3,1,16,4,7,1,9,-1,1,-1,355,South
15,3,20,True,False,True,False,2,7,4,3,1,15,4,7,1,9,-1,1,-1,354,South
16,3,20,True,False,True,False,2,6,4,3,1,16,4,7,1,11,-1,1,-1,353,East
17,3,20,True,False,True,False,2,6,3,3,1,17,4,7,1,11,-1,1,-1,352,East
17,4,20,True,False,False,False,1,7,3,3,1,5,1,7,1,11,-1,-1,-1,551,North
17,5,20,True,False,False,False,1,6,3,3,1,5,1,7,1,13,-1,-1,-1,550,North
17,6,20,True,False,False,False,1,5,3,3,1,5,1,7,1,15,-1,-1,-1,549,North
16,6,20,True,False,False,False,1,4,3,3,1,5,1,7,1,15,-1,-1,-1,548,West
16,5,20,True,False,False,False,1,4,4,3,1,5,1,7,1,13,-1,-1,-1,547,South
16,4,20,True,False,False,False,1,3,4,3,1,5,1,7,1,13,-1,-1,-1,546,South
15,4,20,True,False,False,False,1,3,4,3,1,5,1,7,1,12,-1,-1,-1,545,West
14,4,20,True,False,False,False,1,3,3,3,1,5,1,7,1,12,-1,-1,-1,544,West
14,3,20,True,False,False,False,1,3,4,3,1,5,1,7,1,12,-1,-1,-1,543,South
13,3,20,True,False,False,False,1,2,4,3,1,5,1,7,1,12,-1,-1,-1,542,West
12,3,20,True,False,False,False,1,2,4,3,1,5,1,7,1,11,-1,-1,-1,541,West
11,3,20,True,False,False,False,1,2,4,3,1,5,1,7,1,10,-1,-1,-1,540,West
10,3,20,True,False,False,False,1,2,4,3,1,5,1,7,1,9,-1,-1,-1,539,West
9,3,20,True,False,False,False,1,3,4,3,1,5,1,7,1,7,-1,-1,-1,538,West
8,3,20,True,False,False,False,1,3,3,3,1,5,1,7,1,5,-1,-1,-1,537,West
7,3,20,True,False,False,False,1,3,4,3,1,5,1,7,1,5,-1,-1,-1,536,West
6,3,20,True,False,False,False,1,2,4,3,1,5,1,7,1,5,-1,-1,-1,535,West
5,3,20,True,False,False,False,1,3,4,3,1,5,1,7,1,3,-1,-1,-1,534,West
4,3,20,True,False,False,False,1,2,4,3,1,5,1,7,1,3,-1,-1,-1,533,West
3,3,20,True,False,False,False,1,1,4,3,1,5,1,7,1,3,-1,-1,-1,532,West
3,4,20,True,False,False,False,1,2,4,3,1,5,1,7,1,1,-1,-1,-1,531,North
3,5,20,True,False,False,False,1,2,3,3,1,5,1,7,1,3,-1,-1,-1,530,North
2,5,20,True,False,False,False,1,1,3,3,1,5,1,7,1,3,-1,-1,-1,529,West
1,5,20,True,False,False,False,1,1,4,3,1,5,1,7,1,1,-1,-1,-1,528,West
