@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
3,8,27,True,True,True,True,4,3,9,10,4,21,4,22,14,1,11,22,25,-18,North
3,9,27,False,True,True,True,3,1,1,10,5,22,4,22,14,-1,11,24,24,181,North
3,8,27,False,True,True,True,3,1,1,10,5,22,3,22,14,-1,10,24,25,180,South
3,7,27,False,True,True,True,3,1,1,9,5,21,3,23,14,-1,8,22,27,179,South
4,7,27,False,True,True,True,3,1,1,9,4,20,3,23,14,-1,8,20,26,178,East
5,7,27,False,True,True,True,3,1,1,9,4,19,3,22,14,-1,7,18,24,177,East
6,7,27,False,True,True,True,3,1,1,8,4,19,3,22,15,-1,5,17,24,176,East
6,6,27,False,True,True,True,3,1,1,8,3,19,3,23,15,-1,5,16,26,175,South
7,6,27,False,True,True,True,3,1,1,9,3,20,3,23,16,-1,5,16,26,174,East
8,6,27,False,True,True,True,3,1,1,8,3,19,3,23,16,-1,3,14,25,173,East
8,5,27,False,True,True,True,3,1,1,9,3,19,3,23,16,-1,3,13,26,172,South
8,4,27,False,True,True,True,3,1,1,9,3,19,4,23,16,-1,2,11,27,171,South
8,3,27,False,True,True,True,3,1,1,10,3,19,3,24,16,-1,2,11,29,170,South
9,3,27,False,True,True,True,3,1,1,10,3,19,3,25,16,-1,1,10,29,169,East
10,3,27,False,False,True,True,2,1,1,3,1,19,4,24,16,-1,-1,10,27,368,East
10,4,27,False,False,True,True,2,1,1,3,1,19,4,24,15,-1,-1,9,25,367,North
10,5,27,False,False,True,True,2,1,1,3,1,19,4,23,15,-1,-1,10,23,366,North
10,6,27,False,False,True,True,2,1,1,3,1,18,4,23,16,-1,-1,10,23,365,North
