@relation pacman_info-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,1,0.259259,0.375,0.333333,0.181818,0.648693,North
1,1,0.259259,0.4375,0.333333,0.181818,0.647059,North
1,1,0.259259,0.5,0.333333,0.181818,0.645425,North
1,1,0.259259,0.5625,0.333333,0.181818,0.643791,North
1,1,0.259259,0.625,0.333333,0.272727,0.642157,North
1,1,0.296296,0.625,0.333333,0.181818,0.640523,East
1,1,0.333333,0.625,0.333333,0.136364,0.638889,East
1,1,0.37037,0.625,0.333333,0.136364,0.637255,East
1,1,0.407407,0.625,0.333333,0.136364,0.635621,East
1,1,0.444444,0.625,0.333333,0.136364,0.633987,East
1,1,0.444444,0.5625,0.333333,0.136364,0.632353,South
1,1,0.444444,0.5,0.333333,0.045455,0.630719,South
1,1,0.444444,0.4375,0.333333,0,0.629085,South
1,1,0.444444,0.375,0,0.954545,0.954248,South
1,1,0.481481,0.375,0,0.863636,0.952614,East
1,1,0.518519,0.375,0,0.863636,0.95098,East
1,1,0.555556,0.375,0,0.772727,0.949346,East
1,1,0.592593,0.375,0,0.772727,0.947712,East
1,1,0.62963,0.375,0,0.772727,0.946078,East
1,1,0.666667,0.375,0,0.681818,0.944444,East
1,1,0.703704,0.375,0,0.681818,0.94281,East
1,1,0.740741,0.375,0,0.590909,0.941176,East
1,1,0.777778,0.375,0,0.5,0.939542,East
1,1,0.814815,0.375,0,0.5,0.937908,East
1,1,0.814815,0.4375,0,0.409091,0.936275,North
1,1,0.814815,0.5,0,0.409091,0.934641,North
1,1,0.814815,0.5625,0,0.318182,0.933007,North
1,1,0.851852,0.5625,0,0.272727,0.931373,East
1,1,0.888889,0.5625,0,0.227273,0.929739,East
1,1,0.925926,0.5625,0,0.227273,0.928105,East
1,1,0.925926,0.625,0,0.136364,0.926471,North
1,1,0.925926,0.6875,0,0.090909,0.924837,North
1,1,0.925926,0.75,0,0.045455,0.923203,North
1,1,0.925926,0.8125,0,0.045455,0.921569,North
1,1,0.925926,0.875,0,0,0.919935,North
1,1,0.925926,0.9375,0,0.045455,0.918301,North
1,1,0.925926,1,0,0.045455,0.916667,North
1,1,0.962963,1,0,0.045455,0.915033,East
1,1,0.962963,0.9375,0,0.045455,0.913399,South
1,1,0.925926,0.9375,0,0.045455,0.911765,West
1,1,0.888889,0.9375,0,0.045455,0.910131,West
1,1,0.925926,0.9375,0,0.045455,0.908497,East
1,1,0.962963,0.9375,0,0.045455,0.906863,East
1,1,0.962963,0.875,0,0.045455,0.905229,South
1,1,0.925926,0.875,0,0.045455,0.903595,West
1,1,0,1,1,0.545455,0.053922,Stop
