@relation 'pacman_info-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,22,24'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
1,18,27,20,True,True,4,9,11,3,17,25,13,13,25,29,0,Stop
1,18,27,20,True,True,4,9,11,4,17,25,13,12,24,29,-1,Stop
1,18,27,20,True,True,4,9,11,3,17,25,13,13,25,29,-2,Stop
1,17,27,20,True,True,4,10,11,4,17,25,14,11,23,27,-3,South
1,16,27,20,True,True,4,10,11,4,18,25,14,9,22,26,-4,South
1,15,27,20,True,True,4,10,11,4,19,25,13,7,21,26,-5,South
1,14,27,20,True,True,4,10,10,4,19,25,13,6,19,25,-6,South
1,13,27,20,True,True,4,10,10,4,18,25,14,6,18,25,-7,South
1,12,27,20,True,True,4,10,10,5,18,25,15,5,16,27,-8,South
1,11,27,20,True,True,4,10,9,5,18,25,15,4,14,28,-9,South
1,10,27,20,True,True,4,10,9,4,18,24,15,2,14,28,-10,South
1,9,27,20,True,True,4,10,9,3,18,23,15,4,14,28,-11,South
1,8,27,20,True,True,4,10,9,4,19,22,15,4,12,28,-12,South
1,7,27,20,True,True,4,9,8,4,20,23,15,4,10,30,-13,South
1,6,27,20,True,True,4,8,9,4,20,23,16,4,10,32,-14,South
2,6,27,20,True,True,4,8,9,4,20,22,16,3,9,30,-15,East
3,6,27,20,True,True,4,8,10,4,20,22,16,2,9,29,-16,East
3,7,27,20,True,True,4,9,10,5,20,22,15,2,9,27,-17,North
3,8,27,20,True,True,4,9,10,4,21,22,14,1,11,25,-18,North
3,9,27,20,True,True,3,1,10,5,22,22,14,-1,11,24,181,North
3,8,27,20,True,True,3,1,10,5,22,22,14,-1,10,25,180,South
3,7,27,20,True,True,3,1,9,5,21,23,14,-1,8,27,179,South
4,7,27,20,True,True,3,1,9,4,20,23,14,-1,8,26,178,East
5,7,27,20,True,True,3,1,9,4,19,22,14,-1,7,24,177,East
6,7,27,20,True,True,3,1,8,4,19,22,15,-1,5,24,176,East
6,6,27,20,True,True,3,1,8,3,19,23,15,-1,5,26,175,South
7,6,27,20,True,True,3,1,9,3,20,23,16,-1,5,26,174,East
8,6,27,20,True,True,3,1,8,3,19,23,16,-1,3,25,173,East
8,5,27,20,True,True,3,1,9,3,19,23,16,-1,3,26,172,South
8,4,27,20,True,True,3,1,9,3,19,23,16,-1,2,27,171,South
8,3,27,20,True,True,3,1,10,3,19,24,16,-1,2,29,170,South
9,3,27,20,True,True,3,1,10,3,19,25,16,-1,1,29,169,East
10,3,27,20,False,True,2,1,3,1,19,24,16,-1,-1,27,368,East
10,4,27,20,False,True,2,1,3,1,19,24,15,-1,-1,25,367,North
10,5,27,20,False,True,2,1,3,1,19,23,15,-1,-1,23,366,North
10,6,27,20,False,True,2,1,3,1,18,23,16,-1,-1,23,365,North
