@relation 'pacman_info-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,22,24-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute class {Stop,North,West,South,East}

@data
1,7,27,20,True,True,4,9,11,3,17,25,13,6,14,30,South
1,6,27,20,True,True,4,9,11,3,17,25,13,7,13,31,South
2,6,27,20,True,True,4,9,11,3,17,25,13,6,12,30,East
3,6,27,20,True,True,4,9,11,3,17,25,13,5,11,29,East
4,6,27,20,True,True,4,9,11,3,17,25,13,4,10,28,East
5,6,27,20,True,True,4,9,11,3,17,25,13,3,9,27,East
5,7,27,20,True,True,4,9,11,3,17,25,13,2,10,26,North
5,8,27,20,True,True,4,9,11,3,17,25,13,1,11,25,North
5,9,27,20,True,True,3,1,11,3,17,25,13,-1,12,24,North
5,8,27,20,True,True,3,1,11,3,17,25,13,-1,11,25,South
5,7,27,20,True,True,3,1,11,3,17,25,13,-1,10,26,South
5,6,27,20,True,True,3,1,11,3,17,25,13,-1,9,27,South
5,5,27,20,True,True,3,1,11,3,17,25,13,-1,8,28,South
5,4,27,20,True,True,3,1,11,3,17,25,13,-1,7,29,South
5,3,27,20,True,True,3,1,11,3,17,25,13,-1,6,30,South
6,3,27,20,True,True,3,1,11,3,17,25,13,-1,5,29,East
7,3,27,20,True,True,3,1,11,3,17,25,13,-1,4,28,East
8,3,27,20,True,True,3,1,11,3,17,25,13,-1,3,27,East
9,3,27,20,True,True,3,1,11,3,17,25,13,-1,2,26,East
10,3,27,20,True,True,3,1,11,3,17,25,13,-1,1,25,East
11,3,27,20,False,True,2,1,3,1,17,25,13,-1,-1,24,East
11,4,27,20,False,True,2,1,3,1,17,25,13,-1,-1,23,North
11,5,27,20,False,True,2,1,3,1,17,25,13,-1,-1,22,North
11,6,27,20,False,True,2,1,3,1,17,25,13,-1,-1,21,North
11,7,27,20,False,True,2,1,3,1,17,25,13,-1,-1,20,North
11,8,27,20,False,True,2,1,3,1,17,25,13,-1,-1,19,North
11,9,27,20,False,True,2,1,3,1,17,25,13,-1,-1,18,North
11,10,27,20,False,True,2,1,3,1,17,25,13,-1,-1,17,North
11,11,27,20,False,True,2,1,3,1,17,25,13,-1,-1,16,North
11,12,27,20,False,True,2,1,3,1,17,25,13,-1,-1,15,North
12,12,27,20,False,True,2,1,3,1,17,25,13,-1,-1,14,East
13,12,27,20,False,True,2,1,3,1,17,25,13,-1,-1,13,East
14,12,27,20,False,True,2,1,3,1,17,25,13,-1,-1,12,East
14,11,27,20,False,True,2,1,3,1,17,25,13,-1,-1,13,South
14,10,27,20,False,True,2,1,3,1,17,25,13,-1,-1,14,South
14,9,27,20,False,True,2,1,3,1,17,25,13,-1,-1,15,South
14,8,27,20,False,True,2,1,3,1,17,25,13,-1,-1,16,South
14,7,27,20,False,True,2,1,3,1,17,25,13,-1,-1,17,South
14,6,27,20,False,True,2,1,3,1,17,25,13,-1,-1,18,South
15,6,27,20,False,True,2,1,3,1,17,25,13,-1,-1,17,East
16,6,27,20,False,True,2,1,3,1,17,25,13,-1,-1,16,East
17,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,15,East
18,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,14,East
19,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,13,East
20,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,12,East
21,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,11,East
22,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,10,East
23,6,27,20,False,True,1,1,3,1,5,25,13,-1,-1,9,East
23,7,27,20,False,True,1,1,3,1,5,25,13,-1,-1,8,North
23,8,27,20,False,True,1,1,3,1,5,25,13,-1,-1,7,North
23,9,27,20,False,True,1,1,3,1,5,25,13,-1,-1,6,North
23,10,27,20,False,True,1,1,3,1,5,25,13,-1,-1,5,North
22,10,27,20,False,True,1,1,3,1,5,25,13,-1,-1,6,West
21,10,27,20,False,True,1,1,3,1,5,25,13,-1,-1,7,West
20,10,27,20,False,True,1,1,3,1,5,25,13,-1,-1,8,West
20,11,27,20,False,True,1,1,3,1,5,25,13,-1,-1,7,North
20,12,27,20,False,True,1,1,3,1,5,25,13,-1,-1,6,North
20,13,27,20,False,True,1,1,3,1,5,25,13,-1,-1,5,North
20,14,27,20,False,True,1,1,3,1,5,25,13,-1,-1,6,North
20,15,27,20,False,True,1,1,3,1,5,25,13,-1,-1,7,North
21,15,27,20,False,True,1,1,3,1,5,25,13,-1,-1,6,East
22,15,27,20,False,True,1,1,3,1,5,25,13,-1,-1,5,East
23,15,27,20,False,True,1,1,3,1,5,25,13,-1,-1,4,East
24,15,27,20,False,True,1,1,3,1,5,25,13,-1,-1,3,East
24,14,27,20,False,True,1,1,3,1,5,25,13,-1,-1,2,South
25,14,27,20,False,True,1,1,3,1,5,25,13,-1,-1,1,East
1,13,20,15,True,True,4,5,13,3,14,15,6,14,22,21,Stop
1,13,20,15,True,True,4,5,12,3,14,15,6,14,21,21,Stop
1,13,20,15,True,True,4,5,11,3,15,15,6,14,20,21,Stop
1,13,20,15,True,True,4,5,12,3,16,16,6,14,21,22,Stop
2,13,20,15,True,True,4,5,11,3,15,17,6,13,19,22,East
3,13,20,15,True,True,4,5,10,3,14,18,6,12,17,22,East
4,13,20,15,True,True,4,5,10,3,13,18,5,10,16,22,East
5,13,20,15,True,True,4,5,11,3,13,18,5,8,16,21,East
