@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
16,9,20,False,False,1,4,3,1,5,7,1,13,-1,-1,559,West
15,9,20,False,False,1,4,3,1,5,7,1,12,-1,-1,558,West
14,9,20,False,False,1,3,3,1,5,7,1,12,-1,-1,557,West
13,9,20,False,False,1,3,3,1,5,7,1,10,-1,-1,556,West
12,9,20,False,False,1,4,3,1,5,7,1,8,-1,-1,555,West
11,9,20,False,False,1,5,3,1,5,7,1,6,-1,-1,554,West
10,9,20,False,False,1,5,3,1,5,7,1,6,-1,-1,553,West
9,9,20,False,False,1,5,3,1,5,7,1,4,-1,-1,552,West
9,8,20,False,False,1,6,3,1,5,7,1,2,-1,-1,551,South
9,7,20,False,False,1,6,3,1,5,7,1,2,-1,-1,550,South
9,6,20,False,False,1,6,3,1,5,7,1,1,-1,-1,549,South
9,5,20,False,False,1,5,3,1,5,7,1,1,-1,-1,548,South
2,11,20,True,True,4,5,6,9,8,14,6,10,6,17,-4,East
3,11,20,True,True,4,5,6,9,8,14,6,9,5,16,-5,East
4,11,20,True,True,4,5,6,9,8,14,6,8,4,15,-6,East
5,11,20,True,True,4,5,6,9,8,14,6,7,3,14,-7,East
6,11,20,True,True,4,5,6,9,8,14,6,6,2,13,-8,East
7,11,20,True,True,4,5,6,9,8,14,6,7,3,12,-9,East
8,11,20,True,True,3,5,6,9,5,14,6,8,4,11,190,East
7,11,20,True,True,3,5,6,9,5,14,6,7,3,12,189,West
6,11,20,True,True,3,5,6,9,5,14,6,6,2,13,188,West
6,10,20,True,True,3,5,6,9,5,14,6,5,1,12,187,South
6,9,20,False,True,2,5,3,1,5,14,6,4,-1,11,386,South
7,9,20,False,True,2,5,3,1,5,14,6,5,-1,10,385,East
8,9,20,False,True,2,5,3,1,5,14,6,6,-1,9,384,East
8,8,20,False,True,2,5,3,1,5,14,6,5,-1,8,383,South
8,7,20,False,True,2,5,3,1,5,14,6,4,-1,7,382,South
8,6,20,False,True,2,5,3,1,5,14,6,3,-1,6,381,South
8,5,20,False,True,2,5,3,1,5,14,6,2,-1,7,380,South
7,5,20,False,True,2,5,3,1,5,14,6,1,-1,8,379,West
6,5,20,False,True,1,1,3,1,5,14,6,-1,-1,9,578,West
7,5,20,False,True,1,1,3,1,5,14,6,-1,-1,8,577,East
8,5,20,False,True,1,1,3,1,5,14,6,-1,-1,7,576,East
9,5,20,False,True,1,1,3,1,5,14,6,-1,-1,6,575,East
10,5,20,False,True,1,1,3,1,5,14,6,-1,-1,5,574,East
11,5,20,False,True,1,1,3,1,5,14,6,-1,-1,4,573,East
12,5,20,False,True,1,1,3,1,5,14,6,-1,-1,3,572,East
13,5,20,False,True,1,1,3,1,5,14,6,-1,-1,2,571,East
14,5,20,False,True,1,1,3,1,5,14,6,-1,-1,1,570,East
2,6,20,True,True,4,4,8,6,12,16,5,8,6,15,-3,East
3,6,20,True,True,4,4,8,6,11,16,4,6,5,15,-4,East
4,6,20,True,True,4,5,8,6,11,16,3,4,4,15,-5,East
5,6,20,True,True,4,4,8,6,11,16,4,4,3,13,-6,East
6,6,20,True,True,4,4,8,6,12,15,4,2,2,11,-7,East
7,6,20,True,True,4,4,8,6,12,14,4,2,1,9,-8,East
8,6,20,False,True,3,4,3,1,12,13,4,3,-1,7,191,East
9,6,20,False,True,3,4,3,1,12,13,3,5,-1,7,190,East
10,6,20,False,True,3,4,3,1,13,13,3,7,-1,6,189,East
11,6,20,False,True,3,3,3,1,12,12,3,9,-1,4,188,East
12,6,20,False,True,3,3,3,1,12,13,3,9,-1,4,187,East
13,6,20,False,True,3,3,3,1,12,14,3,9,-1,4,186,East
14,6,20,False,True,3,3,3,1,12,15,3,10,-1,4,185,East
15,6,20,False,True,3,3,3,1,11,16,3,12,-1,4,184,East
16,6,20,False,True,3,3,3,1,11,16,4,12,-1,2,183,East
16,5,20,False,True,3,3,3,1,10,17,4,10,-1,2,182,South
16,4,20,False,True,3,3,3,1,10,17,4,8,-1,1,181,South
15,4,20,False,True,3,4,3,1,11,18,4,6,-1,3,180,West
14,4,20,False,True,3,4,3,1,10,17,4,6,-1,3,179,West
13,4,20,False,True,3,4,3,1,10,17,4,5,-1,4,178,West
12,4,20,False,True,3,3,3,1,9,17,3,5,-1,6,177,West
11,4,20,False,True,3,3,3,1,9,18,3,3,-1,8,176,West
10,4,20,False,True,3,3,3,1,9,18,3,1,-1,9,175,West
10,3,20,False,True,2,1,3,1,9,18,3,-1,-1,8,374,South
10,3,20,False,True,2,1,3,1,9,17,3,-1,-1,7,373,South
11,3,20,False,True,2,1,3,1,8,16,3,-1,-1,5,372,East
12,3,20,False,True,2,1,3,1,8,16,3,-1,-1,4,371,East
13,3,20,False,True,2,1,3,1,7,16,4,-1,-1,4,370,East
14,3,20,False,True,2,1,3,1,8,16,5,-1,-1,4,369,East
15,3,20,False,True,2,1,3,1,9,16,6,-1,-1,4,368,East
16,3,20,False,True,2,1,3,1,8,16,5,-1,-1,2,367,East
16,4,20,False,True,2,1,3,1,7,16,6,-1,-1,2,366,North
16,5,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,565,North
16,6,20,False,False,1,1,3,1,7,7,1,-1,-1,-1,564,North
16,5,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,563,South
16,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,562,South
15,4,20,False,False,1,1,3,1,7,7,1,-1,-1,-1,561,West
14,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,560,West
13,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,559,West
12,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,558,West
11,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,557,West
10,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,556,West
9,4,20,False,False,1,1,3,1,7,7,1,-1,-1,-1,555,West
8,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,554,West
7,4,20,False,False,1,1,3,1,6,7,1,-1,-1,-1,553,West
2,6,20,True,True,4,4,8,6,11,16,6,6,6,14,-3,East
3,6,20,True,True,4,4,8,6,11,16,6,5,5,13,-4,East
4,6,20,True,True,4,4,8,6,11,16,6,4,4,12,-5,East
5,6,20,True,True,4,4,8,6,11,16,6,3,3,11,-6,East
6,6,20,True,True,4,4,8,6,11,16,6,2,2,10,-7,East
7,6,20,True,True,4,4,8,6,11,16,6,3,1,9,-8,East
8,6,20,False,True,3,4,3,1,11,16,6,4,-1,8,191,East
9,6,20,False,True,3,4,3,1,11,16,6,5,-1,7,190,East
10,6,20,False,True,3,4,3,1,11,16,6,6,-1,6,189,East
11,6,20,False,True,3,4,3,1,11,16,6,7,-1,5,188,East
12,6,20,False,True,3,4,3,1,11,16,6,8,-1,4,187,East
13,6,20,False,True,3,4,3,1,11,16,6,9,-1,3,186,East
14,6,20,False,True,3,4,3,1,11,16,6,10,-1,2,185,East
15,6,20,False,True,3,4,3,1,11,16,6,11,-1,1,184,East
16,6,20,False,False,2,4,3,1,11,7,1,12,-1,-1,383,East
16,5,20,False,False,2,4,3,1,11,7,1,11,-1,-1,382,South
16,4,20,False,False,2,4,3,1,11,7,1,10,-1,-1,381,South
16,3,20,False,False,2,4,3,1,11,7,1,11,-1,-1,380,South
15,3,20,False,False,2,4,3,1,11,7,1,10,-1,-1,379,West
14,3,20,False,False,2,4,3,1,11,7,1,9,-1,-1,378,West
13,3,20,False,False,2,4,3,1,11,7,1,8,-1,-1,377,West
12,3,20,False,False,2,4,3,1,11,7,1,7,-1,-1,376,West
11,3,20,False,False,1,4,3,1,5,7,1,6,-1,-1,575,West
11,4,20,False,False,1,4,3,1,5,7,1,5,-1,-1,574,North
10,4,20,False,False,1,4,3,1,5,7,1,4,-1,-1,573,West
9,4,20,False,False,1,4,3,1,5,7,1,3,-1,-1,572,West
8,4,20,False,False,1,4,3,1,5,7,1,2,-1,-1,571,West
7,4,20,False,False,1,4,3,1,5,7,1,1,-1,-1,570,West
