@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
6,6,1,-8,East
7,6,3,191,East
7,5,2,190,South
7,4,1,189,South
7,3,1,188,South
7,3,2,387,South
7,3,2,386,South
6,3,2,385,West
5,3,3,384,West
6,3,2,383,East
6,4,2,382,North
6,4,1,381,North
7,4,7,580,East
7,3,7,579,South
7,3,8,578,South
8,3,6,577,East
9,3,5,576,East
10,3,4,575,East
11,3,2,574,East
12,3,1,573,East
1,11,7,0,Stop
1,11,6,-1,Stop
1,11,6,-2,Stop
2,11,4,-3,East
3,11,4,-4,East
4,11,2,-5,East
5,11,1,-6,East
6,11,2,-7,East
6,10,3,192,South
6,9,1,191,South
6,8,6,390,South
7,8,4,389,East
8,8,4,388,East
8,7,4,387,South
8,6,4,386,South
8,5,3,385,South
7,5,2,384,West
6,5,2,383,West
5,5,2,382,West
6,5,4,381,East
7,5,5,380,East
6,5,3,379,West
5,5,1,378,West
4,5,15,577,West
3,5,15,576,West
4,5,15,575,East
5,5,15,574,East
6,5,14,573,East
7,5,14,572,East
8,5,13,571,East
9,5,12,570,East
10,5,10,569,East
11,5,10,568,East
12,5,8,567,East
13,5,8,566,East
14,5,7,565,East
14,6,7,564,North
14,7,6,563,North
14,8,6,562,North
15,8,5,561,East
16,8,5,560,East
16,9,3,559,North
16,9,3,558,North
17,9,3,557,East
18,9,2,556,East
18,10,1,555,North
1,6,7,0,Stop
1,6,7,-1,Stop
1,6,7,-2,Stop
2,6,6,-3,East
3,6,5,-4,East
4,6,4,-5,East
5,6,3,-6,East
6,6,2,-7,East
7,6,1,-8,East
8,6,4,191,East
9,6,5,190,East
10,6,4,189,East
11,6,3,188,East
12,6,4,187,East
13,6,3,186,East
14,6,2,185,East
15,6,1,184,East
16,6,8,383,East
16,5,7,382,South
16,4,6,381,South
15,4,5,380,West
14,4,4,379,West
13,4,3,378,West
13,3,2,377,South
12,3,1,376,West
11,3,6,575,West
10,3,5,574,West
10,4,4,573,North
9,4,3,572,West
8,4,2,571,West
7,4,1,570,West
12,10,3,0,Stop
12,10,3,-1,Stop
13,10,1,-2,East
14,10,3,-3,East
15,10,4,-4,East
14,10,3,-5,West
14,9,3,-6,South
14,8,2,-7,South
13,8,4,192,West
12,8,6,191,West
12,9,4,190,North
12,10,2,189,North
12,11,2,188,North
13,11,2,187,East
13,10,1,186,South
13,9,2,185,South
13,8,2,184,South
14,8,2,183,East
14,9,2,182,North
13,9,2,181,West
12,9,2,180,West
11,9,2,179,West
10,9,2,178,West
9,9,4,177,West
9,8,2,176,South
9,7,3,175,South
10,7,3,174,East
11,7,1,173,East
11,8,4,372,North
11,9,3,371,North
11,10,2,370,North
12,10,2,369,East
13,10,3,368,East
13,11,3,367,North
13,12,1,366,North
12,12,11,565,West
11,12,10,564,West
10,12,8,563,West
10,11,6,562,South
10,10,5,561,South
10,9,3,560,South
9,9,3,559,West
8,9,3,558,West
7,9,2,557,West
6,9,2,556,West
6,10,2,555,North
6,11,3,554,North
7,11,1,553,East
1,18,13,0,Stop
1,18,14,-1,Stop
2,18,12,-2,East
3,18,12,-3,East
4,18,10,-4,East
3,18,10,-5,West
2,18,12,-6,West
1,18,12,-7,West
1,17,10,-8,South
1,16,8,-9,South
1,15,7,-10,South
1,14,7,-11,South
1,13,7,-12,South
1,12,7,-13,South
1,11,7,-14,South
1,10,7,-15,South
1,9,6,-16,South
1,8,4,-17,South
1,7,4,-18,South
1,6,4,-19,South
2,6,2,-20,East
3,6,2,-21,East
4,6,2,-22,East
5,6,4,-23,East
6,6,4,-24,East
7,6,6,-25,East
8,6,4,-26,East
9,6,2,-27,East
10,6,2,-28,East
10,5,6,171,South
10,4,6,170,South
9,4,6,169,West
8,4,5,168,West
8,3,6,167,South
7,3,4,166,West
6,3,4,165,West
5,3,6,164,West
5,4,4,163,North
5,5,4,162,North
5,6,2,161,North
5,7,14,360,North
6,7,12,359,East
6,7,13,358,East
6,6,13,357,South
7,6,12,356,East
