@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
2,7,368,North
2,7,367,North
2,6,366,West
2,6,365,West
2,4,364,West
2,2,363,West
2,1,362,West
1,13,561,West
1,11,560,East
1,11,559,East
1,10,558,East
1,9,557,East
1,7,556,East
1,7,555,East
1,7,554,East
1,6,553,East
1,4,552,East
1,4,551,East
1,3,550,East
1,3,549,East
1,2,548,East
1,1,547,East
1,2,546,East
1,2,545,East
1,4,544,North
1,6,543,North
1,4,542,West
1,2,541,West
1,2,540,West
1,3,539,West
1,1,538,South
4,7,0,Stop
4,7,-1,Stop
4,7,-2,Stop
4,7,-3,Stop
4,6,-4,East
4,5,-5,East
4,4,-6,East
4,3,-7,East
4,2,-8,East
4,1,-9,East
3,4,190,East
3,5,189,East
3,4,188,East
3,3,187,East
3,4,186,East
3,3,185,East
3,2,184,East
3,1,183,East
2,8,382,East
2,7,381,South
2,6,380,South
2,5,379,South
2,4,378,West
2,3,377,West
2,2,376,West
2,1,375,West
1,6,574,West
1,5,573,West
1,4,572,West
1,3,571,West
1,2,570,West
1,1,569,West
4,13,0,Stop
4,14,-1,Stop
4,14,-2,East
4,13,-3,East
4,13,-4,East
4,11,-5,East
4,13,-6,East
4,15,-7,East
4,16,-8,East
4,14,-9,East
4,16,-10,East
4,16,-11,East
4,16,-12,East
4,16,-13,East
4,15,-14,East
4,13,-15,South
4,13,-16,South
4,11,-17,South
4,10,-18,East
4,8,-19,East
4,8,-20,East
4,8,-21,South
4,8,-22,South
4,8,-23,East
4,7,-24,East
4,6,-25,North
4,7,-26,North
4,6,-27,East
4,5,-28,East
4,5,-29,North
4,5,-30,East
4,3,-31,East
4,1,-32,East
4,3,-33,East
4,3,-34,South
4,1,-35,West
4,2,-36,West
4,1,-37,North
3,19,162,East
3,20,161,East
3,18,160,West
3,18,159,West
3,18,158,West
3,16,157,West
3,16,156,South
3,16,155,South
3,14,154,South
3,14,153,South
3,12,152,West
3,10,151,West
3,10,150,West
3,10,149,West
3,8,148,West
3,10,147,West
3,8,146,South
3,6,145,South
3,4,144,South
3,2,143,South
3,2,142,South
2,12,341,South
2,12,340,South
2,13,339,North
2,14,338,North
2,15,337,North
2,15,336,North
2,15,335,North
2,16,334,North
2,17,333,North
2,15,332,West
2,15,331,West
2,16,330,West
