@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
10,9,2,351,East,550
10,10,1,550,North,549
10,9,1,549,South,548
10,8,1,548,South,547
10,7,1,547,South,646
10,6,1,546,South,545
10,5,1,545,South,544
10,4,1,544,South,543
11,4,1,543,East,542
11,4,1,542,East,541
11,4,1,541,East,540
11,4,1,540,East,539
11,4,1,539,East,538
11,3,1,538,South,537
11,3,1,537,South,536
11,4,1,536,North,535
11,4,1,535,North,534
11,5,1,534,North,533
12,5,1,533,East,532
13,5,1,532,East,531
14,5,1,531,East,530
15,5,1,530,East,529
16,5,1,529,East,528
17,5,1,528,East,527
1,18,4,0,Stop,-1
1,17,4,-1,South,-2
1,16,4,-2,South,-3
1,15,4,-3,South,-4
1,14,4,-4,South,-5
1,13,4,-5,South,-6
1,12,4,-6,South,-7
1,11,4,-7,South,-8
1,10,4,-8,South,-9
1,9,4,-9,South,-10
1,9,4,-10,South,-11
1,9,4,-11,South,-12
1,9,4,-12,South,-13
1,8,4,-13,South,-14
1,7,4,-14,South,-15
1,6,4,-15,South,-16
1,5,4,-16,South,-17
1,6,4,-17,North,-18
1,7,4,-18,North,-19
1,6,4,-19,South,180
2,6,3,180,East,179
3,6,3,179,East,178
3,5,3,178,South,377
4,5,2,377,East,376
4,4,2,376,South,575
5,4,1,575,East,574
5,5,1,574,North,573
1,18,4,0,Stop,-1
1,17,4,-1,South,-2
1,16,4,-2,South,-3
1,15,4,-3,South,-4
1,14,4,-4,South,-5
1,13,4,-5,South,-6
1,12,4,-6,South,-7
1,11,4,-7,South,-8
1,10,4,-8,South,-9
1,10,4,-9,South,-10
1,9,4,-10,South,-11
1,8,4,-11,South,-12
1,7,4,-12,South,187
1,6,3,187,South,186
1,5,3,186,South,185
2,5,3,185,East,384
2,6,2,384,North,383
2,5,2,383,South,382
2,4,1,582,South,581
2,5,1,581,North,580
2,6,1,580,North,579
3,6,1,579,East,578
3,7,1,578,North,577
3,8,1,577,North,576
3,9,1,576,North,575
3,10,1,575,North,574
4,10,1,574,East,773
1,6,4,0,Stop,-1
1,5,4,-1,South,-2
1,4,4,-2,South,-3
1,3,4,-3,South,-4
2,3,4,-4,East,-5
2,4,4,-5,North,-6
3,4,4,-6,East,-7
4,4,4,-7,East,-8
5,4,4,-8,East,191
6,4,3,191,East,190
6,5,2,390,North,389
6,4,2,389,South,388
6,3,2,388,South,387
7,3,2,387,East,386
8,3,2,386,East,385
9,3,2,385,East,384
10,3,2,384,East,383
10,4,2,383,North,582
11,4,1,582,East,581
12,4,1,581,East,580
12,5,1,580,North,579
12,4,1,579,South,578
13,4,1,578,East,577
14,4,1,577,East,776
1,6,4,0,Stop,-1
1,5,4,-1,South,-2
1,4,4,-2,South,-3
2,4,4,-3,East,-4
3,4,4,-4,East,-5
4,4,4,-5,East,-6
5,4,4,-6,East,193
6,4,3,193,East,192
6,5,3,192,North,191
6,6,3,191,North,190
7,6,3,190,East,389
8,6,2,389,East,388
9,6,2,388,East,387
10,6,2,387,East,386
10,5,2,386,South,385
10,4,2,385,South,384
10,3,2,384,South,583
11,3,1,583,East,582
11,4,1,582,North,581
12,4,1,581,East,580
12,5,1,580,North,579
12,6,1,579,North,578
13,6,1,578,East,577
14,6,1,577,East,576
15,6,1,576,East,775
12,10,4,0,Stop,-1
12,11,4,-1,North,-2
12,12,4,-2,North,-3
13,12,4,-3,East,-4
13,11,4,-4,South,-5
14,11,3,195,East,194
14,10,3,194,South,193
14,9,3,193,South,192
14,8,3,192,South,191
13,8,3,191,West,190
13,9,3,190,North,189
13,8,3,189,South,188
12,8,2,388,West,387
12,7,2,387,South,386
11,7,2,386,West,385
10,7,2,385,West,384
9,7,2,384,West,383
9,6,2,383,South,382
9,7,2,382,North,381
9,8,2,381,North,380
8,8,2,380,West,379
8,7,2,379,South,378
7,7,2,378,West,377
6,7,2,377,West,576
5,7,1,576,West,575
5,6,1,575,South,574
4,6,1,574,West,573
1,6,4,0,Stop,-1
1,5,4,-1,South,-2
2,5,4,-2,East,-3
2,6,4,-3,North,-4
3,6,4,-4,East,-5
4,6,4,-5,East,-6
5,6,4,-6,East,-7
6,6,4,-7,East,-8
6,5,3,192,South,191
6,4,3,191,South,190
6,3,3,190,South,189
7,3,3,189,East,188
8,3,3,188,East,387
9,3,2,387,East,386
9,4,2,386,North,385
9,3,2,385,South,384
8,3,1,584,West,583
8,4,1,583,North,582
8,5,1,582,North,581
9,5,1,581,East,580
9,4,1,580,South,579
9,3,1,579,South,578
10,3,1,578,East,577
10,4,1,577,North,576
11,4,1,576,East,575
11,3,1,575,South,574
12,3,1,574,East,573
13,3,1,573,East,572
13,4,1,572,North,571
13,4,1,571,North,570
13,4,1,570,North,569
13,4,1,569,North,568
13,3,1,568,South,567
13,3,1,567,South,566
13,4,1,566,North,565
13,5,1,565,North,564
14,5,1,564,East,563
12,10,4,0,Stop,-1
12,11,4,-1,North,-2
12,12,4,-2,North,197
12,13,3,197,North,196
12,12,3,196,South,195
11,12,3,195,West,194
10,12,3,194,West,193
9,12,3,193,West,192
8,12,3,192,West,191
7,12,3,191,West,190
7,11,3,190,South,189
7,12,3,189,North,188
7,11,3,188,South,187
7,12,3,187,North,186
6,12,3,186,West,185
6,13,3,185,North,184
6,14,3,184,North,183
5,14,3,183,West,182
4,14,2,382,West,381
4,13,2,381,South,380
3,13,2,380,West,379
3,12,2,379,South,378
3,11,2,378,South,377
3,10,2,377,South,376
3,9,2,376,South,375
3,8,2,375,South,374
3,7,1,574,South,573
3,8,1,573,North,572
3,9,1,572,North,571
3,10,1,571,North,570
3,11,1,570,North,569
4,11,1,569,East,568
5,11,1,568,East,567
5,12,1,567,North,566
5,11,1,566,South,565
6,11,1,565,East,564
7,11,1,564,East,563
8,11,1,563,East,562
8,10,1,562,South,561
9,10,1,561,East,560
9,11,1,560,North,559
10,11,1,559,East,758
12,10,4,0,Stop,-1
12,11,4,-1,North,-2
12,12,3,198,North,197
11,12,3,197,West,196
10,12,3,196,West,195
10,13,3,195,North,194
10,12,3,194,South,193
10,11,3,193,South,192
9,11,3,192,West,191
8,11,3,191,West,190
7,11,3,190,West,189
6,11,3,189,West,188
5,11,3,188,West,187
5,10,3,187,South,386
4,10,1,586,West,585
4,9,1,585,South,584
4,8,1,584,South,583
4,7,1,583,South,582
4,6,1,582,South,581
4,5,1,581,South,580
4,6,1,580,North,579
4,7,1,579,North,578
4,7,1,578,North,577
4,7,1,577,North,576
4,8,1,576,North,575
5,8,1,575,East,574
6,8,1,574,East,573
7,8,1,573,East,572
8,8,1,572,East,571
9,8,1,571,East,570
10,8,1,570,East,569
11,8,1,569,East,568
12,8,1,568,East,567
13,8,1,567,East,566
13,9,1,566,North,565
13,10,1,565,North,564
13,11,1,564,North,563
